,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1,0020900017,1610612741,Bulls,CHI,Chicago,240:00,0.81,0.19,0.696,0.261,0.098,0.065,0.207,0.196,0.435,0.563,0.438,0.667,0.333,0.571,0.429
0,0020900017,1610612759,Spurs,SAS,San Antonio,240:00,0.731,0.269,0.682,0.235,0.141,0.129,0.176,0.106,0.447,0.414,0.586,0.75,0.25,0.455,0.545
1,0020900018,1610612743,Nuggets,DEN,Denver,240:00,0.82,0.18,0.515,0.227,0.093,0.093,0.392,0.124,0.289,0.36,0.64,0.667,0.333,0.393,0.607
0,0020900018,1610612757,Trail Blazers,POR,Portland,240:00,0.765,0.235,0.489,0.234,0.16,0.032,0.351,0.096,0.255,0.522,0.478,0.8,0.2,0.571,0.429
0,0020900019,1610612752,Knicks,NYK,New York,290:00,0.633,0.367,0.58,0.16,0.27,0.08,0.15,0.14,0.42,0.379,0.621,1.0,0.0,0.526,0.474
1,0020900019,1610612766,Bobcats,CHA,Charlotte,290:00,0.804,0.196,0.627,0.078,0.088,0.147,0.284,0.196,0.549,0.469,0.531,1.0,0.0,0.514,0.486
1,0020900020,1610612749,Bucks,MIL,Milwaukee,240:00,0.729,0.271,0.628,0.163,0.244,0.128,0.128,0.198,0.465,0.407,0.593,0.857,0.143,0.5,0.5
0,0020900020,1610612755,76ers,PHI,Philadelphia,240:00,0.743,0.257,0.525,0.162,0.182,0.192,0.293,0.253,0.364,0.462,0.538,1.0,0.0,0.563,0.438
1,0020900021,1610612737,Hawks,ATL,Atlanta,240:00,0.744,0.256,0.54,0.14,0.15,0.2,0.31,0.18,0.4,0.481,0.519,1.0,0.0,0.563,0.438
0,0020900021,1610612764,Wizards,WAS,Washington,240:00,0.835,0.165,0.674,0.202,0.169,0.303,0.157,0.124,0.472,0.567,0.433,0.4,0.6,0.543,0.457
1,0020900022,1610612738,Celtics,BOS,Boston,240:00,0.676,0.324,0.525,0.271,0.305,0.085,0.169,0.085,0.254,0.71,0.29,0.917,0.083,0.767,0.233
0,0020900022,1610612741,Bulls,CHI,Chicago,240:00,0.817,0.183,0.711,0.289,0.067,0.044,0.222,0.211,0.422,0.531,0.469,1.0,0.0,0.559,0.441
0,0020900023,1610612760,Thunder,OKC,Oklahoma City,240:00,0.855,0.145,0.681,0.374,0.066,0.11,0.253,0.11,0.308,0.677,0.323,1.0,0.0,0.697,0.303
1,0020900023,1610612765,Pistons,DET,Detroit,240:00,0.757,0.243,0.506,0.241,0.181,0.193,0.313,0.072,0.265,0.381,0.619,0.8,0.2,0.462,0.538
0,0020900024,1610612748,Heat,MIA,Miami,240:00,0.899,0.101,0.604,0.354,0.031,0.135,0.365,0.24,0.25,0.517,0.483,1.0,0.0,0.533,0.467
1,0020900024,1610612754,Pacers,IND,Indiana,240:00,0.709,0.291,0.602,0.313,0.145,0.06,0.253,0.108,0.289,0.48,0.52,1.0,0.0,0.552,0.448
0,0020900025,1610612761,Raptors,TOR,Toronto,240:00,0.75,0.25,0.598,0.112,0.196,0.056,0.206,0.196,0.486,0.406,0.594,1.0,0.0,0.513,0.487
1,0020900025,1610612763,Grizzlies,MEM,Memphis,240:00,0.89,0.11,0.678,0.226,0.078,0.13,0.243,0.157,0.452,0.538,0.462,1.0,0.0,0.571,0.429
1,0020900026,1610612739,Cavaliers,CLE,Cleveland,240:00,0.786,0.214,0.577,0.192,0.288,0.115,0.135,0.183,0.385,0.567,0.433,0.7,0.3,0.6,0.4
0,0020900026,1610612750,Timberwolves,MIN,Minnesota,240:00,0.837,0.163,0.759,0.299,0.103,0.115,0.138,0.126,0.46,0.485,0.515,0.667,0.333,0.5,0.5
1,0020900027,1610612751,Nets,NJN,New Jersey,240:00,0.815,0.185,0.612,0.282,0.176,0.153,0.212,0.129,0.329,0.423,0.577,1.0,0.0,0.516,0.484
0,0020900027,1610612753,Magic,ORL,Orlando,240:00,0.72,0.28,0.653,0.147,0.189,0.084,0.158,0.053,0.505,0.516,0.484,0.833,0.167,0.568,0.432
1,0020900028,1610612740,Hornets,NOH,New Orleans,240:00,0.781,0.219,0.577,0.165,0.155,0.124,0.268,0.113,0.412,0.429,0.571,0.8,0.2,0.485,0.515
0,0020900028,1610612758,Kings,SAC,Sacramento,240:00,0.75,0.25,0.63,0.304,0.228,0.076,0.141,0.12,0.326,0.483,0.517,1.0,0.0,0.583,0.417
1,0020900029,1610612746,Clippers,LAC,Los Angeles,240:00,0.824,0.176,0.571,0.143,0.184,0.286,0.245,0.041,0.429,0.5,0.5,0.667,0.333,0.529,0.471
