GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
21700861,1610612763,Grizzlies,MEM,Memphis,240:00,0.686,0.314,0.526,0.088,0.368,0.175,0.105,0.061,0.439,0.567,0.433,0.857,0.143,0.659,0.341
21700861,1610612760,Thunder,OKC,Oklahoma City,240:00,0.543,0.457,0.38,0.083,0.421,0.165,0.198,0.157,0.298,0.522,0.478,0.824,0.176,0.65,0.35
21700862,1610612747,Lakers,LAL,Los Angeles,240:00,0.756,0.244,0.615,0.051,0.256,0.239,0.128,0.111,0.564,0.444,0.556,1.0,0.0,0.565,0.435
21700862,1610612740,Pelicans,NOP,New Orleans,240:00,0.677,0.323,0.561,0.115,0.302,0.18,0.137,0.209,0.446,0.564,0.436,0.929,0.071,0.66,0.34
21700863,1610612756,Suns,PHX,Phoenix,240:00,0.633,0.367,0.454,0.041,0.371,0.155,0.175,0.124,0.412,0.409,0.591,0.833,0.167,0.559,0.441
21700863,1610612762,Jazz,UTA,Utah,240:00,0.63,0.37,0.542,0.056,0.28,0.131,0.178,0.131,0.486,0.517,0.483,0.7,0.3,0.564,0.436
21700864,1610612757,Trail Blazers,POR,Portland,240:00,0.645,0.355,0.537,0.179,0.293,0.122,0.171,0.22,0.358,0.424,0.576,0.5,0.5,0.444,0.556
21700864,1610612744,Warriors,GSW,Golden State,240:00,0.589,0.411,0.513,0.171,0.333,0.154,0.154,0.128,0.342,0.5,0.5,0.692,0.308,0.558,0.442
21700865,1610612749,Bucks,MIL,Milwaukee,240:00,0.717,0.283,0.65,0.081,0.22,0.065,0.13,0.187,0.569,0.45,0.55,1.0,0.0,0.551,0.449
21700865,1610612743,Nuggets,DEN,Denver,240:00,0.529,0.471,0.343,0.03,0.537,0.082,0.119,0.134,0.313,0.652,0.348,0.917,0.083,0.787,0.213
21700866,1610612747,Lakers,LAL,Los Angeles,240:00,0.67,0.33,0.649,0.09,0.189,0.081,0.162,0.099,0.559,0.389,0.611,0.714,0.286,0.442,0.558
21700866,1610612750,Timberwolves,MIN,Minnesota,240:00,0.733,0.267,0.605,0.185,0.151,0.059,0.244,0.118,0.42,0.528,0.472,0.667,0.333,0.548,0.452
21700867,1610612751,Nets,BKN,Brooklyn,240:00,0.538,0.462,0.458,0.083,0.438,0.073,0.104,0.146,0.375,0.591,0.409,1.0,0.0,0.75,0.25
21700867,1610612766,Hornets,CHA,Charlotte,240:00,0.759,0.241,0.559,0.144,0.297,0.081,0.144,0.09,0.414,0.613,0.387,0.909,0.091,0.69,0.31
21700868,1610612752,Knicks,NYK,New York,240:00,0.747,0.253,0.683,0.25,0.175,0.117,0.142,0.183,0.433,0.512,0.488,1.0,0.0,0.583,0.417
21700868,1610612753,Magic,ORL,Orlando,240:00,0.711,0.289,0.566,0.088,0.292,0.177,0.142,0.106,0.478,0.563,0.438,0.909,0.091,0.651,0.349
21700869,1610612739,Cavaliers,CLE,Cleveland,240:00,0.583,0.417,0.66,0.097,0.233,0.126,0.107,0.146,0.563,0.382,0.618,0.875,0.125,0.476,0.524
21700869,1610612764,Wizards,WAS,Washington,240:00,0.674,0.326,0.582,0.182,0.327,0.036,0.091,0.036,0.4,0.625,0.375,0.75,0.25,0.659,0.341
21700870,1610612741,Bulls,CHI,Chicago,240:00,0.649,0.351,0.452,0.07,0.47,0.035,0.078,0.183,0.383,0.462,0.538,0.833,0.167,0.614,0.386
21700870,1610612755,76ers,PHI,Philadelphia,240:00,0.646,0.354,0.534,0.138,0.284,0.043,0.181,0.155,0.397,0.452,0.548,1.0,0.0,0.595,0.405
21700871,1610612760,Thunder,OKC,Oklahoma City,240:00,0.593,0.407,0.436,0.127,0.382,0.209,0.182,0.127,0.309,0.5,0.5,1.0,0.0,0.684,0.316
21700871,1610612758,Kings,SAC,Sacramento,240:00,0.703,0.297,0.561,0.093,0.336,0.131,0.103,0.15,0.467,0.4,0.6,0.917,0.083,0.548,0.452
21700872,1610612744,Warriors,GSW,Golden State,240:00,0.671,0.329,0.493,0.104,0.313,0.127,0.194,0.172,0.388,0.727,0.273,0.5,0.5,0.66,0.34
21700872,1610612746,Clippers,LAC,LA,240:00,0.636,0.364,0.52,0.079,0.26,0.181,0.22,0.189,0.441,0.697,0.303,0.818,0.182,0.727,0.273
21700873,1610612738,Celtics,BOS,Boston,240:00,0.541,0.459,0.436,0.036,0.464,0.091,0.1,0.155,0.4,0.583,0.417,0.941,0.059,0.732,0.268
21700873,1610612765,Pistons,DET,Detroit,240:00,0.612,0.388,0.551,0.143,0.306,0.061,0.143,0.082,0.408,0.333,0.667,0.7,0.3,0.432,0.568
21700874,1610612737,Hawks,ATL,Atlanta,240:00,0.622,0.378,0.645,0.065,0.226,0.14,0.129,0.215,0.581,0.233,0.767,1.0,0.0,0.378,0.622
21700874,1610612754,Pacers,IND,Indiana,240:00,0.723,0.277,0.672,0.19,0.233,0.216,0.095,0.267,0.483,0.538,0.462,1.0,0.0,0.625,0.375
21700875,1610612766,Hornets,CHA,Charlotte,240:00,0.567,0.433,0.443,0.066,0.418,0.098,0.139,0.23,0.377,0.519,0.481,0.706,0.294,0.591,0.409
21700875,1610612764,Wizards,WAS,Washington,240:00,0.691,0.309,0.59,0.057,0.257,0.095,0.152,0.067,0.533,0.581,0.419,0.778,0.222,0.625,0.375
21700876,1610612761,Raptors,TOR,Toronto,265:00,0.622,0.378,0.571,0.134,0.227,0.05,0.202,0.176,0.437,0.5,0.5,0.667,0.333,0.535,0.465
21700876,1610612749,Bucks,MIL,Milwaukee,265:00,0.711,0.289,0.492,0.131,0.32,0.082,0.189,0.107,0.361,0.333,0.667,0.846,0.154,0.488,0.512
21700877,1610612745,Rockets,HOU,Houston,240:00,0.542,0.458,0.433,0.117,0.35,0.125,0.217,0.083,0.317,0.462,0.538,0.857,0.143,0.6,0.4
21700877,1610612750,Timberwolves,MIN,Minnesota,240:00,0.723,0.277,0.588,0.118,0.294,0.078,0.118,0.108,0.471,0.367,0.633,0.8,0.2,0.475,0.525
21700878,1610612739,Cavaliers,CLE,Cleveland,240:00,0.667,0.333,0.518,0.071,0.295,0.286,0.188,0.313,0.446,0.586,0.414,0.818,0.182,0.65,0.35
21700878,1610612763,Grizzlies,MEM,Memphis,240:00,0.714,0.286,0.539,0.135,0.303,0.202,0.157,0.258,0.404,0.625,0.375,0.778,0.222,0.667,0.333
21700879,1610612740,Pelicans,NOP,New Orleans,265:00,0.713,0.287,0.645,0.145,0.194,0.298,0.161,0.073,0.5,0.525,0.475,0.75,0.25,0.563,0.438
21700879,1610612748,Heat,MIA,Miami,265:00,0.833,0.167,0.715,0.146,0.146,0.163,0.138,0.138,0.569,0.477,0.523,0.833,0.167,0.52,0.48
