GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
21800001,1610612755,76ers,PHI,Philadelphia,240:00,0.701,0.299,0.667,0.092,0.172,0.184,0.161,0.126,0.575,0.448,0.552,1.0,0.0,0.529,0.471
21800001,1610612738,Celtics,BOS,Boston,240:00,0.619,0.381,0.59,0.267,0.314,0.057,0.095,0.133,0.324,0.355,0.645,0.909,0.091,0.5,0.5
21800002,1610612744,Warriors,GSW,Golden State,240:00,0.726,0.274,0.648,0.111,0.194,0.12,0.157,0.148,0.537,0.629,0.371,0.857,0.143,0.667,0.333
21800002,1610612760,Thunder,OKC,Oklahoma City,240:00,0.593,0.407,0.46,0.12,0.3,0.1,0.24,0.21,0.34,0.478,0.522,1.0,0.0,0.636,0.364
21800003,1610612749,Bucks,MIL,Milwaukee,240:00,0.6,0.4,0.496,0.0,0.372,0.106,0.133,0.168,0.496,0.536,0.464,0.786,0.214,0.619,0.381
21800003,1610612766,Hornets,CHA,Charlotte,240:00,0.587,0.413,0.446,0.036,0.429,0.098,0.125,0.196,0.411,0.4,0.6,0.688,0.313,0.512,0.488
21800004,1610612765,Pistons,DET,Detroit,240:00,0.739,0.261,0.641,0.097,0.175,0.117,0.184,0.252,0.544,0.485,0.515,0.833,0.167,0.538,0.462
21800004,1610612751,Nets,BKN,Brooklyn,240:00,0.671,0.329,0.7,0.04,0.15,0.08,0.15,0.14,0.66,0.686,0.314,0.8,0.2,0.7,0.3
21800005,1610612763,Grizzlies,MEM,Memphis,240:00,0.655,0.345,0.361,0.169,0.361,0.072,0.277,0.133,0.193,0.4,0.6,1.0,0.0,0.64,0.36
21800005,1610612754,Pacers,IND,Indiana,240:00,0.687,0.313,0.667,0.126,0.27,0.18,0.063,0.144,0.541,0.568,0.432,0.8,0.2,0.617,0.383
21800006,1610612748,Heat,MIA,Miami,240:00,0.66,0.34,0.574,0.079,0.267,0.079,0.158,0.109,0.495,0.345,0.655,0.667,0.333,0.421,0.579
21800006,1610612753,Magic,ORL,Orlando,240:00,0.734,0.266,0.615,0.173,0.202,0.067,0.183,0.24,0.442,0.469,0.531,0.714,0.286,0.513,0.487
21800007,1610612752,Knicks,NYK,New York,240:00,0.667,0.333,0.524,0.127,0.286,0.087,0.19,0.23,0.397,0.364,0.636,0.75,0.25,0.467,0.533
21800007,1610612737,Hawks,ATL,Atlanta,240:00,0.6,0.4,0.579,0.019,0.28,0.103,0.14,0.131,0.561,0.419,0.581,0.6,0.4,0.463,0.537
21800008,1610612739,Cavaliers,CLE,Cleveland,240:00,0.776,0.224,0.519,0.135,0.202,0.173,0.279,0.058,0.385,0.37,0.63,1.0,0.0,0.5,0.5
21800008,1610612761,Raptors,TOR,Toronto,240:00,0.641,0.359,0.534,0.052,0.362,0.19,0.103,0.138,0.483,0.355,0.645,0.714,0.286,0.467,0.533
21800009,1610612745,Rockets,HOU,Houston,240:00,0.478,0.522,0.411,0.018,0.429,0.125,0.161,0.116,0.393,0.435,0.565,0.688,0.313,0.538,0.462
21800009,1610612740,Pelicans,NOP,New Orleans,240:00,0.745,0.255,0.641,0.061,0.229,0.145,0.13,0.137,0.58,0.667,0.333,0.8,0.2,0.692,0.308
21800010,1610612759,Spurs,SAS,San Antonio,240:00,0.731,0.269,0.518,0.232,0.295,0.071,0.188,0.098,0.286,0.414,0.586,0.909,0.091,0.55,0.45
21800010,1610612750,Timberwolves,MIN,Minnesota,240:00,0.791,0.209,0.611,0.111,0.167,0.148,0.222,0.074,0.5,0.424,0.576,1.0,0.0,0.513,0.487
21800011,1610612762,Jazz,UTA,Utah,240:00,0.658,0.342,0.455,0.016,0.317,0.114,0.228,0.106,0.439,0.464,0.536,0.615,0.385,0.512,0.488
21800011,1610612758,Kings,SAC,Sacramento,240:00,0.8,0.2,0.718,0.188,0.179,0.145,0.103,0.205,0.53,0.31,0.69,0.571,0.429,0.347,0.653
21800012,1610612746,Clippers,LAC,LA,240:00,0.682,0.318,0.551,0.061,0.245,0.082,0.204,0.092,0.49,0.481,0.519,1.0,0.0,0.6,0.4
21800012,1610612743,Nuggets,DEN,Denver,240:00,0.724,0.276,0.467,0.075,0.224,0.112,0.308,0.103,0.393,0.56,0.44,0.75,0.25,0.606,0.394
21800013,1610612756,Suns,PHX,Phoenix,240:00,0.58,0.42,0.413,0.116,0.471,0.132,0.116,0.116,0.298,0.72,0.28,0.895,0.105,0.795,0.205
21800013,1610612742,Mavericks,DAL,Dallas,240:00,0.625,0.375,0.56,0.02,0.3,0.1,0.14,0.13,0.54,0.679,0.321,0.9,0.1,0.737,0.263
21800014,1610612755,76ers,PHI,Philadelphia,240:00,0.613,0.387,0.504,0.142,0.283,0.157,0.213,0.134,0.362,0.594,0.406,0.917,0.083,0.682,0.318
21800014,1610612741,Bulls,CHI,Chicago,240:00,0.673,0.327,0.611,0.185,0.306,0.028,0.083,0.028,0.426,0.545,0.455,0.909,0.091,0.636,0.364
21800015,1610612748,Heat,MIA,Miami,240:00,0.639,0.361,0.46,0.053,0.319,0.124,0.221,0.168,0.407,0.615,0.385,0.75,0.25,0.658,0.342
21800015,1610612764,Wizards,WAS,Washington,240:00,0.679,0.321,0.554,0.089,0.188,0.179,0.259,0.214,0.464,0.452,0.548,0.714,0.286,0.5,0.5
21800016,1610612747,Lakers,LAL,Los Angeles,240:00,0.677,0.323,0.639,0.05,0.176,0.286,0.185,0.143,0.588,0.474,0.526,0.714,0.286,0.511,0.489
21800016,1610612757,Trail Blazers,POR,Portland,240:00,0.63,0.37,0.484,0.047,0.305,0.094,0.211,0.141,0.438,0.29,0.71,0.923,0.077,0.477,0.523
21800017,1610612766,Hornets,CHA,Charlotte,240:00,0.587,0.413,0.433,0.083,0.425,0.092,0.142,0.2,0.35,0.692,0.308,0.824,0.176,0.744,0.256
21800017,1610612753,Magic,ORL,Orlando,240:00,0.67,0.33,0.682,0.182,0.205,0.08,0.114,0.17,0.5,0.433,0.567,0.833,0.167,0.5,0.5
21800018,1610612752,Knicks,NYK,New York,240:00,0.711,0.289,0.571,0.19,0.257,0.114,0.171,0.276,0.381,0.3,0.7,0.556,0.444,0.359,0.641
21800018,1610612751,Nets,BKN,Brooklyn,240:00,0.6,0.4,0.467,0.019,0.336,0.065,0.196,0.047,0.449,0.48,0.52,0.833,0.167,0.595,0.405
21800019,1610612738,Celtics,BOS,Boston,240:00,0.636,0.364,0.515,0.178,0.416,0.178,0.069,0.109,0.337,0.615,0.385,0.929,0.071,0.725,0.275
21800019,1610612761,Raptors,TOR,Toronto,240:00,0.62,0.38,0.531,0.124,0.345,0.124,0.124,0.106,0.407,0.467,0.533,0.769,0.231,0.558,0.442
21800020,1610612763,Grizzlies,MEM,Memphis,240:00,0.679,0.321,0.473,0.076,0.298,0.206,0.229,0.176,0.397,0.645,0.355,0.923,0.077,0.727,0.273
21800020,1610612737,Hawks,ATL,Atlanta,240:00,0.639,0.361,0.462,0.034,0.359,0.231,0.179,0.103,0.427,0.519,0.481,0.929,0.071,0.659,0.341
21800021,1610612750,Timberwolves,MIN,Minnesota,240:00,0.713,0.287,0.519,0.092,0.229,0.137,0.252,0.168,0.427,0.559,0.441,0.9,0.1,0.636,0.364
21800021,1610612739,Cavaliers,CLE,Cleveland,240:00,0.753,0.247,0.602,0.13,0.195,0.122,0.203,0.154,0.472,0.486,0.514,1.0,0.0,0.578,0.422
21800022,1610612740,Pelicans,NOP,New Orleans,240:00,0.674,0.326,0.537,0.027,0.322,0.188,0.141,0.121,0.51,0.575,0.425,0.75,0.25,0.625,0.375
21800022,1610612758,Kings,SAC,Sacramento,240:00,0.74,0.26,0.62,0.078,0.233,0.178,0.147,0.132,0.543,0.4,0.6,0.8,0.2,0.48,0.52
21800023,1610612749,Bucks,MIL,Milwaukee,240:00,0.505,0.495,0.458,0.0,0.432,0.169,0.11,0.203,0.458,0.444,0.556,0.882,0.118,0.614,0.386
21800023,1610612754,Pacers,IND,Indiana,240:00,0.793,0.207,0.634,0.218,0.178,0.099,0.188,0.178,0.416,0.313,0.688,0.667,0.333,0.368,0.632
21800024,1610612762,Jazz,UTA,Utah,240:00,0.483,0.517,0.341,0.049,0.463,0.146,0.195,0.163,0.293,0.571,0.429,0.632,0.368,0.6,0.4
21800024,1610612744,Warriors,GSW,Golden State,240:00,0.782,0.218,0.629,0.258,0.242,0.161,0.129,0.153,0.371,0.462,0.538,0.9,0.1,0.551,0.449
21800025,1610612746,Clippers,LAC,LA,240:00,0.679,0.321,0.444,0.074,0.306,0.13,0.25,0.111,0.37,0.5,0.5,0.818,0.182,0.6,0.4
21800025,1610612760,Thunder,OKC,Oklahoma City,240:00,0.653,0.347,0.587,0.152,0.228,0.109,0.185,0.207,0.435,0.444,0.556,0.857,0.143,0.529,0.471
