,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1,0020800001,1610612738,Celtics,BOS,Boston,240:00,0.811,0.189,0.667,0.2,0.1,0.044,0.233,0.156,0.467,0.433,0.567,1.0,0.0,0.485,0.515
0,0020800001,1610612739,Cavaliers,CLE,Cleveland,240:00,0.779,0.221,0.612,0.212,0.106,0.071,0.282,0.212,0.4,0.538,0.462,0.667,0.333,0.552,0.448
1,0020800002,1610612741,Bulls,CHI,Chicago,240:00,0.826,0.174,0.556,0.259,0.139,0.185,0.306,0.269,0.296,0.733,0.267,1.0,0.0,0.771,0.229
0,0020800002,1610612749,Bucks,MIL,Milwaukee,240:00,0.821,0.179,0.653,0.358,0.189,0.011,0.158,0.168,0.295,0.484,0.516,1.0,0.0,0.568,0.432
1,0020800003,1610612747,Lakers,LAL,Los Angeles,240:00,0.873,0.127,0.625,0.188,0.219,0.156,0.156,0.125,0.438,0.433,0.567,0.857,0.143,0.514,0.486
0,0020800003,1610612757,Trail Blazers,POR,Portland,240:00,0.714,0.286,0.5,0.211,0.395,0.053,0.105,0.276,0.289,0.526,0.474,0.9,0.1,0.655,0.345
1,0020800004,1610612737,Hawks,ATL,Atlanta,240:00,0.767,0.233,0.667,0.303,0.152,0.172,0.182,0.172,0.364,0.394,0.606,0.8,0.2,0.447,0.553
0,0020800004,1610612753,Magic,ORL,Orlando,240:00,0.713,0.287,0.659,0.118,0.141,0.094,0.2,0.2,0.541,0.214,0.786,1.0,0.0,0.313,0.688
1,0020800005,1610612755,76ers,PHI,Philadelphia,240:00,0.762,0.238,0.571,0.19,0.179,0.214,0.25,0.048,0.381,0.417,0.583,1.0,0.0,0.517,0.483
0,0020800005,1610612761,Raptors,TOR,Toronto,240:00,0.802,0.198,0.547,0.232,0.316,0.042,0.137,0.274,0.316,0.615,0.385,0.8,0.2,0.667,0.333
1,0020800006,1610612751,Nets,NJN,New Jersey,240:00,0.756,0.244,0.653,0.316,0.189,0.084,0.158,0.211,0.337,0.516,0.484,1.0,0.0,0.595,0.405
0,0020800006,1610612764,Wizards,WAS,Washington,240:00,0.741,0.259,0.588,0.259,0.176,0.118,0.235,0.212,0.329,0.52,0.48,1.0,0.0,0.6,0.4
1,0020800007,1610612748,Heat,MIA,Miami,240:00,0.75,0.25,0.626,0.087,0.157,0.122,0.217,0.104,0.539,0.444,0.556,1.0,0.0,0.524,0.476
0,0020800007,1610612752,Knicks,NYK,New York,240:00,0.713,0.287,0.55,0.183,0.225,0.117,0.225,0.142,0.367,0.576,0.424,0.889,0.111,0.643,0.357
0,0020800008,1610612754,Pacers,IND,Indiana,240:00,0.821,0.179,0.617,0.191,0.128,0.032,0.255,0.181,0.426,0.483,0.517,1.0,0.0,0.545,0.455
1,0020800008,1610612765,Pistons,DET,Detroit,240:00,0.857,0.143,0.68,0.34,0.18,0.19,0.14,0.19,0.34,0.529,0.471,0.833,0.167,0.575,0.425
1,0020800009,1610612750,Timberwolves,MIN,Minnesota,240:00,0.874,0.126,0.796,0.204,0.092,0.122,0.112,0.214,0.592,0.564,0.436,1.0,0.0,0.595,0.405
0,0020800009,1610612758,Kings,SAC,Sacramento,240:00,0.788,0.213,0.646,0.313,0.156,0.073,0.198,0.063,0.333,0.581,0.419,0.8,0.2,0.611,0.389
1,0020800010,1610612749,Bucks,MIL,Milwaukee,240:00,0.763,0.237,0.571,0.184,0.214,0.082,0.214,0.204,0.388,0.393,0.607,0.857,0.143,0.486,0.514
0,0020800010,1610612760,Thunder,OKC,Oklahoma City,240:00,0.918,0.082,0.713,0.207,0.034,0.195,0.253,0.23,0.506,0.516,0.484,0.0,1.0,0.5,0.5
1,0020800011,1610612756,Suns,PHX,Phoenix,240:00,0.81,0.19,0.641,0.272,0.175,0.126,0.184,0.107,0.369,0.636,0.364,0.5,0.5,0.615,0.385
0,0020800011,1610612759,Spurs,SAS,San Antonio,240:00,0.813,0.188,0.714,0.286,0.153,0.061,0.133,0.082,0.429,0.4,0.6,0.8,0.2,0.45,0.55
1,0020800012,1610612745,Rockets,HOU,Houston,240:00,0.789,0.211,0.561,0.122,0.183,0.122,0.256,0.159,0.439,0.304,0.696,0.6,0.4,0.357,0.643
0,0020800012,1610612763,Grizzlies,MEM,Memphis,240:00,0.84,0.16,0.873,0.366,0.0,0.113,0.127,0.155,0.507,0.355,0.645,0.0,0.0,0.355,0.645
1,0020800013,1610612743,Nuggets,DEN,Denver,240:00,0.831,0.169,0.681,0.17,0.128,0.138,0.191,0.16,0.511,0.469,0.531,0.5,0.5,0.472,0.528
0,0020800013,1610612762,Jazz,UTA,Utah,240:00,0.899,0.101,0.714,0.184,0.061,0.061,0.224,0.184,0.531,0.429,0.571,1.0,0.0,0.459,0.541
0,0020800014,1610612740,Hornets,NOH,New Orleans,239:60,0.793,0.207,0.63,0.259,0.194,0.102,0.176,0.157,0.37,0.5,0.5,0.857,0.143,0.561,0.439
1,0020800014,1610612744,Warriors,GSW,Golden State,239:60,0.72,0.28,0.524,0.117,0.262,0.117,0.214,0.175,0.408,0.407,0.593,0.778,0.222,0.5,0.5
1,0020800015,1610612746,Clippers,LAC,Los Angeles,240:00,0.718,0.282,0.633,0.101,0.19,0.165,0.177,0.203,0.532,0.76,0.24,1.0,0.0,0.8,0.2
0,0020800015,1610612747,Lakers,LAL,Los Angeles,240:00,0.763,0.238,0.53,0.12,0.256,0.085,0.214,0.222,0.41,0.645,0.355,0.8,0.2,0.683,0.317
0,0020800016,1610612739,Cavaliers,CLE,Cleveland,240:00,0.694,0.306,0.583,0.229,0.219,0.229,0.198,0.167,0.354,0.571,0.429,1.0,0.0,0.657,0.343
1,0020800016,1610612766,Bobcats,CHA,Charlotte,240:00,0.838,0.162,0.557,0.253,0.114,0.127,0.329,0.177,0.304,0.591,0.409,1.0,0.0,0.64,0.36
1,0020800017,1610612742,Mavericks,DAL,Dallas,240:00,0.81,0.19,0.608,0.294,0.118,0.363,0.275,0.176,0.314,0.613,0.387,1.0,0.0,0.657,0.343
0,0020800017,1610612745,Rockets,HOU,Houston,240:00,0.823,0.177,0.554,0.214,0.188,0.098,0.259,0.134,0.339,0.581,0.419,0.714,0.286,0.605,0.395
1,0020800018,1610612740,Hornets,NOH,New Orleans,240:00,0.692,0.308,0.444,0.259,0.361,0.065,0.194,0.194,0.185,0.25,0.75,0.769,0.231,0.432,0.568
0,0020800018,1610612756,Suns,PHX,Phoenix,240:00,0.735,0.265,0.632,0.189,0.221,0.126,0.147,0.116,0.442,0.367,0.633,0.714,0.286,0.432,0.568
1,0020800019,1610612752,Knicks,NYK,New York,240:00,0.714,0.286,0.575,0.069,0.241,0.161,0.184,0.23,0.506,0.52,0.48,0.857,0.143,0.594,0.406
0,0020800019,1610612755,76ers,PHI,Philadelphia,240:00,0.944,0.056,0.862,0.31,0.052,0.19,0.086,0.172,0.552,0.46,0.54,0.5,0.5,0.462,0.538
1,0020800020,1610612744,Warriors,GSW,Golden State,265:00,0.691,0.309,0.574,0.111,0.306,0.093,0.12,0.111,0.463,0.387,0.613,0.727,0.273,0.476,0.524
0,0020800020,1610612761,Raptors,TOR,Toronto,265:00,0.846,0.154,0.607,0.286,0.161,0.054,0.232,0.232,0.321,0.559,0.441,0.833,0.167,0.6,0.4
1,0020800021,1610612748,Heat,MIA,Miami,240:00,0.79,0.21,0.583,0.194,0.233,0.194,0.184,0.398,0.388,0.467,0.533,0.875,0.125,0.553,0.447
0,0020800021,1610612758,Kings,SAC,Sacramento,240:00,0.75,0.25,0.701,0.208,0.078,0.078,0.221,0.195,0.494,0.296,0.704,1.0,0.0,0.345,0.655
1,0020800022,1610612738,Celtics,BOS,Boston,240:00,0.89,0.11,0.625,0.104,0.063,0.135,0.313,0.24,0.521,0.433,0.567,1.0,0.0,0.469,0.531
0,0020800022,1610612741,Bulls,CHI,Chicago,240:00,0.905,0.095,0.575,0.175,0.075,0.15,0.35,0.25,0.4,0.391,0.609,1.0,0.0,0.44,0.56
0,0020800023,1610612753,Magic,ORL,Orlando,240:00,0.58,0.42,0.452,0.119,0.357,0.119,0.19,0.143,0.333,0.368,0.632,0.9,0.1,0.552,0.448
1,0020800023,1610612763,Grizzlies,MEM,Memphis,240:00,0.829,0.171,0.651,0.279,0.07,0.081,0.279,0.233,0.372,0.321,0.679,1.0,0.0,0.367,0.633
1,0020800024,1610612743,Nuggets,DEN,Denver,265:00,0.847,0.153,0.619,0.106,0.08,0.071,0.301,0.097,0.513,0.457,0.543,1.0,0.0,0.5,0.5
0,0020800024,1610612746,Clippers,LAC,Los Angeles,265:00,0.835,0.165,0.66,0.233,0.087,0.049,0.252,0.233,0.427,0.412,0.588,1.0,0.0,0.459,0.541
1,0020800025,1610612757,Trail Blazers,POR,Portland,240:00,0.793,0.207,0.64,0.28,0.18,0.14,0.18,0.2,0.36,0.375,0.625,0.833,0.167,0.447,0.553
0,0020800025,1610612759,Spurs,SAS,San Antonio,240:00,0.765,0.235,0.586,0.162,0.273,0.02,0.141,0.071,0.424,0.517,0.483,1.0,0.0,0.632,0.368
1,0020800026,1610612737,Hawks,ATL,Atlanta,240:00,0.725,0.275,0.653,0.232,0.253,0.179,0.095,0.2,0.421,0.484,0.516,0.75,0.25,0.538,0.462
0,0020800026,1610612755,76ers,PHI,Philadelphia,240:00,0.812,0.188,0.659,0.205,0.205,0.261,0.136,0.148,0.455,0.586,0.414,0.667,0.333,0.6,0.4
0,0020800027,1610612748,Heat,MIA,Miami,240:00,0.708,0.292,0.621,0.253,0.172,0.069,0.207,0.23,0.368,0.519,0.481,0.6,0.4,0.531,0.469
1,0020800027,1610612766,Bobcats,CHA,Charlotte,240:00,0.855,0.145,0.64,0.22,0.15,0.11,0.21,0.17,0.42,0.625,0.375,1.0,0.0,0.676,0.324
1,0020800028,1610612738,Celtics,BOS,Boston,240:00,0.744,0.256,0.582,0.228,0.152,0.152,0.266,0.152,0.354,0.522,0.478,0.75,0.25,0.556,0.444
0,0020800028,1610612754,Pacers,IND,Indiana,240:00,0.728,0.272,0.568,0.211,0.189,0.116,0.242,0.2,0.358,0.556,0.444,0.833,0.167,0.606,0.394
1,0020800029,1610612753,Magic,ORL,Orlando,240:00,0.725,0.275,0.595,0.248,0.198,0.074,0.207,0.124,0.347,0.472,0.528,1.0,0.0,0.568,0.432
0,0020800029,1610612758,Kings,SAC,Sacramento,240:00,0.797,0.203,0.66,0.33,0.146,0.175,0.194,0.155,0.33,0.5,0.5,0.8,0.2,0.538,0.462
0,0020800030,1610612764,Wizards,WAS,Washington,240:00,0.835,0.165,0.679,0.33,0.11,0.055,0.211,0.211,0.349,0.541,0.459,0.5,0.5,0.537,0.463
1,0020800030,1610612765,Pistons,DET,Detroit,240:00,0.823,0.177,0.615,0.308,0.154,0.145,0.231,0.094,0.308,0.528,0.472,0.833,0.167,0.571,0.429
1,0020800031,1610612744,Warriors,GSW,Golden State,240:00,0.75,0.25,0.476,0.133,0.2,0.19,0.324,0.19,0.343,0.48,0.52,0.857,0.143,0.563,0.438
0,0020800031,1610612751,Nets,NJN,New Jersey,240:00,0.759,0.241,0.598,0.103,0.186,0.134,0.216,0.165,0.495,0.552,0.448,1.0,0.0,0.629,0.371
1,0020800032,1610612742,Mavericks,DAL,Dallas,240:00,0.807,0.193,0.674,0.337,0.158,0.116,0.168,0.168,0.337,0.438,0.563,0.8,0.2,0.486,0.514
0,0020800032,1610612750,Timberwolves,MIN,Minnesota,240:00,0.848,0.152,0.706,0.188,0.035,0.047,0.259,0.212,0.518,0.467,0.533,1.0,0.0,0.484,0.516
1,0020800033,1610612739,Cavaliers,CLE,Cleveland,240:00,0.707,0.293,0.587,0.261,0.293,0.12,0.12,0.13,0.326,0.556,0.444,0.667,0.333,0.583,0.417
0,0020800033,1610612740,Hornets,NOH,New Orleans,240:00,0.829,0.171,0.558,0.154,0.202,0.163,0.24,0.25,0.404,0.621,0.379,1.0,0.0,0.694,0.306
1,0020800034,1610612741,Bulls,CHI,Chicago,240:00,0.774,0.226,0.5,0.146,0.25,0.167,0.25,0.177,0.354,0.5,0.5,0.875,0.125,0.594,0.406
0,0020800034,1610612763,Grizzlies,MEM,Memphis,240:00,0.92,0.08,0.674,0.279,0.105,0.14,0.221,0.105,0.395,0.345,0.655,1.0,0.0,0.406,0.594
1,0020800035,1610612745,Rockets,HOU,Houston,240:00,0.727,0.273,0.494,0.135,0.202,0.079,0.303,0.225,0.36,0.545,0.455,1.0,0.0,0.643,0.357
0,0020800035,1610612760,Thunder,OKC,Oklahoma City,240:00,0.953,0.047,0.883,0.26,0.0,0.273,0.117,0.234,0.623,0.529,0.471,0.0,0.0,0.529,0.471
1,0020800036,1610612749,Bucks,MIL,Milwaukee,240:00,0.84,0.16,0.759,0.184,0.103,0.161,0.138,0.184,0.575,0.636,0.364,1.0,0.0,0.667,0.333
0,0020800036,1610612761,Raptors,TOR,Toronto,240:00,0.746,0.254,0.484,0.264,0.264,0.044,0.253,0.187,0.22,0.636,0.364,1.0,0.0,0.733,0.267
1,0020800037,1610612743,Nuggets,DEN,Denver,240:00,0.703,0.297,0.536,0.124,0.247,0.155,0.216,0.144,0.412,0.846,0.154,1.0,0.0,0.882,0.118
0,0020800037,1610612747,Lakers,LAL,Los Angeles,240:00,0.805,0.195,0.519,0.173,0.173,0.106,0.308,0.144,0.346,0.519,0.481,0.667,0.333,0.545,0.455
1,0020800038,1610612746,Clippers,LAC,Los Angeles,240:00,0.877,0.123,0.658,0.203,0.114,0.139,0.228,0.063,0.456,0.346,0.654,1.0,0.0,0.414,0.586
0,0020800038,1610612762,Jazz,UTA,Utah,240:00,0.898,0.102,0.812,0.218,0.059,0.079,0.129,0.158,0.594,0.659,0.341,1.0,0.0,0.674,0.326
1,0020800039,1610612756,Suns,PHX,Phoenix,240:00,0.754,0.246,0.598,0.206,0.168,0.112,0.234,0.14,0.393,0.375,0.625,0.833,0.167,0.447,0.553
0,0020800039,1610612757,Trail Blazers,POR,Portland,240:00,0.728,0.272,0.583,0.271,0.281,0.052,0.135,0.167,0.313,0.393,0.607,0.778,0.222,0.486,0.514
1,0020800040,1610612749,Bucks,MIL,Milwaukee,240:00,0.864,0.136,0.681,0.277,0.128,0.064,0.191,0.277,0.404,0.563,0.438,0.75,0.25,0.583,0.417
0,0020800040,1610612752,Knicks,NYK,New York,240:00,0.556,0.444,0.419,0.116,0.419,0.047,0.163,0.209,0.302,0.5,0.5,0.833,0.167,0.633,0.367
1,0020800041,1610612750,Timberwolves,MIN,Minnesota,240:00,0.844,0.156,0.706,0.165,0.106,0.047,0.188,0.212,0.541,0.567,0.433,1.0,0.0,0.606,0.394
0,0020800041,1610612760,Thunder,OKC,Oklahoma City,240:00,0.966,0.034,0.818,0.205,0.034,0.227,0.148,0.148,0.614,0.389,0.611,1.0,0.0,0.405,0.595
0,0020800042,1610612765,Pistons,DET,Detroit,240:00,0.81,0.19,0.673,0.277,0.238,0.059,0.089,0.188,0.396,0.441,0.559,1.0,0.0,0.548,0.452
1,0020800042,1610612766,Bobcats,CHA,Charlotte,240:00,0.814,0.186,0.554,0.241,0.108,0.036,0.337,0.157,0.313,0.435,0.565,1.0,0.0,0.5,0.5
1,0020800043,1610612741,Bulls,CHI,Chicago,240:00,0.849,0.151,0.71,0.344,0.161,0.032,0.129,0.29,0.366,0.303,0.697,0.6,0.4,0.342,0.658
0,0020800043,1610612753,Magic,ORL,Orlando,240:00,0.663,0.338,0.5,0.125,0.281,0.188,0.219,0.271,0.375,0.375,0.625,0.778,0.222,0.485,0.515
1,0020800044,1610612755,76ers,PHI,Philadelphia,240:00,0.829,0.171,0.56,0.128,0.24,0.144,0.2,0.208,0.432,0.4,0.6,1.0,0.0,0.533,0.467
0,0020800044,1610612758,Kings,SAC,Sacramento,240:00,0.803,0.197,0.703,0.264,0.132,0.121,0.165,0.176,0.44,0.656,0.344,1.0,0.0,0.694,0.306
1,0020800045,1610612744,Warriors,GSW,Golden State,240:00,0.792,0.208,0.759,0.127,0.114,0.165,0.127,0.228,0.633,0.433,0.567,0.667,0.333,0.455,0.545
0,0020800045,1610612763,Grizzlies,MEM,Memphis,240:00,0.885,0.115,0.711,0.2,0.133,0.2,0.156,0.1,0.511,0.563,0.438,1.0,0.0,0.611,0.389
1,0020800046,1610612739,Cavaliers,CLE,Cleveland,240:00,0.823,0.177,0.6,0.34,0.15,0.14,0.25,0.2,0.26,0.533,0.467,0.6,0.4,0.543,0.457
0,0020800046,1610612742,Mavericks,DAL,Dallas,240:00,0.789,0.211,0.642,0.173,0.111,0.235,0.247,0.222,0.469,0.5,0.5,1.0,0.0,0.552,0.448
1,0020800047,1610612746,Clippers,LAC,Los Angeles,240:00,0.736,0.264,0.63,0.192,0.247,0.0,0.123,0.096,0.438,0.522,0.478,0.667,0.333,0.552,0.448
0,0020800047,1610612762,Jazz,UTA,Utah,240:00,0.87,0.13,0.719,0.225,0.0,0.101,0.281,0.213,0.494,0.594,0.406,0.0,0.0,0.594,0.406
1,0020800048,1610612751,Nets,NJN,New Jersey,240:00,0.735,0.265,0.488,0.233,0.244,0.186,0.267,0.198,0.256,0.476,0.524,0.857,0.143,0.571,0.429
0,0020800048,1610612756,Suns,PHX,Phoenix,240:00,0.735,0.265,0.544,0.158,0.316,0.175,0.14,0.149,0.386,0.645,0.355,0.917,0.083,0.721,0.279
1,0020800049,1610612738,Celtics,BOS,Boston,240:00,0.844,0.156,0.718,0.311,0.087,0.087,0.194,0.087,0.408,0.514,0.486,0.667,0.333,0.525,0.475
0,0020800049,1610612745,Rockets,HOU,Houston,240:00,0.724,0.276,0.545,0.283,0.212,0.121,0.242,0.182,0.263,0.481,0.519,0.857,0.143,0.559,0.441
1,0020800050,1610612742,Mavericks,DAL,Dallas,240:00,0.79,0.21,0.735,0.469,0.214,0.061,0.051,0.061,0.265,0.444,0.556,0.857,0.143,0.512,0.488
