gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench
0022400209,1610612756,Phoenix,Suns,PHX,suns,158:08,14,40,0.35,6,21,0.286,3,4,0.75,5,23,28,12,4,1,7,13,37,Bench
0022400209,1610612758,Sacramento,Kings,SAC,kings,199:30,44,85,0.518,8,25,0.32,10,12,0.833,7,40,47,21,4,1,10,17,106,Starters
0022400209,1610612758,Sacramento,Kings,SAC,kings,199:30,4,14,0.286,2,10,0.2,5,6,0.833,1,8,9,2,2,1,2,2,15,Bench
0022400210,1610612757,Portland,Trail Blazers,POR,blazers,112:54,17,44,0.386,3,21,0.143,9,12,0.75,7,10,17,3,3,0,11,9,46,Starters
0022400210,1610612757,Portland,Trail Blazers,POR,blazers,112:54,17,56,0.304,1,21,0.048,8,9,0.889,9,17,26,15,6,3,12,12,43,Bench
0022400210,1610612763,Memphis,Grizzlies,MEM,grizzlies,113:59,28,47,0.596,10,22,0.455,12,14,0.857,4,22,26,12,6,1,9,7,78,Starters
0022400210,1610612763,Memphis,Grizzlies,MEM,grizzlies,113:59,12,24,0.5,3,13,0.231,8,10,0.8,4,14,18,7,4,8,8,7,35,Bench
0022400211,1610612747,Los Angeles,Lakers,LAL,lakers,153:35,29,57,0.509,6,22,0.273,19,22,0.864,7,15,22,26,6,3,3,9,83,Starters
0022400211,1610612747,Los Angeles,Lakers,LAL,lakers,153:35,13,25,0.52,5,13,0.385,4,6,0.667,3,7,10,2,3,1,2,6,35,Bench
0022400211,1610612761,Toronto,Raptors,TOR,raptors,160:55,26,59,0.441,8,19,0.421,14,16,0.875,5,20,25,16,1,1,9,15,74,Starters
0022400211,1610612761,Toronto,Raptors,TOR,raptors,160:55,8,16,0.5,2,7,0.286,5,6,0.833,5,6,11,5,1,0,6,2,23,Bench
