SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612762,UTA,Utah Jazz,0022400130,2024-10-31,UTA vs. SAS,L,240,88,32,82,0.39,7,32,0.219,17,19,0.895,15,38,53,19,6,6,26,19,-18.0
22024,1610612746,LAC,LA Clippers,0022400131,2024-10-31,LAC vs. PHX,L,241,119,45,93,0.484,12,35,0.343,17,21,0.81,15,33,48,27,8,8,14,22,-6.0
22024,1610612756,PHX,Phoenix Suns,0022400131,2024-10-31,PHX @ LAC,W,240,125,42,82,0.512,18,39,0.462,23,28,0.821,8,31,39,29,12,4,12,20,6.0
22024,1610612738,BOS,Boston Celtics,0022400132,2024-11-01,BOS @ CHA,W,242,124,41,86,0.477,13,42,0.31,29,35,0.829,11,30,41,21,12,5,10,13,15.0
22024,1610612766,CHA,Charlotte Hornets,0022400132,2024-11-01,CHA vs. BOS,L,241,109,42,91,0.462,19,48,0.396,6,12,0.5,12,30,42,20,5,5,14,26,-15.0
22024,1610612739,CLE,Cleveland Cavaliers,0022400133,2024-11-01,CLE vs. ORL,W,239,120,44,87,0.506,15,38,0.395,17,20,0.85,7,42,49,25,6,4,12,21,11.0
22024,1610612753,ORL,Orlando Magic,0022400133,2024-11-01,ORL @ CLE,L,240,109,41,90,0.456,11,33,0.333,16,24,0.667,7,32,39,26,10,4,14,17,-11.0
22024,1610612752,NYK,New York Knicks,0022400134,2024-11-01,NYK @ DET,W,239,128,52,101,0.515,18,38,0.474,6,10,0.6,12,33,45,31,16,3,9,14,30.0
22024,1610612765,DET,Detroit Pistons,0022400134,2024-11-01,DET vs. NYK,L,240,98,41,81,0.506,11,34,0.324,5,7,0.714,6,32,38,23,6,9,22,12,-30.0
22024,1610612737,ATL,Atlanta Hawks,0022400135,2024-11-01,ATL vs. SAC,L,240,115,41,92,0.446,19,50,0.38,14,18,0.778,8,32,40,30,8,4,13,22,-8.0
