,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0,0022000630,1610612747,Lakers,LAL,Los Angeles,240:00,0.576,0.424,0.534,0.086,0.336,0.095,0.129,0.121,0.448,0.387,0.613,0.846,0.154,0.523,0.477
1,0022000630,1610612766,Hornets,CHA,Charlotte,240:00,0.651,0.349,0.571,0.0,0.314,0.114,0.114,0.171,0.571,0.567,0.433,0.818,0.182,0.634,0.366
0,0022000631,1610612758,Kings,SAC,Sacramento,240:00,0.63,0.37,0.467,0.112,0.336,0.14,0.196,0.15,0.355,0.48,0.52,0.833,0.167,0.595,0.405
1,0022000631,1610612738,Celtics,BOS,Boston,240:00,0.659,0.341,0.563,0.042,0.375,0.104,0.063,0.188,0.521,0.519,0.481,0.667,0.333,0.564,0.436
0,0022000632,1610612748,Heat,MIA,Miami,240:00,0.63,0.37,0.582,0.0,0.245,0.064,0.173,0.164,0.582,0.438,0.563,0.889,0.111,0.537,0.463
1,0022000632,1610612754,Pacers,IND,Indiana,240:00,0.596,0.404,0.467,0.029,0.438,0.153,0.095,0.168,0.438,0.594,0.406,0.95,0.05,0.731,0.269
1,0022000633,1610612751,Nets,BKN,Brooklyn,240:00,0.593,0.407,0.584,0.142,0.265,0.097,0.15,0.115,0.442,0.545,0.455,0.6,0.4,0.558,0.442
0,0022000633,1610612753,Magic,ORL,Orlando,240:00,0.524,0.476,0.364,0.066,0.521,0.058,0.116,0.091,0.298,0.545,0.455,0.667,0.333,0.605,0.395
0,0022000634,1610612762,Jazz,UTA,Utah,240:00,0.5,0.5,0.383,0.104,0.313,0.13,0.304,0.165,0.278,0.409,0.591,1.0,0.0,0.618,0.382
1,0022000634,1610612761,Raptors,TOR,Toronto,240:00,0.47,0.53,0.339,0.071,0.563,0.116,0.098,0.152,0.268,0.632,0.368,0.905,0.095,0.775,0.225
0,0022000635,1610612745,Rockets,HOU,Houston,240:00,0.636,0.364,0.6,0.08,0.27,0.13,0.13,0.18,0.52,0.533,0.467,0.556,0.444,0.538,0.462
1,0022000635,1610612765,Pistons,DET,Detroit,240:00,0.659,0.341,0.407,0.106,0.372,0.08,0.221,0.168,0.301,0.609,0.391,1.0,0.0,0.757,0.243
1,0022000636,1610612744,Warriors,GSW,Golden State,240:00,0.549,0.451,0.5,0.103,0.388,0.181,0.112,0.259,0.397,0.621,0.379,0.867,0.133,0.705,0.295
0,0022000636,1610612763,Grizzlies,MEM,Memphis,240:00,0.69,0.31,0.602,0.019,0.233,0.107,0.165,0.136,0.583,0.548,0.452,0.875,0.125,0.615,0.385
0,0022000637,1610612743,Nuggets,DEN,Denver,265:00,0.626,0.374,0.519,0.153,0.321,0.099,0.16,0.244,0.366,0.471,0.529,0.929,0.071,0.604,0.396
1,0022000637,1610612741,Bulls,CHI,Chicago,265:00,0.611,0.389,0.472,0.126,0.402,0.173,0.126,0.102,0.346,0.5,0.5,1.0,0.0,0.681,0.319
0,0022000638,1610612756,Suns,PHX,Phoenix,240:00,0.686,0.314,0.513,0.195,0.372,0.062,0.115,0.195,0.319,0.517,0.483,1.0,0.0,0.674,0.326
1,0022000638,1610612750,Timberwolves,MIN,Minnesota,240:00,0.557,0.443,0.475,0.059,0.386,0.119,0.139,0.208,0.416,0.583,0.417,0.615,0.385,0.595,0.405
0,0022000639,1610612757,Trail Blazers,POR,Portland,240:00,0.495,0.505,0.352,0.096,0.528,0.104,0.12,0.128,0.256,0.273,0.727,0.5,0.5,0.386,0.614
1,0022000639,1610612742,Mavericks,DAL,Dallas,240:00,0.481,0.519,0.42,0.05,0.479,0.118,0.101,0.092,0.37,0.36,0.64,0.842,0.158,0.568,0.432
1,0022000640,1610612737,Hawks,ATL,Atlanta,240:00,0.622,0.378,0.525,0.061,0.394,0.02,0.081,0.141,0.465,0.538,0.462,0.923,0.077,0.667,0.333
0,0022000640,1610612747,Lakers,LAL,Los Angeles,240:00,0.679,0.321,0.553,0.128,0.255,0.096,0.191,0.053,0.426,0.385,0.615,1.0,0.0,0.529,0.471
0,0022000641,1610612758,Kings,SAC,Sacramento,240:00,0.671,0.329,0.552,0.095,0.286,0.105,0.162,0.095,0.457,0.655,0.345,0.9,0.1,0.718,0.282
1,0022000641,1610612755,76ers,PHI,Philadelphia,240:00,0.733,0.267,0.574,0.171,0.256,0.163,0.171,0.124,0.403,0.378,0.622,0.909,0.091,0.5,0.5
0,0022000642,1610612763,Grizzlies,MEM,Memphis,240:00,0.663,0.337,0.486,0.072,0.27,0.108,0.243,0.144,0.414,0.593,0.407,0.9,0.1,0.676,0.324
1,0022000642,1610612744,Warriors,GSW,Golden State,240:00,0.544,0.456,0.35,0.039,0.379,0.049,0.272,0.126,0.311,0.611,0.389,0.923,0.077,0.742,0.258
1,0022000643,1610612749,Bucks,MIL,Milwaukee,240:00,0.587,0.413,0.517,0.1,0.35,0.05,0.133,0.092,0.417,0.452,0.548,0.714,0.286,0.533,0.467
0,0022000643,1610612759,Spurs,SAS,San Antonio,240:00,0.656,0.344,0.602,0.177,0.319,0.044,0.08,0.133,0.425,0.5,0.5,1.0,0.0,0.63,0.37
0,0022000644,1610612746,Clippers,LAC,LA,240:00,0.605,0.395,0.528,0.08,0.288,0.128,0.184,0.136,0.448,0.515,0.485,0.75,0.25,0.578,0.422
1,0022000644,1610612766,Hornets,CHA,Charlotte,240:00,0.488,0.513,0.327,0.02,0.459,0.041,0.214,0.051,0.306,0.688,0.313,0.933,0.067,0.806,0.194
1,0022000645,1610612754,Pacers,IND,Indiana,265:00,0.541,0.459,0.422,0.073,0.413,0.138,0.165,0.174,0.349,0.565,0.435,0.933,0.067,0.711,0.289
0,0022000645,1610612748,Heat,MIA,Miami,265:00,0.619,0.381,0.566,0.057,0.255,0.085,0.179,0.113,0.509,0.6,0.4,1.0,0.0,0.692,0.308
0,0022000646,1610612740,Pelicans,NOP,New Orleans,240:00,0.671,0.329,0.584,0.106,0.212,0.062,0.204,0.106,0.478,0.545,0.455,1.0,0.0,0.634,0.366
1,0022000646,1610612743,Nuggets,DEN,Denver,240:00,0.614,0.386,0.593,0.093,0.333,0.074,0.074,0.231,0.5,0.625,0.375,0.833,0.167,0.682,0.318
1,0022000647,1610612751,Nets,BKN,Brooklyn,240:00,0.678,0.322,0.619,0.088,0.239,0.168,0.142,0.239,0.531,0.543,0.457,0.556,0.444,0.545,0.455
0,0022000647,1610612764,Wizards,WAS,Washington,240:00,0.734,0.266,0.66,0.094,0.198,0.217,0.142,0.066,0.566,0.514,0.486,0.857,0.143,0.571,0.429
1,0022000648,1610612739,Cavaliers,CLE,Cleveland,240:00,0.571,0.429,0.379,0.034,0.44,0.078,0.181,0.112,0.345,0.591,0.409,0.941,0.059,0.744,0.256
0,0022000648,1610612761,Raptors,TOR,Toronto,240:00,0.516,0.484,0.419,0.019,0.429,0.248,0.152,0.248,0.4,0.318,0.682,0.8,0.2,0.514,0.486
1,0022000649,1610612741,Bulls,CHI,Chicago,240:00,0.65,0.35,0.46,0.04,0.42,0.15,0.12,0.21,0.42,0.565,0.435,0.929,0.071,0.703,0.297
0,0022000649,1610612765,Pistons,DET,Detroit,240:00,0.695,0.305,0.651,0.163,0.14,0.093,0.209,0.256,0.488,0.571,0.429,1.0,0.0,0.625,0.375
1,0022000650,1610612752,Knicks,NYK,New York,265:00,0.727,0.273,0.54,0.04,0.33,0.06,0.13,0.21,0.5,0.222,0.778,0.909,0.091,0.421,0.579
0,0022000650,1610612755,76ers,PHI,Philadelphia,265:00,0.695,0.305,0.535,0.139,0.327,0.129,0.139,0.149,0.396,0.37,0.63,0.818,0.182,0.5,0.5
0,0022000651,1610612756,Suns,PHX,Phoenix,240:00,0.632,0.368,0.595,0.126,0.243,0.054,0.162,0.09,0.468,0.636,0.364,1.0,0.0,0.714,0.286
1,0022000651,1610612747,Lakers,LAL,Los Angeles,240:00,0.706,0.294,0.638,0.149,0.16,0.181,0.202,0.117,0.489,0.5,0.5,1.0,0.0,0.571,0.429
1,0022000652,1610612742,Mavericks,DAL,Dallas,240:00,0.57,0.43,0.439,0.091,0.432,0.091,0.129,0.068,0.348,0.483,0.517,0.474,0.526,0.479,0.521
0,0022000652,1610612757,Trail Blazers,POR,Portland,240:00,0.539,0.461,0.543,0.087,0.293,0.076,0.163,0.033,0.457,0.32,0.68,1.0,0.0,0.5,0.5
0,0022000653,1610612758,Kings,SAC,Sacramento,240:00,0.667,0.333,0.605,0.101,0.328,0.126,0.067,0.042,0.504,0.417,0.583,0.846,0.154,0.531,0.469
1,0022000653,1610612739,Cavaliers,CLE,Cleveland,240:00,0.823,0.177,0.705,0.057,0.114,0.19,0.181,0.152,0.648,0.541,0.459,0.5,0.5,0.537,0.463
0,0022000654,1610612760,Thunder,OKC,Oklahoma City,240:00,0.575,0.425,0.357,0.071,0.563,0.063,0.08,0.107,0.286,0.55,0.45,0.762,0.238,0.659,0.341
1,0022000654,1610612750,Timberwolves,MIN,Minnesota,240:00,0.576,0.424,0.466,0.039,0.408,0.087,0.126,0.233,0.427,0.458,0.542,0.929,0.071,0.632,0.368
1,0022000655,1610612766,Hornets,CHA,Charlotte,240:00,0.605,0.395,0.44,0.08,0.36,0.05,0.2,0.22,0.36,0.727,0.273,0.917,0.083,0.794,0.206
0,0022000655,1610612759,Spurs,SAS,San Antonio,240:00,0.59,0.41,0.515,0.082,0.34,0.062,0.144,0.155,0.433,0.24,0.76,1.0,0.0,0.472,0.528
1,0022000656,1610612741,Bulls,CHI,Chicago,240:00,0.729,0.271,0.695,0.042,0.189,0.263,0.116,0.063,0.653,0.545,0.455,0.5,0.5,0.538,0.462
0,0022000656,1610612762,Jazz,UTA,Utah,240:00,0.576,0.424,0.467,0.05,0.425,0.192,0.108,0.142,0.417,0.464,0.536,0.706,0.294,0.556,0.444
0,0022000657,1610612761,Raptors,TOR,Toronto,240:00,0.54,0.46,0.545,0.02,0.303,0.192,0.152,0.162,0.525,0.37,0.63,0.9,0.1,0.514,0.486
1,0022000657,1610612745,Rockets,HOU,Houston,240:00,0.6,0.4,0.462,0.051,0.359,0.06,0.179,0.179,0.41,0.556,0.444,0.929,0.071,0.683,0.317
0,0022000658,1610612763,Grizzlies,MEM,Memphis,265:00,0.682,0.318,0.652,0.045,0.273,0.152,0.076,0.136,0.606,0.651,0.349,0.833,0.167,0.691,0.309
1,0022000658,1610612738,Celtics,BOS,Boston,265:00,0.611,0.389,0.476,0.048,0.405,0.119,0.119,0.024,0.429,0.533,0.467,0.882,0.118,0.66,0.34
1,0022000659,1610612754,Pacers,IND,Indiana,240:00,0.55,0.45,0.584,0.071,0.319,0.097,0.097,0.168,0.513,0.606,0.394,0.583,0.417,0.6,0.4
