GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21300001,1610612753,ORL,Orlando,101131,Jason Maxiell,Jason,F,,26:19,0.4,0.08,0.211,0.259,0.608,0.486,0.26,0.294
21300001,1610612753,ORL,Orlando,203090,Maurice Harkless,Maurice,F,,23:30,0.37,0.02,0.153,0.214,0.408,0.342,0.175,0.261
21300001,1610612753,ORL,Orlando,202696,Nikola Vucevic,Nikola,C,,30:39,0.341,0.095,0.212,0.286,0.542,0.438,0.196,0.32
21300001,1610612753,ORL,Orlando,201167,Arron Afflalo,Arron,G,,32:59,0.415,0.123,0.193,0.294,0.567,0.346,0.191,0.36
21300001,1610612753,ORL,Orlando,2749,Jameer Nelson,Jameer,G,,30:34,0.429,0.095,0.18,0.324,0.617,0.277,0.231,0.3
21300001,1610612753,ORL,Orlando,203506,Victor Oladipo,Victor,,,22:35,0.417,0.214,0.22,0.35,0.617,0.733,0.262,0.214
21300001,1610612753,ORL,Orlando,203094,Andrew Nicholson,Andrew,,,19:17,0.514,0.162,0.168,0.313,0.565,0.323,0.16,0.267
21300001,1610612753,ORL,Orlando,202734,E'Twaun Moore,E'Twaun,,,25:45,0.536,0.143,0.194,0.176,0.486,0.528,0.234,0.263
21300001,1610612753,ORL,Orlando,203124,Kyle O'Quinn,Kyle,,,14:23,0.58,0.16,0.144,0.273,0.421,0.579,0.268,0.2
21300001,1610612753,ORL,Orlando,101179,Ronnie Price,Ronnie,,,8:37,0.529,0.0,0.118,0.25,0.25,1.1,0.224,0.143
21300001,1610612753,ORL,Orlando,200780,Solomon Jones,Solomon,,,5:22,0.545,0.0,0.0,0.2,0.143,0.571,0.205,0.2
21300001,1610612753,ORL,Orlando,202699,Tobias Harris,Tobias,,NWT - Sprained Left Ankle,,,,,,,,,
21300001,1610612753,ORL,Orlando,203117,Doron Lamb,Doron,,DND - Sprained Right Ankle,,,,,,,,,
21300001,1610612754,IND,Indiana,202331,Paul George,Paul,F,,36:05,0.509,0.491,0.242,0.276,0.387,0.053,0.176,0.282
21300001,1610612754,IND,Indiana,2561,David West,David,F,,30:43,0.547,0.512,0.255,0.286,0.415,0.068,0.185,0.258
21300001,1610612754,IND,Indiana,201579,Roy Hibbert,Roy,C,,26:54,0.524,0.405,0.22,0.304,0.353,0.052,0.193,0.281
21300001,1610612754,IND,Indiana,202362,Lance Stephenson,Lance,G,,35:38,0.536,0.364,0.189,0.308,0.421,0.114,0.172,0.289
21300001,1610612754,IND,Indiana,201588,George Hill,George,G,,29:04,0.464,0.405,0.256,0.261,0.379,0.069,0.173,0.226
21300001,1610612754,IND,Indiana,203111,Orlando Johnson,Orlando,,,15:12,0.571,0.857,0.236,0.273,0.404,0.231,0.289,0.333
21300001,1610612754,IND,Indiana,2449,Luis Scola,Luis,,,20:43,0.455,0.424,0.17,0.278,0.463,0.146,0.157,0.316
21300001,1610612754,IND,Indiana,201228,C.J. Watson,C.J.,,,19:54,0.6,0.5,0.155,0.286,0.541,0.162,0.192,0.353
21300001,1610612754,IND,Indiana,203524,Solomon Hill,Solomon,,,8:07,0.542,0.0,0.214,0.2,0.808,0.154,0.067,0.0
21300001,1610612754,IND,Indiana,101133,Ian Mahinmi,Ian,,,16:42,0.63,0.478,0.213,0.222,0.596,0.269,0.212,0.273
21300001,1610612754,IND,Indiana,2446,Rasual Butler,Rasual,,,0:58,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
21300001,1610612754,IND,Indiana,203142,Chris Copeland,Chris,,DNP - Coach's Decision,,,,,,,,,
21300001,1610612754,IND,Indiana,202388,Donald Sloan,Donald,,DNP - Coach's Decision,,,,,,,,,
21300002,1610612741,CHI,Chicago,2736,Luol Deng,Luol,F,,29:28,0.462,0.226,0.163,0.259,0.533,0.174,0.209,0.167
21300002,1610612741,CHI,Chicago,2430,Carlos Boozer,Carlos,F,,32:24,0.466,0.259,0.209,0.276,0.533,0.5,0.246,0.167
21300002,1610612741,CHI,Chicago,201149,Joakim Noah,Joakim,C,,20:09,0.47,0.212,0.288,0.235,0.467,0.5,0.202,0.059
21300002,1610612741,CHI,Chicago,202710,Jimmy Butler,Jimmy,G,,29:55,0.578,0.275,0.164,0.273,0.585,0.415,0.231,0.111
21300002,1610612741,CHI,Chicago,201565,Derrick Rose,Derrick,G,,34:21,0.474,0.333,0.229,0.267,0.569,0.451,0.216,0.12
21300002,1610612741,CHI,Chicago,2399,Mike Dunleavy,Mike,,,22:56,0.408,0.263,0.138,0.2,0.605,0.158,0.137,0.167
21300002,1610612741,CHI,Chicago,201959,Taj Gibson,Taj,,,29:19,0.434,0.302,0.117,0.219,0.663,0.348,0.183,0.2
21300002,1610612741,CHI,Chicago,2550,Kirk Hinrich,Kirk,,,29:29,0.462,0.25,0.175,0.188,0.663,0.581,0.19,0.15
21300002,1610612741,CHI,Chicago,1737,Nazr Mohammed,Nazr,,,5:16,0.25,0.667,0.228,0.167,0.65,0.2,0.0,0.2
21300002,1610612741,CHI,Chicago,203503,Tony Snell,Tony,,,6:44,0.357,0.357,0.233,0.3,0.889,1.111,0.183,0.0
21300002,1610612741,CHI,Chicago,2229,Mike James,Mike,,DNP - Coach's Decision,,,,,,,,,
21300002,1610612741,CHI,Chicago,203513,Erik Murphy,Erik,,DNP - Coach's Decision,,,,,,,,,
21300002,1610612741,CHI,Chicago,203104,Marquis Teague,Marquis,,DNP - Coach's Decision,,,,,,,,,
21300002,1610612748,MIA,Miami,2544,LeBron James,LeBron,F,,38:01,0.553,0.439,0.22,0.143,0.442,0.261,0.193,0.27
21300002,1610612748,MIA,Miami,2617,Udonis Haslem,Udonis,F,,21:28,0.467,0.567,0.215,0.059,0.487,0.184,0.239,0.316
