,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
12,0021000001,1610612738,BOS,Boston,1718,Paul Pierce,Paul,F,,40:33,0.589,0.375,0.236,0.241,0.394,0.348,0.166,0.268
13,0021000001,1610612738,BOS,Boston,708,Kevin Garnett,Kevin,F,,35:13,0.604,0.417,0.225,0.208,0.454,0.389,0.181,0.281
14,0021000001,1610612738,BOS,Boston,406,Shaquille O'Neal,Shaquille,C,,18:09,0.563,0.458,0.244,0.286,0.417,0.417,0.216,0.214
15,0021000001,1610612738,BOS,Boston,951,Ray Allen,Ray,G,,39:16,0.465,0.351,0.214,0.219,0.44,0.397,0.191,0.257
16,0021000001,1610612738,BOS,Boston,200765,Rajon Rondo,Rajon,G,,41:29,0.5,0.367,0.206,0.242,0.458,0.356,0.199,0.229
17,0021000001,1610612738,BOS,Boston,201175,Glen Davis,Glen,,,29:24,0.5,0.311,0.203,0.182,0.429,0.306,0.174,0.267
18,0021000001,1610612738,BOS,Boston,979,Jermaine O'Neal,Jermaine,,,12:47,0.333,0.238,0.198,0.25,0.325,0.2,0.202,0.154
19,0021000001,1610612738,BOS,Boston,2605,Marquis Daniels,Marquis,,,12:49,0.421,0.368,0.192,0.125,0.35,0.2,0.202,0.154
20,0021000001,1610612738,BOS,Boston,101126,Nate Robinson,Nate,,,10:20,0.7,0.333,0.236,0.167,0.375,0.2,0.176,0.25
21,0021000001,1610612738,BOS,Boston,201623,Semih Erden,Semih,,DNP - Coach's Decision,,,,,,,,,
22,0021000001,1610612738,BOS,Boston,101144,Von Wafer,Von,,DNP - Coach's Decision,,,,,,,,,
23,0021000001,1610612738,BOS,Boston,2753,Delonte West,Delonte,,NWT - League Suspension,,,,,,,,,
0,0021000001,1610612748,MIA,Miami,2544,LeBron James,LeBron,F,,42:39,0.437,0.397,0.188,0.237,0.476,0.355,0.211,0.229
1,0021000001,1610612748,MIA,Miami,2547,Chris Bosh,Chris,F,,37:37,0.392,0.317,0.171,0.27,0.647,0.373,0.231,0.24
2,0021000001,1610612748,MIA,Miami,201202,Joel Anthony,Joel,C,,16:41,0.25,0.4,0.281,0.214,0.481,0.154,0.195,0.231
3,0021000001,1610612748,MIA,Miami,2548,Dwyane Wade,Dwyane,G,,36:41,0.377,0.333,0.19,0.278,0.627,0.333,0.234,0.25
4,0021000001,1610612748,MIA,Miami,2306,Carlos Arroyo,Carlos,G,,12:33,0.464,0.429,0.277,0.143,0.625,0.375,0.231,0.25
5,0021000001,1610612748,MIA,Miami,2592,James Jones,James,,,26:04,0.398,0.25,0.177,0.25,0.434,0.395,0.198,0.2
6,0021000001,1610612748,MIA,Miami,2617,Udonis Haslem,Udonis,,,30:36,0.433,0.25,0.165,0.226,0.458,0.396,0.192,0.231
7,0021000001,1610612748,MIA,Miami,2067,Eddie House,Eddie,,,26:30,0.444,0.311,0.15,0.222,0.5,0.375,0.22,0.19
8,0021000001,1610612748,MIA,Miami,980,Zydrunas Ilgauskas,Zydrunas,,,10:39,0.733,0.667,0.187,0.286,0.346,0.615,0.279,0.125
9,0021000001,1610612748,MIA,Miami,201596,Mario Chalmers,Mario,,DNP - Coach's Decision,,,,,,,,,
10,0021000001,1610612748,MIA,Miami,436,Juwan Howard,Juwan,,DNP - Coach's Decision,,,,,,,,,
11,0021000001,1610612748,MIA,Miami,2048,Jamaal Magloire,Jamaal,,DNP - Coach's Decision,,,,,,,,,
0,0021000002,1610612756,PHX,Phoenix,255,Grant Hill,Grant,F,,26:05,0.605,0.237,0.234,0.316,0.529,0.098,0.199,0.591
1,0021000002,1610612756,PHX,Phoenix,2045,Hedo Turkoglu,Hedo,F,,27:13,0.556,0.133,0.164,0.333,0.548,0.077,0.161,0.522
2,0021000002,1610612756,PHX,Phoenix,201577,Robin Lopez,Robin,C,,24:50,0.641,0.179,0.195,0.294,0.49,0.122,0.226,0.667
3,0021000002,1610612756,PHX,Phoenix,2202,Jason Richardson,Jason,G,,35:05,0.63,0.26,0.266,0.25,0.5,0.127,0.145,0.457
4,0021000002,1610612756,PHX,Phoenix,959,Steve Nash,Steve,G,,35:25,0.618,0.255,0.262,0.24,0.507,0.143,0.134,0.457
5,0021000002,1610612756,PHX,Phoenix,101112,Channing Frye,Channing,,,25:24,0.431,0.25,0.24,0.095,0.531,0.204,0.095,0.273
6,0021000002,1610612756,PHX,Phoenix,101124,Hakim Warrick,Hakim,,,18:11,0.554,0.357,0.217,0.0,0.5,0.286,0.124,0.25
7,0021000002,1610612756,PHX,Phoenix,201162,Jared Dudley,Jared,,,18:18,0.484,0.188,0.106,0.063,0.485,0.294,0.145,0.214
8,0021000002,1610612756,PHX,Phoenix,2735,Josh Childress,Josh,,,16:54,0.393,0.143,0.148,0.067,0.548,0.194,0.144,0.364
9,0021000002,1610612756,PHX,Phoenix,201609,Goran Dragic,Goran,,,12:35,0.391,0.13,0.041,0.083,0.543,0.217,0.205,0.333
10,0021000002,1610612756,PHX,Phoenix,201947,Earl Clark,Earl,,DNP - Coach's Decision,,,,,,,,,
11,0021000002,1610612756,PHX,Phoenix,202081,Garret Siler,Garret,,DNP - Coach's Decision,,,,,,,,,
12,0021000002,1610612757,POR,Portland,201587,Nicolas Batum,Nicolas,F,,26:47,0.509,0.075,0.181,0.56,0.538,0.2,0.21,0.286
13,0021000002,1610612757,POR,Portland,200746,LaMarcus Aldridge,LaMarcus,F,,38:17,0.506,0.13,0.155,0.457,0.652,0.232,0.234,0.231
14,0021000002,1610612757,POR,Portland,948,Marcus Camby,Marcus,C,,30:02,0.525,0.133,0.174,0.667,0.612,0.143,0.163,0.3
15,0021000002,1610612757,POR,Portland,200750,Brandon Roy,Brandon,G,,39:48,0.526,0.167,0.163,0.472,0.575,0.217,0.225,0.233
16,0021000002,1610612757,POR,Portland,1889,Andre Miller,Andre,G,,26:42,0.559,0.098,0.183,0.565,0.537,0.171,0.191,0.273
17,0021000002,1610612757,POR,Portland,202083,Wesley Matthews,Wesley,,,30:24,0.561,0.193,0.137,0.227,0.455,0.273,0.241,0.077
18,0021000002,1610612757,POR,Portland,201164,Rudy Fernandez,Rudy,,,21:50,0.43,0.233,0.105,0.25,0.543,0.257,0.209,0.059
19,0021000002,1610612757,POR,Portland,201967,Dante Cunningham,Dante,,,13:44,0.48,0.36,0.1,0.167,0.568,0.273,0.169,0.0
20,0021000002,1610612757,POR,Portland,101177,Fabricio Oberto,Fabricio,,,3:03,0.5,1.0,0.316,0.0,0.167,0.333,0.127,0.0
21,0021000002,1610612757,POR,Portland,202356,Armon Johnson,Armon,,,9:23,0.5,0.111,0.151,0.333,0.324,0.176,0.104,0.111
22,0021000002,1610612757,POR,Portland,202337,Luke Babbitt,Luke,,DNP - Coach's Decision,,,,,,,,,
23,0021000002,1610612757,POR,Portland,201988,Patty Mills,Patty,,DNP - Coach's Decision,,,,,,,,,
0,0021000003,1610612745,HOU,Houston,2203,Shane Battier,Shane,F,,31:24,0.466,0.407,0.201,0.357,0.41,0.224,0.109,0.216
1,0021000003,1610612745,HOU,Houston,2449,Luis Scola,Luis,F,,33:11,0.484,0.381,0.193,0.367,0.462,0.292,0.108,0.194
2,0021000003,1610612745,HOU,Houston,2397,Yao Ming,ao Ming,C,,23:21,0.5,0.233,0.156,0.19,0.489,0.4,0.102,0.346
3,0021000003,1610612745,HOU,Houston,2755,Kevin Martin,Kevin,G,,29:29,0.451,0.279,0.173,0.355,0.429,0.27,0.09,0.263
4,0021000003,1610612745,HOU,Houston,201166,Aaron Brooks,Aaron,G,,41:39,0.475,0.325,0.199,0.385,0.435,0.247,0.118,0.267
5,0021000003,1610612745,HOU,Houston,1802,Brad Miller,Brad,,,24:39,0.427,0.375,0.228,0.48,0.441,0.196,0.122,0.2
6,0021000003,1610612745,HOU,Houston,101236,Chuck Hayes,Chuck,,,14:49,0.411,0.143,0.195,0.313,0.468,0.29,0.125,0.467
7,0021000003,1610612745,HOU,Houston,201978,Chase Budinger,Chase,,,21:41,0.461,0.368,0.233,0.4,0.5,0.351,0.153,0.235
8,0021000003,1610612745,HOU,Houston,201584,Courtney Lee,Courtney,,,15:03,0.519,0.115,0.171,0.231,0.63,0.481,0.101,0.5
9,0021000003,1610612745,HOU,Houston,202397,Ish Smith,Ish,,,4:43,0.222,0.0,0.111,0.143,0.722,0.556,0.098,0.5
10,0021000003,1610612745,HOU,Houston,201941,Jordan Hill,Jordan,,DNP - Coach's Decision,,,,,,,,,
11,0021000003,1610612745,HOU,Houston,2407,Jared Jeffries,Jared,,DNP - Coach's Decision,,,,,,,,,
12,0021000003,1610612747,LAL,Los Angeles,1897,Metta World Peace,Metta,F,,29:21,0.385,0.154,0.104,0.25,0.48,0.392,0.236,0.308
13,0021000003,1610612747,LAL,Los Angeles,1885,Lamar Odom,Lamar,F,,32:54,0.571,0.464,0.128,0.222,0.438,0.292,0.164,0.364
14,0021000003,1610612747,LAL,Los Angeles,2200,Pau Gasol,Pau,C,,40:07,0.457,0.317,0.12,0.283,0.463,0.288,0.185,0.366
15,0021000003,1610612747,LAL,Los Angeles,977,Kobe Bryant,Kobe,G,,37:04,0.459,0.301,0.108,0.2,0.486,0.329,0.166,0.371
16,0021000003,1610612747,LAL,Los Angeles,965,Derek Fisher,Derek,G,,22:53,0.38,0.22,0.093,0.2,0.5,0.381,0.204,0.286
17,0021000003,1610612747,LAL,Los Angeles,202382,Derrick Caracter,Derrick,,,2:14,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0
18,0021000003,1610612747,LAL,Los Angeles,689,Theo Ratliff,Theo,,,16:53,0.402,0.098,0.079,0.381,0.554,0.357,0.234,0.231
19,0021000003,1610612747,LAL,Los Angeles,2581,Steve Blake,Steve,,,21:32,0.536,0.357,0.147,0.4,0.372,0.256,0.209,0.417
20,0021000003,1610612747,LAL,Los Angeles,200769,Shannon Brown,Shannon,,,21:15,0.566,0.395,0.135,0.353,0.429,0.262,0.209,0.429
21,0021000003,1610612747,LAL,Los Angeles,2440,Matt Barnes,Matt,,,15:47,0.517,0.379,0.097,0.429,0.407,0.148,0.195,0.267
22,0021000003,1610612747,LAL,Los Angeles,202365,Devin Ebanks,Devin,,DNP - Coach's Decision,,,,,,,,,
23,0021000003,1610612747,LAL,Los Angeles,2756,Sasha Vujacic,Sasha,,DNP - Coach's Decision,,,,,,,,,
0,0021000004,1610612738,BOS,Boston,1718,Paul Pierce,Paul,F,,33:19,0.464,0.255,0.188,0.179,0.528,0.315,0.135,0.154
1,0021000004,1610612738,BOS,Boston,708,Kevin Garnett,Kevin,F,,29:08,0.511,0.319,0.182,0.174,0.444,0.378,0.151,0.083
2,0021000004,1610612738,BOS,Boston,406,Shaquille O'Neal,Shaquille,C,,21:02,0.578,0.219,0.195,0.154,0.543,0.371,0.117,0.176
3,0021000004,1610612738,BOS,Boston,951,Ray Allen,Ray,G,,35:26,0.5,0.298,0.179,0.179,0.491,0.31,0.139,0.138
4,0021000004,1610612738,BOS,Boston,200765,Rajon Rondo,Rajon,G,,38:24,0.517,0.259,0.209,0.148,0.492,0.333,0.158,0.167
5,0021000004,1610612738,BOS,Boston,2605,Marquis Daniels,Marquis,,,18:21,0.5,0.292,0.218,0.167,0.443,0.114,0.159,0.294
6,0021000004,1610612738,BOS,Boston,201175,Glen Davis,Glen,,,32:54,0.426,0.298,0.225,0.2,0.458,0.102,0.18,0.241
7,0021000004,1610612738,BOS,Boston,979,Jermaine O'Neal,Jermaine,,,12:22,0.531,0.25,0.23,0.167,0.522,0.087,0.168,0.4
8,0021000004,1610612738,BOS,Boston,101144,Von Wafer,Von,,,6:57,0.667,0.667,0.279,0.0,0.346,0.077,0.277,0.429
9,0021000004,1610612738,BOS,Boston,101126,Nate Robinson,Nate,,,12:07,0.361,0.444,0.204,0.182,0.457,0.304,0.148,0.273
10,0021000004,1610612738,BOS,Boston,201623,Semih Erden,Semih,,DNP - Coach's Decision,,,,,,,,,
11,0021000004,1610612738,BOS,Boston,2753,Delonte West,Delonte,,NWT - League Suspension,,,,,,,,,
12,0021000004,1610612739,CLE,Cleveland,200081,Jamario Moon,Jamario,F,,29:10,0.468,0.383,0.119,0.12,0.511,0.267,0.202,0.136
13,0021000004,1610612739,CLE,Cleveland,201581,JJ Hickson,JJ,F,,29:50,0.552,0.271,0.148,0.091,0.461,0.216,0.178,0.192
14,0021000004,1610612739,CLE,Cleveland,2760,Anderson Varejao,Anderson,C,,32:28,0.539,0.333,0.181,0.16,0.454,0.278,0.165,0.172
15,0021000004,1610612739,CLE,Cleveland,1515,Anthony Parker,Anthony,G,,34:54,0.509,0.321,0.143,0.143,0.5,0.263,0.182,0.179
16,0021000004,1610612739,CLE,Cleveland,201196,Ramon Sessions,Ramon,G,,34:42,0.475,0.305,0.151,0.179,0.5,0.353,0.215,0.16
17,0021000004,1610612739,CLE,Cleveland,200789,Daniel Gibson,Daniel,,,27:08,0.457,0.213,0.184,0.292,0.447,0.289,0.201,0.15
18,0021000004,1610612739,CLE,Cleveland,1712,Antawn Jamison,Antawn,,,20:54,0.432,0.108,0.196,0.316,0.577,0.308,0.246,0.2
19,0021000004,1610612739,CLE,Cleveland,200797,Ryan Hollins,Ryan,,,15:32,0.383,0.133,0.098,0.267,0.611,0.333,0.289,0.167
20,0021000004,1610612739,CLE,Cleveland,101214,Jawad Williams,Jawad,,,15:22,0.45,0.1,0.16,0.357,0.475,0.45,0.215,0.222
