GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,OU
22201217,2023-04-09,PHI,1.0,219.0
22201230,2023-04-09,POR,17.0,234.0
22201229,2023-04-09,PHX,10.0,225.0
22201217,2023-04-09,BKN,-1.0,219.0
22201229,2023-04-09,LAC,-10.0,225.0
22201216,2023-04-09,BOS,-4.5,224.0
22201228,2023-04-09,UTA,17.0,235.5
22201218,2023-04-09,CLE,-6.5,216.0
22201222,2023-04-09,HOU,-4.0,231.5
22201216,2023-04-09,ATL,4.5,224.0
22201220,2023-04-09,NYK,-9.5,231.5
22201228,2023-04-09,LAL,-17.0,235.5
22201219,2023-04-09,MIA,-5.0,218.0
22201224,2023-04-09,SAS,4.0,232.5
22201225,2023-04-09,MIN,-3.0,227.0
22201218,2023-04-09,CHA,6.5,216.0
22201226,2023-04-09,MEM,2.5,229.5
22201222,2023-04-09,WAS,4.0,231.5
22201227,2023-04-09,DEN,5.5,230.0
22201221,2023-04-09,TOR,-3.5,221.0
22201221,2023-04-09,MIL,3.5,221.0
22201230,2023-04-09,GSW,-17.0,234.0
22201226,2023-04-09,OKC,-2.5,229.5
22201220,2023-04-09,IND,9.5,231.5
22201225,2023-04-09,NOP,3.0,227.0
22201219,2023-04-09,ORL,5.0,218.0
22201215,2023-04-08,POR,17.0,230.0
22201215,2023-04-08,LAC,-17.0,230.0
22201213,2023-04-08,DEN,-10.0,229.0
22201214,2023-04-08,MIN,-15.0,234.5
22201213,2023-04-08,UTA,10.0,229.0
22201214,2023-04-08,SAS,15.0,234.5
22201207,2023-04-07,BKN,-9.0,221.0
22201205,2023-04-07,ATL,-11.5,237.5
22201209,2023-04-07,NOP,-8.0,223.5
22201203,2023-04-07,DET,6.5,233.0
22201211,2023-04-07,SAC,11.0,233.5
22201206,2023-04-07,TOR,-2.0,223.0
22201203,2023-04-07,IND,-6.5,233.0
22201204,2023-04-07,WAS,3.5,218.0
22201202,2023-04-07,CHA,5.5,230.0
22201206,2023-04-07,BOS,2.0,223.0
22201207,2023-04-07,ORL,9.0,221.0
22201205,2023-04-07,PHI,11.5,237.5
22201204,2023-04-07,MIA,-3.5,218.0
22201202,2023-04-07,HOU,-5.5,230.0
22201210,2023-04-07,DAL,-2.0,216.0
22201211,2023-04-07,GSW,-11.0,233.5
22201208,2023-04-07,MIL,9.0,231.0
22201210,2023-04-07,CHI,2.0,216.0
22201198,2023-04-06,MIA,2.5,219.5
22201198,2023-04-06,PHI,-2.5,219.5
22201197,2023-04-06,ORL,-5.0,214.5
22201201,2023-04-06,PHX,-13.5,222.0
22201199,2023-04-06,POR,5.5,228.0
22201201,2023-04-06,DEN,13.5,222.0
22201200,2023-04-06,OKC,-7.0,240.0
22201200,2023-04-06,UTA,7.0,240.0
22201197,2023-04-06,CLE,5.0,214.5
22201195,2023-04-05,SAC,6.0,243.0
22201194,2023-04-05,MEM,6.5,226.0
22201196,2023-04-05,LAL,-2.0,231.0
22201191,2023-04-05,WAS,13.0,236.0
22201189,2023-04-05,BKN,-11.5,218.0
22201194,2023-04-05,NOP,-6.5,226.0
22201189,2023-04-05,DET,11.5,218.0
22201191,2023-04-05,ATL,-13.0,236.0
22201193,2023-04-05,CHI,5.0,230.0
22201192,2023-04-05,BOS,2.0,223.5
22201192,2023-04-05,TOR,-2.0,223.5
22201190,2023-04-05,IND,5.0,229.5
22201190,2023-04-05,NYK,-5.0,229.5
22201195,2023-04-05,DAL,-6.0,243.0
22201196,2023-04-05,LAC,2.0,231.0
22201177,2023-04-04,MIA,-14.0,216.5
22201186,2023-04-04,UTA,11.0,234.5
22201188,2023-04-04,SAS,19.0,235.0
22201187,2023-04-04,OKC,7.5,240.5
22201179,2023-04-04,WAS,14.0,230.5
22201188,2023-04-04,PHX,-19.0,235.0
22201177,2023-04-04,DET,14.0,216.5
