GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,OU
22100001,2021-10-19,MIL,-2.0,234.0
22100002,2021-10-19,GSW,3.0,226.5
22100002,2021-10-19,LAL,-3.0,226.5
22100003,2021-10-20,IND,-1.5,223.5
22100003,2021-10-20,CHA,1.5,223.5
22100004,2021-10-20,CHI,-5.5,218.5
22100005,2021-10-20,BOS,2.5,217.0
22100005,2021-10-20,NYK,-2.5,217.0
22100006,2021-10-20,TOR,-2.5,220.5
22100006,2021-10-20,WAS,2.5,220.5
22100007,2021-10-20,CLE,7.0,216.5
22100007,2021-10-20,MEM,-7.0,216.5
22100008,2021-10-20,HOU,6.5,229.5
22100008,2021-10-20,MIN,-6.5,229.5
22100009,2021-10-20,NOP,4.0,225.5
22100009,2021-10-20,PHI,-4.0,225.5
22100010,2021-10-20,ORL,7.0,213.0
22100010,2021-10-20,SAS,-7.0,213.0
22100011,2021-10-20,UTA,-13.5,221.5
22100012,2021-10-20,PHX,-6.0,222.5
22100013,2021-10-20,POR,-6.5,232.5
22100013,2021-10-20,SAC,6.5,232.5
22100014,2021-10-21,ATL,-2.5,224.5
22100014,2021-10-21,DAL,2.5,224.5
22100015,2021-10-21,MIA,-3.0,222.5
22100015,2021-10-21,MIL,3.0,222.5
22100016,2021-10-21,GSW,-3.0,229.0
22100017,2021-10-22,CLE,4.0,225.5
22100017,2021-10-22,CHA,-4.0,225.5
22100018,2021-10-22,NYK,-7.0,211.0
22100018,2021-10-22,ORL,7.0,211.0
22100019,2021-10-22,IND,1.5,227.5
22100020,2021-10-22,BOS,-6.5,217.5
22100020,2021-10-22,TOR,6.5,217.5
22100021,2021-10-22,BKN,-3.5,229.5
22100021,2021-10-22,PHI,3.5,229.5
22100022,2021-10-22,NOP,7.0,221.0
22100022,2021-10-22,CHI,-7.0,221.0
22100024,2021-10-22,DEN,-7.5,221.0
22100024,2021-10-22,SAS,7.5,221.0
22100025,2021-10-22,LAL,-0.5,220.0
22100025,2021-10-22,PHX,0.5,220.0
22100026,2021-10-22,SAC,6.0,226.5
22100026,2021-10-22,UTA,-6.0,226.5
22100027,2021-10-23,CLE,8.5,222.5
22100028,2021-10-23,IND,4.5,223.5
22100029,2021-10-23,DAL,-4.0,216.5
22100029,2021-10-23,TOR,4.0,216.5
22100030,2021-10-23,DET,8.0,213.5
22100031,2021-10-23,MIN,-7.5,228.5
22100032,2021-10-23,SAS,6.0,225.5
22100033,2021-10-23,PHX,2.5,230.5
22100033,2021-10-23,POR,-2.5,230.5
22100034,2021-10-23,LAC,-4.0,226.0
22100034,2021-10-23,MEM,4.0,226.0
22100036,2021-10-24,NYK,-12.0,215.5
22100036,2021-10-24,ORL,12.0,215.5
22100037,2021-10-24,BOS,-5.5,224.5
22100037,2021-10-24,HOU,5.5,224.5
22100038,2021-10-24,PHI,-8.5,216.5
22100038,2021-10-24,OKC,8.5,216.5
22100039,2021-10-24,GSW,-3.5,232.5
22100040,2021-10-24,LAL,-6.5,220.5
22100040,2021-10-24,MEM,6.5,220.5
22100041,2021-10-25,BOS,-1.0,223.5
22100041,2021-10-25,CHA,1.0,223.5
22100042,2021-10-25,MIL,-2.0,229.5
22100042,2021-10-25,IND,2.0,229.5
22100043,2021-10-25,ATL,-11.5,212.5
22100043,2021-10-25,DET,11.5,212.5
22100044,2021-10-25,BKN,-7.0,228.5
22100044,2021-10-25,WAS,7.0,228.5
22100045,2021-10-25,MIA,-13.0,211.0
22100045,2021-10-25,ORL,13.0,211.0
22100046,2021-10-25,TOR,1.5,211.5
22100047,2021-10-25,NOP,5.5,226.0
22100047,2021-10-25,MIN,-5.5,226.0
22100048,2021-10-25,CLE,10.0,219.5
22100048,2021-10-25,DEN,-10.0,219.5
22100049,2021-10-25,LAC,-3.0,231.0
22100049,2021-10-25,POR,3.0,231.0
22100050,2021-10-26,PHI,1.5,218.5
22100051,2021-10-26,GSW,-9.0,224.0
22100051,2021-10-26,OKC,9.0,224.0
22100052,2021-10-26,DAL,-11.0,221.5
22100053,2021-10-26,LAL,-4.5,220.5
22100053,2021-10-26,SAS,4.5,220.5
22100054,2021-10-26,DEN,7.5,219.0
22100054,2021-10-26,UTA,-7.5,219.0
22100055,2021-10-27,ORL,6.0,216.0
22100055,2021-10-27,CHA,-6.0,216.0
22100056,2021-10-27,BOS,-4.5,225.5
22100056,2021-10-27,WAS,4.5,225.5
22100057,2021-10-27,MIA,4.5,218.0
22100058,2021-10-27,IND,-1.5,218.0
22100058,2021-10-27,TOR,1.5,218.0
22100059,2021-10-27,ATL,-6.0,219.5
22100059,2021-10-27,NOP,6.0,219.5
22100060,2021-10-27,MIL,-7.5,228.5
22100060,2021-10-27,MIN,7.5,228.5
22100061,2021-10-27,LAL,-9.0,220.5
22100061,2021-10-27,OKC,9.0,220.5
22100062,2021-10-27,PHX,-8.0,226.0
22100062,2021-10-27,SAC,8.0,226.0
22100063,2021-10-27,POR,-2.5,234.0
22100063,2021-10-27,MEM,2.5,234.0
22100064,2021-10-27,CLE,8.0,217.0
22100065,2021-10-28,PHI,-10.0,217.5
