GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,OU
22300001,2023-11-03,CLE,-3.0,230.0
22300001,2023-11-03,IND,3.0,230.0
22300002,2023-11-03,NYK,5.5,224.5
22300003,2023-11-03,MIA,-9.0,224.5
22300003,2023-11-03,WAS,9.0,224.5
22300004,2023-11-03,CHI,-4.0,221.5
22300004,2023-11-03,BKN,4.0,221.5
22300005,2023-11-03,GSW,-6.0,225.0
22300005,2023-11-03,OKC,6.0,225.0
22300006,2023-11-03,DAL,6.0,229.5
22300007,2023-11-03,MEM,-3.5,220.0
22300008,2023-11-10,PHI,-8.5,224.5
22300008,2023-11-10,DET,8.5,224.5
22300009,2023-11-10,WAS,-3.0,240.0
22300009,2023-11-10,CHA,3.0,240.0
22300010,2023-11-10,BOS,-11.5,229.5
22300010,2023-11-10,BKN,11.5,229.5
22300011,2023-11-10,HOU,-3.0,219.5
22300012,2023-11-10,UTA,5.0,230.5
22300012,2023-11-10,MEM,-5.0,230.5
22300013,2023-11-10,SAS,7.5,225.0
22300014,2023-11-10,DAL,0.0,235.5
22300014,2023-11-10,LAC,0.0,235.5
22300015,2023-11-10,PHX,-2.0,225.0
22300016,2023-11-10,SAC,1.5,232.5
22300017,2023-11-14,MIA,-6.5,221.5
22300017,2023-11-14,CHA,6.5,221.5
22300018,2023-11-14,ATL,-4.5,225.5
22300018,2023-11-14,DET,4.5,225.5
22300019,2023-11-14,IND,6.5,241.5
22300019,2023-11-14,PHI,-6.5,241.5
22300020,2023-11-14,BKN,-3.0,216.5
22300020,2023-11-14,ORL,3.0,216.5
22300021,2023-11-14,SAS,10.0,236.5
22300021,2023-11-14,OKC,-10.0,236.5
22300022,2023-11-14,NOP,3.5,239.0
22300022,2023-11-14,DAL,-3.5,239.0
22300024,2023-11-14,DEN,-4.0,225.5
22300025,2023-11-14,MIN,-3.5,216.0
22300026,2023-11-14,LAL,-6.0,225.5
22300026,2023-11-14,MEM,6.0,225.5
22300027,2023-11-17,MIL,-8.0,243.0
22300027,2023-11-17,CHA,8.0,243.0
22300028,2023-11-17,NYK,-7.5,226.0
22300028,2023-11-17,WAS,7.5,226.0
22300029,2023-11-17,ATL,1.5,236.5
22300031,2023-11-17,BOS,-9.0,224.0
22300031,2023-11-17,TOR,9.0,224.0
22300032,2023-11-17,SAC,-8.5,238.5
22300032,2023-11-17,SAS,8.5,238.5
22300033,2023-11-17,CHI,-4.0,215.5
22300033,2023-11-17,ORL,4.0,215.5
22300034,2023-11-17,NOP,5.0,226.5
22300034,2023-11-17,DEN,-5.0,226.5
22300035,2023-11-17,PHX,-5.0,238.5
22300035,2023-11-17,UTA,5.0,238.5
22300036,2023-11-17,LAL,-9.0,226.5
22300036,2023-11-17,POR,9.0,226.5
22300037,2023-11-17,HOU,7.5,218.0
22300037,2023-11-17,LAC,-7.5,218.0
22300038,2023-11-21,ORL,-1.5,216.0
22300038,2023-11-21,TOR,1.5,216.0
22300039,2023-11-21,ATL,-4.0,251.5
22300039,2023-11-21,IND,4.0,251.5
22300040,2023-11-21,CLE,7.5,219.0
22300040,2023-11-21,PHI,-7.5,219.0
22300041,2023-11-21,PHX,-13.0,224.5
22300041,2023-11-21,POR,13.0,224.5
22300042,2023-11-21,UTA,7.5,235.5
22300044,2023-11-24,MEM,3.5,221.0
22300045,2023-11-24,NYK,-5.5,210.0
22300046,2023-11-24,TOR,-5.0,217.5
22300047,2023-11-24,IND,-9.5,246.5
22300047,2023-11-24,DET,9.5,246.5
22300048,2023-11-24,DEN,-3.0,216.0
22300048,2023-11-24,HOU,3.0,216.0
22300049,2023-11-24,MIL,-14.0,248.0
22300049,2023-11-24,WAS,14.0,248.0
22300050,2023-11-24,MIN,-4.5,231.0
22300050,2023-11-24,SAC,4.5,231.0
22300051,2023-11-24,GSW,-10.0,236.5
22300052,2023-11-24,NOP,5.5,228.0
22300052,2023-11-24,LAC,-5.5,228.0
22300053,2023-11-28,CHI,12.5,219.0
22300054,2023-11-28,BKN,-1.5,224.0
22300054,2023-11-28,TOR,1.5,224.0
22300055,2023-11-28,ATL,4.5,238.0
22300055,2023-11-28,CLE,-4.5,238.0
22300056,2023-11-28,MIL,-5.0,231.0
22300057,2023-11-28,NYK,-11.0,220.5
22300058,2023-11-28,OKC,3.5,228.5
22300059,2023-11-28,HOU,4.0,227.5
22300060,2023-11-28,GSW,2.5,238.5
22300061,2023-10-24,DEN,-4.5,229.0
22300061,2023-10-24,LAL,4.5,229.0
22300062,2023-10-24,GSW,-3.0,236.0
22300062,2023-10-24,PHX,3.0,236.0
22300063,2023-10-25,ATL,-4.0,236.0
22300063,2023-10-25,CHA,4.0,236.0
22300064,2023-10-25,IND,-5.0,235.5
22300064,2023-10-25,WAS,5.0,235.5
22300065,2023-10-25,NYK,4.0,223.5
22300066,2023-10-25,ORL,-4.5,220.0
