,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,MINUTES,AVG_PTS_PM,AVG_REB_PM,AVG_AST_PM,AVG_STL_PM,AVG_BLK_PM,AVG_TO_PM,AVG_PACE,AVG_FG_PCT,AVG_FT_PCT,AVG_PLUS_MINUS,GAME_COUNT
953,TOR,Rodney Hood,22020,0022000831,2021-04-14,TOR vs. SAS,11.813333333333334,,,,,,,69.922,0.185,0.25,-3.2,49
954,DAL,Rodrigue Beaubois,22011,0021100321,2012-02-01,DAL vs. OKC,19.09166666666667,,,,,,,83.979,0.0,0.0,0.0,22
955,GSW,Kevon Looney,22021,22100376,2021-12-08,GSW vs. POR,18.631666666666668,0.259,0.321,0.068,0.032,0.033,0.045,98.573,0.519,0.15,-1.6,24
956,HOU,Bobby Brown,22016,0021601168,2017-04-05,HOU vs. DEN,0.8633333333333333,,,,,,,24.131,0.075,0.0,0.6,61
957,ORL,Terrence Ross,22019,0021900557,2020-01-08,ORL vs. WAS,26.07333333333333,0.554,0.109,0.019,0.041,0.012,0.033,100.235,0.415,0.598,-0.7,35
958,NOP,Ryan Anderson,22013,0021300286,2013-12-06,NOP vs. OKC,35.2,0.0,0.0,0.0,0.0,0.0,0.0,95.08,0.0,0.0,0.0,9
959,DEN,Thomas Welsh,22018,0021800380,2018-12-08,DEN @ ATL,1.325925925925926,,,,,,,394.009,0.111,0.0,-1.0,9
960,HOU,Kostas Papanikolaou,22014,0021400685,2015-01-28,HOU vs. DAL,11.543333333333333,,,,,,,94.653,0.0,0.0,0.0,41
961,CHA,Ben Gordon,22012,0021200389,2012-12-21,CHA @ GSW,18.451666666666668,0.0,0.0,0.0,0.0,0.0,0.0,96.926,0.0,0.0,0.0,25
962,CHA,Nicolas Batum,22016,0021601142,2017-04-02,CHA @ OKC,24.55833333333333,,,,,,,76.765,0.262,0.455,2.2,76
963,NOP,Cheick Diallo,22018,0021801056,2019-03-18,NOP @ DAL,17.493333333333332,0.446,0.384,0.027,0.034,0.035,0.055,108.409,0.526,0.4,-0.9,64
964,PHI,Trevor Booker,22017,0021700884,2018-02-24,PHI vs. ORL,14.711666666666664,0.245,0.218,0.076,0.051,0.006,0.038,100.739,0.492,0.25,-1.9,53
965,LAL,Austin Reaves,22023,0022300061,2023-10-24,LAL @ DEN,,,,,,,,,,,,0
966,NJN,Anthony Morrow,22011,0021100239,2012-01-22,NJN vs. CHA,29.361666666666668,0.0,0.0,0.0,0.0,0.0,0.0,92.52,0.0,0.0,0.0,16
967,BOS,Jason Terry,22012,0021200633,2013-01-25,BOS @ ATL,21.488333333333333,0.0,0.0,0.0,0.0,0.0,0.0,90.86,0.0,0.0,0.0,42
968,IND,Terry Taylor,22022,0022200786,2023-02-03,IND vs. SAC,8.193333333333332,,,,,,,63.068,0.335,0.05,-0.2,51
969,OKC,Tre Mann,22021,22100286,2021-11-26,OKC vs. WAS,8.081666666666667,,,,,,,80.303,0.35,0.2,-0.2,12
970,NYK,Robin Lopez,22015,0021500546,2016-01-08,NYK @ SAS,27.906666666666666,0.0,0.0,0.0,0.0,0.0,0.0,90.564,0.0,0.0,0.0,37
971,LAL,Ryan Kelly,22014,0021400890,2015-03-03,LAL @ CHA,23.33833333333333,0.0,0.0,0.0,0.0,0.0,0.0,94.525,0.0,0.0,0.0,58
972,MIN,Ronny Turiaf,22013,0021300805,2014-02-19,MIN vs. IND,27.78,0.0,0.0,0.0,0.0,0.0,0.0,98.174,0.0,0.0,0.0,22
973,TOR,Jakob Poeltl,22016,0021600818,2017-02-12,TOR vs. DET,4.171666666666667,,,,,,,38.648,0.25,0.1,-0.5,54
974,CHA,Corey Maggette,22011,0021100632,2012-03-14,CHA @ HOU,28.323333333333334,0.0,0.0,0.0,0.0,0.0,0.0,93.601,0.0,0.0,0.0,30
975,ATL,Jerry Stackhouse,22011,0021100687,2012-03-21,ATL vs. CLE,9.098333333333334,,,,,,,55.954,0.0,0.0,0.0,46
976,MEM,Kyle Anderson,22019,0021900964,2020-03-10,MEM vs. ORL,24.608333333333338,0.323,0.238,0.111,0.045,0.025,0.058,103.134,0.486,0.175,-1.2,63
977,BOS,Nik Stauskas,42021,42100405,2022-06-13,BOS @ GSW,1.436666666666667,,,,,,,70.829,0.183,0.1,-0.2,22
978,BOS,Payton Pritchard,22020,0022000085,2021-01-03,BOS @ DET,20.92222222222222,0.257,0.059,0.09,0.07,0.021,0.062,101.078,0.403,0.111,3.5,6
979,ATL,Mike Scott,22015,0021500771,2016-02-07,ATL @ ORL,15.304999999999998,0.0,0.0,0.0,0.0,0.0,0.0,101.977,0.0,0.0,0.0,50
980,BOS,Jae Crowder,22016,0021600006,2016-10-26,BOS vs. BKN,,,,,,,,,,,,0
981,CHA,Boris Diaw,22011,0021100352,2012-02-04,CHA @ PHX,23.763333333333332,0.0,0.0,0.0,0.0,0.0,0.0,93.358,0.0,0.0,0.0,23
982,DEN,Kenyon Martin,22010,0021000860,2011-02-24,DEN vs. BOS,26.163333333333334,0.0,0.0,0.0,0.0,0.0,0.0,95.927,0.0,0.0,0.0,28
983,DET,Daniss Jenkins,22024,0022400134,2024-11-01,DET vs. NYK,0.29,,,,,,,16.552,0.0,0.0,0.0,5
984,NYK,Steve Novak,22012,0021200752,2013-02-10,NYK vs. LAC,14.633333333333335,0.0,0.0,0.0,0.0,0.0,0.0,92.301,0.0,0.0,0.0,48
985,IND,AJ Price,22010,0021000319,2010-12-08,IND @ MIL,9.683333333333334,,,,,,,77.724,0.0,0.0,0.0,5
986,DET,Reggie Bullock,22015,0021500873,2016-02-27,DET @ MIL,3.1816666666666666,,,,,,,33.681,0.0,0.0,0.0,58
987,MIN,Sebastian Telfair,22010,0021000283,2010-12-03,MIN @ SAS,24.064999999999994,0.0,0.0,0.0,0.0,0.0,0.0,100.554,0.0,0.0,0.0,18
988,UTA,Shelvin Mack,22016,0021600877,2017-02-26,UTA @ WAS,3.665,,,,,,,38.236,0.075,0.05,-0.2,58
989,DAL,Charlie Villanueva,22014,0021400137,2014-11-15,DAL vs. MIN,2.512962962962963,,,,,,,77.763,0.0,0.0,0.0,9
990,NOP,Reggie Williams,22016,0021600355,2016-12-10,NOP @ LAC,,,,,,,,,,,,0
991,NJN,Johan Petro,22011,0021100150,2012-01-11,NJN @ DEN,13.946666666666664,,,,,,,81.6,0.0,0.0,0.0,10
992,CHA,JT Thor,22023,0022301048,2024-03-27,CHA vs. CLE,5.466666666666667,,,,,,,58.999,0.275,0.0,1.3,71
993,UTA,Taylor Hendricks,22023,0022300125,2023-11-01,UTA vs. MEM,1.2083333333333333,,,,,,,49.655,0.0,0.25,1.0,2
994,TOR,Jakob Poeltl,22016,0021600071,2016-11-04,TOR vs. MIA,14.595833333333333,0.215,0.273,0.0,0.0,0.029,0.0,98.47,0.213,0.375,0.5,4
995,CHA,Kelly Oubre Jr.,22021,22100324,2021-12-01,CHA @ MIL,27.676666666666666,0.56,0.131,0.019,0.033,0.017,0.031,101.322,0.446,0.263,5.0,23
996,MIA,Michael Beasley,22013,0021300736,2014-02-05,MIA @ LAC,8.361666666666668,0.0,0.0,0.0,0.0,0.0,0.0,92.048,0.0,0.0,0.0,41
997,MIL,AJ Green,22022,0022200695,2023-01-21,MIL @ CLE,11.85,,,,,,,92.753,0.324,0.0,-1.4,29
998,CHI,Lonzo Ball,22021,22100271,2021-11-24,CHI @ HOU,35.098333333333336,0.322,0.139,0.125,0.041,0.012,0.042,99.906,0.364,0.0,1.5,18
999,SAC,Tyreke Evans,22011,0021100856,2012-04-10,SAC @ DAL,28.92166666666667,,,,,,,87.897,0.0,0.0,0.0,56
