,TEAM_ABBREVIATION,PLAYER_NAME,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,converted_minutes,rolling_10_avg_minutes,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
447,CLE,Jeremy Pargo,22012,0021200466,2013-01-02,CLE vs. SAC,0.0,6.033333333333333,,,,0.0,,,,,0.1857142857142857,,12.757142857142856,0.0341,,,,,27
448,HOU,Toney Douglas,22012,0021200346,2012-12-16,HOU @ TOR,15.533333333333333,22.243333333333332,0.5,,0.0,0.0,,,,,0.5436,,13.289999999999997,0.0309,,,,,22
449,PHI,Michael Carter-Williams,22014,0021400682,2015-01-28,PHI vs. DET,35.016666666666666,29.28666666666667,0.55,,18.5,0.0,,,,,0.4458888888888889,,14.966666666666669,0.0233,,,,,45
450,PHI,Zhaire Smith,22018,0021801194,2019-04-06,PHI @ CHI,16.133333333333333,4.70952380952381,0.25,0.333,12.5,0.048,0.379,0.207,0.063,0.105,0.6,0.3973333333333333,6.666666666666667,0.0,0.5646666666666668,0.28933333333333333,0.09300000000000001,0.19966666666666666,7
451,IND,T.J. McConnell,22019,0021900924,2020-03-04,IND @ MIL,29.666666666666668,16.31666666666667,0.538,0.094,17.4,0.061,0.509,0.339,0.159,0.24,0.372,0.2367,14.55,0.0273,0.5732,0.295,0.1743,0.22640000000000002,59
452,WAS,Drew Gooden,22014,0021400732,2015-02-04,WAS @ ATL,0.0,2.6333333333333337,,,,0.0,,,,,0.1,,25.0,0.0268,,,,,41
453,MEM,Dusty Hannahs,22018,0021801175,2019-04-03,MEM @ POR,12.266666666666667,6.825,0.2,0.261,0.0,0.0,0.583,0.0,0.12,0.222,0.286,0.407,8.3,0.0,0.518,0.179,0.146,0.1,2
454,CHA,Cody Zeller,22016,0021600375,2016-12-14,CHA @ WAS,29.85,27.235000000000003,0.857,0.267,20.0,0.05,0.558,0.269,0.152,0.364,0.5656,0.33375,12.27,0.0985,0.47624999999999995,0.1755,0.117,0.169875,23
455,IND,Doug McDermott,22018,0021800451,2018-12-18,IND vs. CLE,21.0,18.321666666666665,0.556,0.238,9.1,0.0,0.541,0.27,0.094,0.167,0.595,0.29410000000000003,9.05,0.0079,0.4824,0.1669,0.1348,0.2037,30
456,DAL,Vince Carter,22013,0021300888,2014-03-02,DAL @ SAS,29.066666666666666,23.973333333333336,0.656,,0.0,0.0,,,,,0.4901,,5.22,0.0489,,,,,60
457,PHI,Charles Bassey,22021,22100186,2021-11-13,PHI @ IND,3.9833333333333334,0.9366666666666668,0.0,0.4,0.0,0.0,0.571,0.0,0.143,0.5,0.3333333333333333,0.0,0.0,0.0,0.49333333333333335,0.3333333333333333,0.3033333333333333,0.3333333333333333,13
458,CHI,Nate Robinson,42012,0041200135,2013-04-29,CHI @ BKN,43.56666666666667,22.816666666666666,0.5,,10.0,0.0,,,,,0.656,,8.05,0.0,,,,,4
459,BKN,Bojan Bogdanovic,22015,0021500047,2015-11-02,BKN vs. MIL,25.15,27.36111111111111,0.6,,20.0,0.033,,,,,0.4693333333333333,,14.633333333333333,0.0,,,,,3
460,BOS,JaJuan Johnson,22011,0021100836,2012-04-08,BOS vs. PHI,2.466666666666667,1.7016666666666669,0.0,,100.0,0.0,,,,,0.0,,13.34,0.0,,,,,54
