,GAME_ID,GAME_DATE,MATCHUP,HOME_EFG_PCT,HOME_FTA_RATE,HOME_TM_TOV_PCT,HOME_OREB_PCT,HOME_OPP_EFG_PCT,HOME_OPP_FTA_RATE,HOME_OPP_TOV_PCT,HOME_OPP_OREB_PCT,HOME_GAME_COUNT,AWAY_EFG_PCT,AWAY_FTA_RATE,AWAY_TM_TOV_PCT,AWAY_OREB_PCT,AWAY_OPP_EFG_PCT,AWAY_OPP_FTA_RATE,AWAY_OPP_TOV_PCT,AWAY_OPP_OREB_PCT,AWAY_GAME_COUNT,PLUS_MINUS,TOTAL_POINTS,HOME_SPREAD,OVER_UNDER
650,21600657,2017-01-21,SAS @ CLE,0.566,0.242,0.167,0.22,0.552,0.146,0.132,0.245,41,0.552,0.146,0.132,0.204,0.566,0.242,0.167,0.28,42,-3.0,233,-2.5,212.0
651,21800567,2019-01-04,UTA @ CLE,0.457,0.207,0.136,0.14,0.598,0.268,0.116,0.214,38,0.598,0.268,0.116,0.19,0.457,0.207,0.136,0.18,38,-26.0,208,10.0,208.0
652,22200514,2022-12-27,DEN @ SAC,0.549,0.232,0.163,0.186,0.552,0.244,0.132,0.261,31,0.552,0.244,0.132,0.217,0.549,0.232,0.163,0.209,32,-7.0,219,3.0,237.0
653,21500299,2015-12-06,PHX @ MEM,0.428,0.267,0.132,0.263,0.494,0.207,0.187,0.306,20,0.494,0.207,0.187,0.224,0.428,0.267,0.132,0.316,20,2.0,188,-5.5,203.5
654,22100714,2022-01-25,DEN @ DET,0.485,0.144,0.087,0.158,0.494,0.369,0.234,0.431,46,0.494,0.369,0.234,0.314,0.485,0.144,0.087,0.211,45,-5.0,215,7.0,216.5
655,21601105,2017-03-28,PHI @ BKN,0.452,0.255,0.124,0.217,0.484,0.231,0.153,0.302,73,0.484,0.231,0.153,0.226,0.452,0.255,0.124,0.267,73,-5.0,207,-3.5,223.0
656,22000218,2021-01-20,BOS @ PHI,0.519,0.577,0.094,0.239,0.539,0.225,0.154,0.347,14,0.539,0.225,0.154,0.204,0.519,0.577,0.094,0.239,12,8.0,226,-5.0,221.5
657,22201134,2023-03-28,CHA @ OKC,0.578,0.302,0.098,0.143,0.628,0.319,0.163,0.313,75,0.628,0.319,0.163,0.313,0.578,0.302,0.098,0.224,76,-3.0,271,-10.5,226.5
658,21300117,2013-11-13,WAS @ SAS,0.558,0.104,0.184,0.132,0.39,0.121,0.116,0.241,8,0.39,0.121,0.116,0.207,0.558,0.104,0.184,0.132,7,13.0,171,-10.5,198.0
659,21400042,2014-11-02,GSW @ POR,0.44,0.152,0.19,0.298,0.481,0.259,0.17,0.184,2,0.481,0.259,0.17,0.143,0.44,0.152,0.19,0.368,2,-5.0,185,-3.0,207.0
660,21900716,2020-01-30,PHI @ ATL,0.546,0.425,0.146,0.213,0.518,0.549,0.113,0.176,48,0.518,0.549,0.113,0.157,0.546,0.425,0.146,0.234,48,10.0,244,6.5,229.0
661,21601141,2017-04-01,PHX @ POR,0.549,0.337,0.113,0.22,0.542,0.381,0.167,0.318,75,0.542,0.381,0.167,0.295,0.549,0.337,0.113,0.34,76,13.0,247,-12.0,223.0
662,22100912,2022-02-27,PHI @ NYK,0.512,0.412,0.169,0.226,0.551,0.564,0.098,0.14,60,0.551,0.564,0.098,0.116,0.512,0.412,0.169,0.283,59,-16.0,234,8.0,218.5
663,21500414,2015-12-21,BKN @ CHI,0.5,0.137,0.132,0.278,0.495,0.149,0.141,0.365,25,0.495,0.149,0.141,0.288,0.5,0.137,0.132,0.315,27,-3.0,207,-10.5,197.5
