,TEAM_ABBREVIATION,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,PLUS_MINUS,PTS,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
629,LAC,22023,0022300037,2023-11-17,LAC vs. HOU,6.0,106,0.512,0.361,14.0,0.24,0.489,0.227,0.167,0.255,0.551,0.2625,15.809999999999999,0.3033,0.5294000000000001,0.27410000000000007,0.156,0.3116,10
630,CHI,22023,0022300102,2023-10-30,CHI @ IND,7.0,112,0.494,0.356,12.6,0.265,0.477,0.284,0.162,0.283,0.457,0.2153333333333333,12.433333333333332,0.2843333333333333,0.592,0.25033333333333335,0.18133333333333335,0.27799999999999997,3
631,MEM,22013,0021300478,2014-01-02,MEM @ PHX,8.0,99,0.495,0.152,15.8,0.412,0.456,0.178,0.134,0.263,0.4808,0.2534,14.4,0.3658,0.5328,0.37120000000000003,0.14279999999999998,0.2476,30
632,MIN,22011,0021100720,2012-03-25,MIN vs. DEN,17.0,117,0.515,0.152,9.6,0.407,0.525,0.272,0.176,0.349,0.5083,0.29009999999999997,15.55,0.3067,0.5035000000000001,0.23950000000000005,0.11480000000000001,0.31179999999999997,49
633,DAL,22021,22101219,2022-04-10,DAL vs. SAS,10.0,130,0.659,0.271,16.0,0.31,0.545,0.258,0.08,0.217,0.5859,0.2971,12.26,0.23529999999999998,0.5158,0.2575,0.11199999999999999,0.25989999999999996,81
634,MIA,22019,0021900970,2020-03-11,MIA vs. CHA,-11.0,98,0.554,0.071,15.4,0.217,0.555,0.268,0.154,0.391,0.5705,0.3303,14.779999999999998,0.2333,0.5422,0.2774,0.14279999999999998,0.24490000000000003,64
635,MIA,22020,0022000392,2021-02-11,MIA @ HOU,7.0,101,0.525,0.253,21.2,0.261,0.476,0.241,0.152,0.185,0.5199,0.281,14.41,0.23640000000000003,0.5245000000000001,0.22760000000000002,0.14429999999999998,0.2775,24
636,WAS,22023,0022300705,2024-02-04,WAS vs. PHX,-28.0,112,0.526,0.177,16.7,0.333,0.676,0.295,0.166,0.324,0.5212999999999999,0.2306,12.559999999999999,0.2572,0.5349,0.26510000000000006,0.13320000000000004,0.3163,48
637,OKC,22021,22100536,2021-12-31,OKC vs. NYK,15.0,95,0.517,0.08,10.6,0.154,0.42,0.272,0.105,0.164,0.4786,0.23399999999999999,12.18,0.25810000000000005,0.5133000000000001,0.2641,0.12210000000000001,0.2612,34
638,DEN,22020,0022000838,2021-04-14,DEN vs. MIA,17.0,123,0.635,0.146,12.2,0.381,0.576,0.228,0.088,0.143,0.5578,0.2141,14.73,0.3137,0.5319999999999999,0.24090000000000006,0.1298,0.23309999999999995,54
639,POR,22015,0021500133,2015-11-13,POR @ MEM,-1.0,100,0.536,0.42,23.4,0.368,0.453,0.314,0.107,0.333,0.5261111111111111,0.2666666666666667,15.5,0.27411111111111114,0.49922222222222223,0.3201111111111111,0.1252222222222222,0.27955555555555556,9
640,UTA,22016,0021600062,2016-11-02,UTA vs. DAL,16.0,97,0.532,0.338,13.6,0.271,0.474,0.13,0.147,0.182,0.5085,0.28574999999999995,15.7,0.21925,0.4905,0.265,0.14100000000000001,0.257,4
641,SAS,22010,0021000869,2011-02-25,SAS vs. NJN,10.0,106,0.512,0.317,13.1,0.222,0.465,0.247,0.15,0.229,0.5323,0.25420000000000004,14.329999999999998,0.2624000000000001,0.46419999999999995,0.25820000000000004,0.1095,0.2911,57
642,IND,22014,0021400074,2014-11-07,IND @ BOS,-3.0,98,0.483,0.148,14.3,0.354,0.512,0.188,0.126,0.348,0.4718,0.265,19.979999999999997,0.312,0.47220000000000006,0.29880000000000007,0.12179999999999999,0.2564,5
643,TOR,22019,0021900720,2020-01-31,TOR @ DET,13.0,105,0.571,0.129,16.7,0.256,0.424,0.43,0.174,0.309,0.5728,0.2412,12.8,0.22680000000000003,0.5277000000000001,0.2705000000000001,0.175,0.27060000000000006,48
644,NYK,22015,0021501169,2016-04-06,NYK vs. CHA,-14.0,97,0.538,0.192,19.8,0.262,0.533,0.189,0.085,0.3,0.48279999999999995,0.18929999999999997,15.139999999999997,0.2651,0.4848,0.2383,0.1206,0.2653,78
645,DEN,22010,0021000652,2011-01-23,DEN vs. IND,14.0,121,0.571,0.228,10.0,0.298,0.477,0.333,0.138,0.308,0.5284,0.37329999999999997,13.080000000000002,0.24359999999999998,0.5096,0.3162,0.14090000000000003,0.3093,42
646,DAL,22021,22100572,2022-01-05,DAL vs. GSW,17.0,99,0.448,0.299,12.5,0.288,0.438,0.198,0.175,0.216,0.5292000000000001,0.24749999999999997,13.02,0.2537,0.5141,0.2918,0.1423,0.23129999999999998,37
647,HOU,22022,0022200455,2022-12-19,HOU vs. SAS,-19.0,105,0.452,0.33,11.0,0.344,0.657,0.229,0.187,0.316,0.4962,0.2926,16.57,0.37879999999999997,0.565,0.2274,0.14809999999999998,0.2754,29
648,HOU,22012,0021200743,2013-02-08,HOU vs. POR,15.0,118,0.671,0.203,12.1,0.2,0.5,0.227,0.119,0.353,0.5341999999999999,0.3358,16.71,0.3472,0.4915,0.33309999999999995,0.14509999999999995,0.26809999999999995,51
649,SAC,22014,0021400139,2014-11-15,SAC vs. SAS,3.0,94,0.43,0.279,9.7,0.308,0.469,0.225,0.147,0.217,0.4773333333333334,0.46599999999999997,17.266666666666666,0.328,0.48366666666666663,0.33011111111111113,0.13155555555555554,0.2451111111111111,9
650,IND,22017,0021700190,2017-11-12,IND vs. HOU,-23.0,95,0.494,0.253,13.3,0.213,0.572,0.2,0.129,0.306,0.5409,0.21689999999999995,15.41,0.2595,0.5246,0.21590000000000004,0.1547,0.2783,13
651,UTA,22015,0021500591,2016-01-14,UTA vs. SAC,-2.0,101,0.458,0.41,13.4,0.255,0.493,0.568,0.169,0.333,0.49329999999999996,0.28640000000000004,17.77,0.2933,0.504,0.2425,0.151,0.29650000000000004,38
652,NYK,22021,22101037,2022-03-16,NYK vs. POR,30.0,128,0.6,0.488,11.1,0.295,0.5,0.154,0.121,0.218,0.5198,0.34490000000000004,13.570000000000002,0.2874,0.5119,0.3496,0.1056,0.23529999999999998,68
653,OKC,22010,0021000164,2010-11-17,OKC vs. HOU,17.0,116,0.529,0.337,9.5,0.333,0.5,0.403,0.178,0.326,0.4751,0.40230000000000005,14.86,0.31489999999999996,0.5206999999999999,0.2997,0.1482,0.3279,10
654,GSW,22015,0021500622,2016-01-18,GSW @ CLE,34.0,132,0.653,0.318,8.2,0.238,0.526,0.325,0.167,0.209,0.5625,0.23679999999999998,14.030000000000001,0.2359,0.4694,0.2815,0.1257,0.279,41
655,DEN,22010,0021000762,2011-02-07,DEN vs. HOU,-5.0,103,0.474,0.558,20.2,0.292,0.488,0.422,0.123,0.224,0.5486,0.35220000000000007,13.809999999999999,0.2544,0.513,0.2881,0.12220000000000002,0.2853,51
656,BOS,22012,0021201060,2013-03-27,BOS @ CLE,1.0,93,0.48,0.368,16.0,0.087,0.483,0.163,0.186,0.255,0.5185000000000001,0.3226,17.13,0.2178,0.48769999999999997,0.29940000000000005,0.1467,0.2944,70
657,POR,22010,0021000716,2011-02-01,POR vs. SAS,13.0,99,0.52,0.32,11.9,0.405,0.476,0.183,0.132,0.367,0.4684000000000001,0.2632,15.12,0.3457,0.5201,0.2881,0.17690000000000003,0.3136,47
658,POR,22021,22100131,2021-11-05,POR vs. IND,4.0,110,0.591,0.183,14.6,0.186,0.568,0.114,0.114,0.213,0.536375,0.20975,14.162500000000001,0.27862499999999996,0.55175,0.21775,0.140625,0.218125,8
659,BOS,42015,0041500131,2016-04-16,BOS @ ATL,-1.0,101,0.417,0.186,10.0,0.338,0.436,0.407,0.12,0.302,,,,,,,,,0
660,POR,22014,0021400634,2015-01-21,POR @ PHX,-5.0,113,0.523,0.322,14.4,0.189,0.56,0.261,0.124,0.269,0.48979999999999996,0.22610000000000002,13.219999999999999,0.26030000000000003,0.4720000000000001,0.2694,0.1322,0.2802,42
661,ATL,22012,0021200656,2013-01-27,ATL @ NYK,-4.0,104,0.677,0.308,21.8,0.241,0.653,0.236,0.16,0.235,0.5137,0.22910000000000003,16.85,0.2711,0.48739999999999994,0.30419999999999997,0.1648,0.3003,43
662,DAL,42010,0041000166,2011-04-28,DAL @ POR,7.0,103,0.538,0.282,10.6,0.341,0.475,0.329,0.085,0.333,0.5015999999999999,0.33999999999999997,14.84,0.2892,0.4906,0.29000000000000004,0.145,0.2632,5
663,WAS,22017,0021700300,2017-11-28,WAS @ MIN,3.0,92,0.494,0.205,8.0,0.22,0.471,0.165,0.113,0.283,0.5242,0.2645,15.499999999999996,0.25680000000000003,0.4909,0.2689,0.14479999999999998,0.259,19
664,DAL,22020,0022000297,2021-01-29,DAL @ UTA,-19.0,101,0.483,0.314,11.3,0.226,0.552,0.299,0.156,0.353,0.5246000000000001,0.23190000000000005,11.450000000000001,0.21999999999999997,0.5378000000000001,0.27270000000000005,0.12149999999999998,0.2878,18
665,DEN,42022,0042200225,2023-05-09,DEN vs. PHX,16.0,118,0.571,0.329,10.0,0.234,0.483,0.273,0.099,0.231,0.5487777777777778,0.23888888888888887,12.0,0.31533333333333335,0.5352222222222223,0.2533333333333333,0.12711111111111112,0.24366666666666667,9
666,DEN,22022,0022200820,2023-02-07,DEN vs. MIN,34.0,146,0.694,0.237,10.3,0.237,0.529,0.306,0.161,0.191,0.5755999999999999,0.2823,15.36,0.2833,0.5506,0.288,0.1544,0.2908,54
667,NOP,22022,0022200782,2023-02-02,NOP @ DAL,-5.0,106,0.53,0.25,17.5,0.289,0.518,0.341,0.08,0.196,0.5201,0.2571,15.790000000000001,0.25710000000000005,0.562,0.29590000000000005,0.143,0.2666,52
668,ATL,22023,0022300241,2023-11-25,ATL @ WAS,28.0,136,0.598,0.196,9.7,0.358,0.545,0.136,0.19,0.244,0.5586000000000001,0.3008,15.389999999999997,0.34520000000000006,0.5694,0.25220000000000004,0.14160000000000003,0.313,14
669,TOR,22015,0021501084,2016-03-26,TOR @ NOP,24.0,115,0.616,0.384,13.8,0.2,0.459,0.235,0.076,0.173,0.4859,0.35200000000000004,13.649999999999997,0.31070000000000003,0.4979000000000001,0.25939999999999996,0.1303,0.2513,71
670,LAL,22010,0021000932,2011-03-06,LAL @ SAS,16.0,99,0.511,0.111,9.1,0.34,0.401,0.221,0.123,0.31,0.48579999999999995,0.2777,14.51,0.32070000000000004,0.4697000000000001,0.2404,0.1464,0.2873,63
671,DAL,42010,0041000401,2011-05-31,DAL @ MIA,-8.0,84,0.44,0.478,13.3,0.222,0.456,0.325,0.137,0.396,0.5345,0.33290000000000003,13.879999999999999,0.2542,0.46929999999999994,0.33330000000000004,0.14639999999999997,0.3274,15
672,MEM,22010,0021000154,2010-11-16,MEM vs. POR,-1.0,99,0.527,0.36,20.4,0.349,0.5,0.172,0.146,0.362,0.4835,0.2993,16.630000000000003,0.3119,0.5163,0.3297,0.2031,0.3496,11
673,WAS,22019,0021900528,2020-01-04,WAS vs. DEN,14.0,128,0.582,0.297,11.0,0.395,0.494,0.391,0.114,0.28,0.4974,0.3237,12.48,0.29369999999999996,0.5485,0.3391,0.1403,0.30629999999999996,34
674,UTA,22022,0022200322,2022-11-30,UTA vs. LAC,13.0,125,0.642,0.346,18.4,0.41,0.452,0.387,0.107,0.407,0.5531999999999999,0.2406,15.440000000000001,0.30400000000000005,0.5471999999999999,0.25980000000000003,0.12120000000000002,0.31449999999999995,23
675,LAL,22012,0021200888,2013-03-03,LAL vs. ATL,1.0,99,0.551,0.231,21.4,0.244,0.549,0.183,0.149,0.159,0.5363,0.346,15.770000000000001,0.2589,0.5271,0.22039999999999998,0.1326,0.2743,59
676,MIL,22022,0022201102,2023-03-24,MIL @ UTA,28.0,144,0.667,0.162,11.9,0.277,0.438,0.327,0.1,0.333,0.5956999999999999,0.27670000000000006,13.4,0.22549999999999998,0.5226999999999999,0.18050000000000002,0.10479999999999998,0.28230000000000005,72
677,CHI,22018,0021800204,2018-11-14,CHI @ BOS,-29.0,82,0.435,0.107,21.4,0.157,0.55,0.156,0.137,0.167,0.497,0.2487,14.76,0.2218,0.5147,0.2419,0.146,0.2832,14
678,SAS,22011,0021100116,2012-01-07,SAS vs. DEN,4.0,121,0.601,0.202,16.3,0.429,0.617,0.321,0.154,0.324,0.5041428571428572,0.2602857142857143,14.2,0.27842857142857147,0.48628571428571427,0.266,0.15342857142857141,0.25742857142857145,7
679,SAS,22023,0022300994,2024-03-19,SAS vs. DAL,-6.0,107,0.517,0.236,15.5,0.226,0.538,0.187,0.086,0.122,0.5587,0.22650000000000006,16.020000000000003,0.2853,0.5333,0.198,0.11790000000000003,0.28219999999999995,68
680,WAS,22014,0021400109,2014-11-12,WAS vs. DET,4.0,107,0.5,0.398,11.5,0.313,0.525,0.272,0.143,0.217,0.4928571428571429,0.32257142857142856,14.414285714285713,0.25685714285714284,0.4859999999999999,0.29814285714285715,0.18642857142857142,0.2968571428571428,7
