,PLAYER_NAME,minutes,points,assists,steals,blocks,rebounds,THREEPM,EFG_PCT,FT_PCT,DD
147,Skylar Mays,15,9,1,1,0,1,1,0.438,1.0,0
148,Toumani Camara,31,5,1,2,0,3,0,0.25,1.0,0
149,Jabari Walker,9,0,0,0,1,4,0,0.0,,0
150,Moses Brown,0,0,0,0,0,0,0,,,0
151,Justin Minaya,0,0,0,0,0,0,0,,,0
152,Kris Murray,0,0,0,0,0,0,0,,,0
153,Rayan Rupert,0,0,0,0,0,0,0,,,0
154,Ziaire Williams,27,13,3,1,1,6,1,0.688,1.0,0
155,David Roddy,32,16,0,0,0,3,0,0.571,,0
156,Jaren Jackson Jr.,37,30,3,1,3,10,5,0.794,0.5,1
157,Desmond Bane,44,33,7,4,3,8,3,0.558,0.8,0
158,Xavier Tillman,24,6,5,1,2,7,0,0.375,,0
159,John Konchar,10,2,0,0,1,1,0,0.5,,0
160,Jacob Gilyard,12,0,3,0,0,0,0,0.0,,0
161,Vince Williams Jr.,9,0,1,0,0,2,0,0.0,,0
162,Kenneth Lofton Jr.,0,0,0,0,0,0,0,,,0
163,Kelly Oubre Jr.,26,8,1,2,0,8,0,0.333,0.667,0
164,Tobias Harris,37,24,2,0,1,5,2,0.6,1.0,0
165,Joel Embiid,35,33,3,0,2,16,1,0.405,0.842,1
166,De'Anthony Melton,29,10,2,3,1,3,2,0.444,0.5,0
167,Tyrese Maxey,39,29,11,3,1,6,2,0.526,1.0,1
168,Patrick Beverley,5,0,1,0,0,0,0,0.0,,0
169,Nicolas Batum,26,3,3,1,0,3,1,0.75,,0
170,Paul Reed,12,2,0,0,0,4,0,0.5,,0
171,Jaden Springer,4,2,0,0,0,0,0,1.0,,0
172,Furkan Korkmaz,1,0,0,0,0,0,0,0.0,,0
173,Mo Bamba,0,0,0,0,0,0,0,,,0
174,Danuel House Jr.,0,0,0,0,0,0,0,,,0
175,KJ Martin,0,0,0,0,0,0,0,,,0
176,Ausar Thompson,32,12,4,1,3,13,0,0.545,0.0,1
177,Isaiah Stewart,31,10,2,0,1,6,2,0.5,,0
178,Cade Cunningham,35,21,7,0,0,4,1,0.472,1.0,0
179,Stanley Umude,17,10,1,0,0,4,1,0.75,0.875,0
180,Marcus Sasser,34,9,4,0,0,3,1,0.269,1.0,0
181,Jared Rhoden,7,5,0,0,0,0,1,0.833,,0
182,James Wiseman,6,6,0,0,0,4,0,1.0,,0
183,Malcolm Cazalon,0,0,0,0,0,0,0,,,0
184,Kevin Knox II,0,0,0,0,0,0,0,,,0
185,Deni Avdija,30,11,5,1,1,6,1,0.611,,0
186,Kyle Kuzma,29,17,1,0,0,6,2,0.471,1.0,0
187,Jordan Poole,31,14,6,0,0,2,1,0.464,1.0,0
188,Tyus Jones,33,16,4,0,1,4,2,0.583,0.667,0
189,Corey Kispert,16,15,0,0,0,4,3,1.083,1.0,0
190,Delon Wright,14,4,6,1,0,2,0,0.333,0.667,0
191,Bilal Coulibaly,19,10,1,0,0,2,2,0.75,1.0,0
192,Landry Shamet,16,11,0,0,0,0,2,0.5,1.0,0
193,Patrick Baldwin Jr.,0,0,0,0,0,0,0,,,0
194,Johnny Davis,0,0,0,0,0,0,0,,,0
195,Anthony Gill,0,0,0,0,0,0,0,,,0
196,Mike Muscala,0,0,0,0,0,0,0,,,0
197,Ryan Rollins,0,0,0,0,0,0,0,,,0
198,Gordon Hayward,36,27,9,4,1,5,1,0.525,0.75,0
199,Mark Williams,29,21,3,0,0,24,0,0.476,0.5,1
200,Brandon Miller,31,12,2,1,2,3,0,0.313,1.0,0
201,LaMelo Ball,37,25,6,2,0,6,4,0.579,0.75,0
202,JT Thor,20,7,2,0,0,5,1,0.5,0.0,0
203,Theo Maledon,15,4,4,1,0,5,0,0.4,,0
204,Nick Richards,18,15,0,1,1,7,0,1.0,0.625,0
205,Bryce McGowens,12,2,1,0,0,2,0,0.5,,0
206,Amari Bailey,0,0,0,0,0,0,0,,,0
207,Leaky Black,0,0,0,0,0,0,0,,,0
208,Ish Smith,0,0,0,0,0,0,0,,,0
209,Jaylen Brown,29,28,5,1,0,3,5,0.658,0.6,0
210,Jayson Tatum,33,23,3,0,0,10,4,0.471,0.778,1
211,Kristaps Porzingis,24,9,2,0,1,2,0,0.5,1.0,0
212,Jrue Holiday,32,13,9,2,0,12,1,0.464,,1
213,Derrick White,26,11,5,0,1,4,2,0.5,0.5,0
214,Oshae Brissett,7,2,0,1,0,3,0,0.0,0.5,0
215,Sam Hauser,24,15,1,0,0,2,5,0.75,,0
216,Luke Kornet,17,7,1,0,1,9,0,0.6,1.0,0
217,Payton Pritchard,30,13,3,1,0,5,2,0.6,0.5,0
218,Dalano Banton,3,0,0,0,0,1,0,0.0,,0
219,Lamar Stevens,0,0,0,0,0,0,0,,,0
220,Cameron Johnson,25,11,0,0,0,5,3,0.423,,0
221,Royce O'Neale,26,3,4,0,0,3,1,0.5,,0
222,Dorian Finney-Smith,27,9,2,0,1,3,3,0.75,,0
223,Mikal Bridges,27,12,1,0,0,5,1,0.409,1.0,0
224,Spencer Dinwiddie,19,12,4,0,0,4,3,0.643,0.75,0
225,Lonnie Walker IV,20,20,4,0,1,7,3,0.792,1.0,0
226,Trendon Watford,27,14,3,0,1,7,0,0.545,1.0,0
227,Day'Ron Sharpe,13,5,1,0,0,3,0,0.25,0.75,0
228,Dennis Smith Jr.,26,14,7,0,0,4,0,0.5,1.0,0
229,Armoni Brooks,19,0,0,0,0,4,0,0.0,,0
230,Harry Giles III,5,7,0,0,0,1,1,1.167,,0
231,Ben Simmons,0,0,0,0,0,0,0,,,0
232,Brandon Ingram,38,31,5,0,1,6,3,0.521,0.667,0
233,Zion Williamson,33,24,1,0,1,8,0,0.5,0.727,0
234,Jonas Valanciunas,29,15,2,0,4,9,1,0.625,0.0,0
235,Dyson Daniels,40,10,2,1,0,10,0,0.333,1.0,1
236,Jordan Hawkins,41,14,1,2,0,7,3,0.5,0.75,0
237,Matt Ryan,16,0,0,1,0,2,0,0.0,,0
238,Dereon Seabron,12,0,0,1,0,1,0,0.0,,0
239,Larry Nance Jr.,14,1,1,0,0,5,0,0.0,0.5,0
240,Cody Zeller,3,1,0,1,0,1,0,0.0,1.0,0
241,Jeremiah Robinson-Earl,9,5,0,0,0,0,1,1.25,,0
242,Kira Lewis Jr.,0,0,0,0,0,0,0,,,0
243,Naji Marshall,0,0,0,0,0,0,0,,,0
244,Dillon Brooks,20,10,2,2,1,2,1,0.5,0.6,0
245,Jabari Smith Jr.,23,6,2,0,0,7,1,0.313,1.0,0
246,Alperen Sengun,33,24,3,2,1,8,0,0.733,0.4,0
247,Jalen Green,34,25,1,0,0,4,2,0.444,0.9,0
248,Jae'Sean Tate,23,7,2,3,0,3,1,0.5,,0
249,Aaron Holiday,14,5,2,1,0,0,1,0.3,1.0,0
250,Tari Eason,19,2,0,0,2,8,0,0.125,,0
251,Jock Landale,6,0,0,0,0,3,0,0.0,,0
252,Jeff Green,22,5,0,0,0,4,0,0.333,1.0,0
253,Reggie Bullock Jr.,0,0,0,0,0,0,0,,,0
254,Boban Marjanovic,0,0,0,0,0,0,0,,,0
255,Nate Williams,0,0,0,0,0,0,0,,,0
256,Ochai Agbaji,30,15,1,1,2,6,3,0.938,,0
257,John Collins,37,18,0,0,4,3,3,1.083,0.714,0
258,Lauri Markkanen,37,26,1,2,2,7,4,0.769,1.0,0
259,Keyonte George,29,7,11,0,1,3,1,0.208,1.0,0
260,Jordan Clarkson,35,26,4,2,1,4,2,0.625,1.0,0
261,Collin Sexton,17,10,6,1,0,2,0,0.375,1.0,0
262,Kelly Olynyk,20,6,2,1,1,8,0,0.667,1.0,0
263,Simone Fontecchio,12,6,1,2,0,2,2,1.0,,0
264,Kris Dunn,0,0,0,0,0,0,0,,,0
265,Luka Samanic,0,0,0,0,0,0,0,,,0
266,Omer Yurtseven,0,0,0,0,0,0,0,,,0
267,Desmond Bane,38,37,8,1,2,4,7,0.625,0.667,0
268,Jaren Jackson Jr.,23,14,2,0,0,4,0,0.538,,0
269,Bismack Biyombo,33,15,0,1,0,15,0,0.5,0.833,1
270,Marcus Smart,24,8,2,0,1,1,0,0.333,1.0,0
271,Jacob Gilyard,34,14,8,1,0,4,4,0.7,,0
272,Santi Aldama,13,6,0,0,0,2,1,0.833,0.5,0
273,Kenneth Lofton Jr.,11,0,0,0,1,2,0,0.0,,0
274,John Konchar,21,6,2,2,0,1,2,0.5,,0
275,Vince Williams Jr.,0,0,0,0,0,0,0,,,0
276,Jaden McDaniels,26,10,0,2,0,5,0,0.455,,0
277,Karl-Anthony Towns,34,29,2,0,0,12,3,0.595,1.0,1
278,Anthony Edwards,37,28,5,2,1,7,2,0.476,0.727,0
279,Mike Conley,31,11,6,0,0,3,1,0.5,1.0,0
280,Naz Reid,18,7,0,0,2,3,1,0.5,,0
281,Nickeil Alexander-Walker,18,9,4,0,1,3,1,0.875,1.0,0
282,Kyle Anderson,26,6,4,1,0,5,0,1.0,0.5,0
283,Shake Milton,14,6,1,0,0,3,2,0.75,0.0,0
284,Troy Brown Jr.,0,0,0,0,0,0,0,,,0
285,Josh Minott,0,0,0,0,0,0,0,,,0
286,Daishen Nix,0,0,0,0,0,0,0,,,0
287,Keldon Johnson,33,6,1,0,0,5,0,0.2,0.5,0
288,Victor Wembanyama,34,29,4,1,4,9,3,0.643,0.5,0
289,Zach Collins,24,11,5,0,1,2,1,0.917,,0
290,Jeremy Sochan,29,14,5,3,0,7,1,0.591,0.5,0
291,Malaki Branham,16,6,1,2,0,2,0,0.273,,0
292,Tre Jones,25,8,4,1,1,4,0,0.5,,0
293,Charles Bassey,11,2,2,0,2,6,0,0.333,,0
294,Dominick Barlow,0,0,0,0,0,0,0,,,0
295,Julian Champagnie,0,0,0,0,0,0,0,,,0
296,Devonte' Graham,0,0,0,0,0,0,0,,,0
297,Sandro Mamukelashvili,0,0,0,0,0,0,0,,,0
298,Blake Wesley,0,0,0,0,0,0,0,,,0
299,Derrick Jones Jr.,28,11,3,3,0,10,1,0.45,1.0,1
300,Dereck Lively II,26,6,1,0,1,4,0,0.375,,0
301,Kyrie Irving,28,27,3,2,0,6,5,0.553,1.0,0
302,Luka Doncic,31,44,6,1,0,6,6,0.952,1.0,0
303,Tim Hardaway Jr.,26,17,3,0,0,3,2,0.538,1.0,0
304,Josh Green,17,3,3,0,0,0,1,0.375,,0
305,Dwight Powell,21,9,4,1,0,5,0,0.667,1.0,0
306,Olivier-Maxence Prosper,5,1,0,0,0,1,0,0.0,0.5,0
307,Jaden Hardy,12,11,0,0,0,2,1,0.688,0.0,0
308,Markieff Morris,0,0,0,0,0,0,0,,,0
309,Paul George,22,8,2,1,0,3,1,0.292,1.0,0
310,Kawhi Leonard,29,26,4,0,0,3,2,0.6,1.0,0
311,Ivica Zubac,22,12,1,0,2,8,0,0.556,0.5,0
312,James Harden,29,14,3,2,0,5,2,0.667,1.0,0
313,Russell Westbrook,20,14,2,3,0,5,0,0.455,0.8,0
314,P.J. Tucker,6,0,0,0,0,1,0,0.0,,0
315,Norman Powell,11,0,0,0,0,0,0,0.0,,0
316,Moussa Diabate,15,11,0,0,0,9,0,0.667,0.75,0
317,Amir Coffey,12,6,0,0,0,2,0,0.333,1.0,0
318,Kobe Brown,12,7,0,0,0,1,1,0.875,,0
319,Cam Reddish,27,17,0,3,0,3,5,0.75,1.0,0
320,LeBron James,36,32,6,1,1,11,3,0.735,0.636,1
321,Anthony Davis,36,18,4,0,1,11,0,0.357,1.0,1
