,PLAYER_NAME,min,pts,ast,stl,blk,rb,tpm,efgp,ftp,dd
0,Joel Embiid,33.773809523809526,34.833333333333336,5.5,1.1785714285714286,1.5833333333333333,10.916666666666666,1.5238095238095237,0.5597857142857146,0.8831309523809525,0.75
1,Luka Doncic,37.689655172413794,32.4080459770115,9.379310344827585,1.4597701149425288,0.47701149425287354,9.258620689655173,3.8045977011494254,0.5578793103448279,0.7838563218390806,0.7126436781609196
2,Giannis Antetokounmpo,34.411764705882355,30.433823529411764,6.507352941176471,1.161764705882353,1.0808823529411764,11.404411764705882,0.4632352941176471,0.6321764705882348,0.6430223880597017,0.7794117647058824
3,Shai Gilgeous-Alexander,34.04545454545455,30.31168831168831,6.175324675324675,1.9870129870129871,1.0064935064935066,5.6558441558441555,1.2987012987012987,0.5672012987012983,0.8694285714285716,0.12987012987012986
4,Jalen Brunson,35.708333333333336,29.327380952380953,6.982142857142857,0.9047619047619048,0.1488095238095238,3.6666666666666665,2.619047619047619,0.5338214285714292,0.8197987804878049,0.13095238095238096
5,Donovan Mitchell,35.260162601626014,27.333333333333332,5.772357723577236,1.7154471544715446,0.4796747967479675,5.0894308943089435,3.2764227642276422,0.5405365853658534,0.8395666666666668,0.08943089430894309
6,Kevin Durant,37.028169014084504,27.309859154929576,5.063380281690141,0.8873239436619719,1.3028169014084507,6.76056338028169,2.23943661971831,0.5980985915492961,0.8528345864661654,0.2112676056338028
7,Devin Booker,35.828125,27.2421875,6.875,0.9296875,0.4140625,4.484375,2.265625,0.5373749999999999,0.8934399999999999,0.1640625
8,Jayson Tatum,36.053892215568865,26.461077844311376,5.119760479041916,1.0119760479041917,0.6407185628742516,8.347305389221557,2.856287425149701,0.5412874251497006,0.8415849056603772,0.39520958083832336
9,Stephen Curry,32.074074074074076,26.355555555555554,5.133333333333334,0.7555555555555555,0.37037037037037035,4.496296296296296,4.837037037037037,0.5695703703703707,0.9312459016393443,0.0962962962962963
10,De'Aaron Fox,35.2887323943662,26.316901408450704,5.577464788732394,1.9859154929577465,0.4225352112676056,4.47887323943662,2.908450704225352,0.5288239436619722,0.7398181818181816,0.08450704225352113
11,Nikola Jokic,35.07602339181287,26.309941520467838,8.964912280701755,1.3976608187134503,0.8421052631578947,12.403508771929825,1.0292397660818713,0.6170292397660819,0.8297530864197529,0.8421052631578947
12,Anthony Edwards,35.343023255813954,25.877906976744185,5.436046511627907,1.302325581395349,0.5581395348837209,5.674418604651163,2.488372093023256,0.5102209302325583,0.8177151515151517,0.11627906976744186
13,Tyrese Maxey,37.30281690140845,25.830985915492956,6.211267605633803,0.9507042253521126,0.43661971830985913,3.640845070422535,3.0211267605633805,0.5249295774647891,0.8443382352941176,0.1267605633802817
14,LeBron James,34.820689655172416,25.76551724137931,8.289655172413793,1.3172413793103448,0.5379310344827586,7.110344827586207,2.1448275862068966,0.6090344827586205,0.742173611111111,0.3724137931034483
15,Trae Young,35.344086021505376,25.666666666666668,10.67741935483871,1.2688172043010753,0.1935483870967742,2.6989247311827955,3.247311827956989,0.5213118279569895,0.8535494505494504,0.6559139784946236
16,Ja Morant,34.705882352941174,24.823529411764707,7.9411764705882355,0.7647058823529411,0.5294117647058824,5.529411764705882,1.588235294117647,0.5024705882352941,0.8243529411764707,0.29411764705882354
17,LaMelo Ball,32.282051282051285,24.82051282051282,8.128205128205128,1.8717948717948718,0.20512820512820512,5.358974358974359,3.5384615384615383,0.5341794871794872,0.8631666666666666,0.3076923076923077
18,Kyrie Irving,35.8562091503268,24.607843137254903,5.261437908496732,1.2352941176470589,0.47058823529411764,4.810457516339869,2.8300653594771243,0.5614117647058825,0.8800158730158729,0.0718954248366013
19,Damian Lillard,34.861111111111114,24.59027777777778,6.819444444444445,0.9930555555555556,0.25,4.305555555555555,3.125,0.5177222222222226,0.9184326241134754,0.14583333333333334
20,Anthony Davis,34.869281045751634,24.470588235294116,3.607843137254902,1.1176470588235294,2.2549019607843137,12.738562091503267,0.33986928104575165,0.5712418300653596,0.798913333333333,0.8562091503267973
21,DeMar DeRozan,37.46206896551724,24.455172413793104,5.393103448275862,1.186206896551724,0.5448275862068965,4.406896551724138,0.9862068965517241,0.5233448275862072,0.8643566433566433,0.08275862068965517
22,Julius Randle,34.752808988764045,23.808988764044944,4.966292134831461,0.550561797752809,0.2696629213483146,9.101123595505618,1.651685393258427,0.5103033707865168,0.7984482758620688,0.3595505617977528
23,Desmond Bane,33.85897435897436,23.743589743589745,5.358974358974359,0.9743589743589743,0.5512820512820513,4.294871794871795,3.230769230769231,0.5529743589743591,0.8751940298507463,0.05128205128205128
24,Kawhi Leonard,33.65546218487395,23.48739495798319,3.596638655462185,1.5630252100840336,0.7983193277310925,6.151260504201681,2.033613445378151,0.5920840336134456,0.8599629629629632,0.058823529411764705
25,Lauri Markkanen,32.257425742574256,23.02970297029703,1.9306930693069306,0.9108910891089109,0.44554455445544555,8.01980198019802,3.128712871287129,0.5809207920792077,0.894,0.32673267326732675
26,Zion Williamson,30.808823529411764,22.794117647058822,5.125,1.0294117647058822,0.6838235294117647,5.779411764705882,0.08088235294117647,0.5759411764705881,0.6876335877862596,0.17647058823529413
27,Cade Cunningham,32.92660550458716,22.642201834862384,7.477064220183486,0.8715596330275229,0.3761467889908257,4.3119266055045875,1.908256880733945,0.49241284403669733,0.852290322580645,0.23853211009174313
28,Dejounte Murray,35.32116788321168,22.635036496350367,6.372262773722627,1.3941605839416058,0.30656934306569344,5.343065693430657,2.5985401459854014,0.5242481751824818,0.7892033898305083,0.22627737226277372
29,Paolo Banchero,34.77018633540373,22.577639751552795,5.304347826086956,0.9192546583850931,0.6459627329192547,6.937888198757764,1.5341614906832297,0.49992546583850916,0.7149745222929934,0.19875776397515527
30,Jaylen Brown,33.62264150943396,22.50314465408805,3.408805031446541,1.2264150943396226,0.5723270440251572,5.433962264150943,1.9748427672955975,0.5491509433962265,0.6866206896551726,0.05660377358490566
31,Paul George,33.792857142857144,22.478571428571428,3.857142857142857,1.5142857142857142,0.5,5.442857142857143,3.242857142857143,0.5625285714285717,0.8948035714285713,0.07142857142857142
32,Kyle Kuzma,32.03968253968254,22.452380952380953,4.158730158730159,0.5634920634920635,0.6428571428571429,6.634920634920635,2.111111111111111,0.5208253968253973,0.7520180180180179,0.21428571428571427
33,Anfernee Simons,33.895348837209305,22.38372093023256,5.523255813953488,0.4883720930232558,0.11627906976744186,3.63953488372093,3.36046511627907,0.5029302325581395,0.9127631578947367,0.06976744186046512
34,Jaren Jackson Jr.,31.546875,22.2265625,2.3046875,1.1796875,1.5859375,5.5078125,1.78125,0.4860937499999997,0.7864067796610167,0.078125
