,PLAYER_NAME,total_score
0,Luka Doncic,21.488833817597047
1,Victor Wembanyama,21.423214019817657
2,Nikola Jokic,20.89016144701832
3,Joel Embiid,20.723751455136316
4,Anthony Davis,19.400611850618617
5,Giannis Antetokounmpo,17.59798068370716
6,Domantas Sabonis,17.232147343822458
7,Tyrese Haliburton,16.378903585636895
8,Trae Young,16.372787543191027
9,LaMelo Ball,15.482050942286659
10,LeBron James,14.526651286893062
11,Shai Gilgeous-Alexander,14.04210113869201
12,Jayson Tatum,13.988268665080774
13,Scottie Barnes,13.921941557498622
14,Kevin Durant,13.17627838780565
15,Fred VanVleet,12.909980136613088
16,Donovan Mitchell,12.745353662800413
17,James Harden,12.49332253128261
18,Rudy Gobert,12.383780750449835
19,Stephen Curry,11.909910121654228
20,Nikola Vucevic,11.73539399852097
21,Bam Adebayo,11.634145830381211
22,De'Aaron Fox,11.625379501385858
23,Chet Holmgren,11.40715956869229
24,Lauri Markkanen,11.314505619517544
25,Alperen Sengun,11.092406342407019
26,Dejounte Murray,11.016289532565622
27,Paul George,11.006478625726054
28,Evan Mobley,10.880303323576648
29,Karl-Anthony Towns,10.79274177798744
30,Damian Lillard,10.71210443599627
31,Kawhi Leonard,10.694428761786275
32,Anthony Edwards,10.64943475238585
33,Devin Booker,10.592053472009894
34,Ja Morant,10.587737533955094
35,Jalen Duren,10.479852885477953
36,Kyrie Irving,10.459540778504879
37,Kristaps Porzingis,10.421624024494934
38,Jarrett Allen,10.41950473683744
39,Deandre Ayton,10.260912265966033
40,Tyrese Maxey,9.982297352571003
41,Desmond Bane,9.915624679057801
42,Derrick White,9.902947085686097
43,Nic Claxton,9.691754724557697
44,Jamal Murray,9.657067694057998
45,Jalen Johnson,9.64247425287537
46,Jalen Brunson,9.586117829306842
47,Julius Randle,9.57633713300148
48,Cade Cunningham,9.460265065146265
49,Miles Bridges,9.369891694684327
50,Mark Williams,9.16166839545136
51,Jaren Jackson Jr.,9.095326046563533
52,CJ McCollum,8.895211181211245
53,Myles Turner,8.886705606927169
54,Jusuf Nurkic,8.749225867808054
55,Paolo Banchero,8.641681946390598
56,Clint Capela,8.282235679225554
57,Jrue Holiday,8.14475593733425
58,Kyle Kuzma,8.12399836430974
59,D'Angelo Russell,7.99429519011691
60,DeMar DeRozan,7.96992392074491
61,Brook Lopez,7.957193024407232
62,Terry Rozier,7.930506597099829
63,John Collins,7.804280241759365
64,Darius Garland,7.6660507875701835
65,Alex Caruso,7.584763638090905
66,Donte DiVincenzo,7.354221087632922
67,Anfernee Simons,7.349330806165434
68,Michael Porter Jr.,7.325447656288095
69,Khris Middleton,7.322582167391077
70,Jaylen Brown,7.251304574191008
71,Jabari Smith Jr.,7.2179699468327225
72,Jakob Poeltl,7.185679829614709
73,Jimmy Butler,7.152640609938084
74,Bogdan Bogdanovic,7.1353549356650525
