,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0,0021400001,1610612753,Magic,ORL,Orlando,240:00,9.0,19.0,10.0,48.0,27.0,32.0,17.0,64.0,9,17,25,17
1,0021400001,1610612740,Pelicans,NOP,New Orleans,240:00,27.0,32.0,17.0,64.0,9.0,19.0,10.0,48.0,17,9,17,25
1,0021400002,1610612742,Mavericks,DAL,Dallas,240:00,22.0,16.0,8.0,24.0,11.0,9.0,7.0,32.0,3,3,20,20
0,0021400002,1610612759,Spurs,SAS,San Antonio,240:00,11.0,9.0,7.0,32.0,22.0,16.0,8.0,24.0,3,3,20,20
1,0021400003,1610612745,Rockets,HOU,Houston,240:00,17.0,20.0,22.0,34.0,15.0,4.0,13.0,40.0,3,3,30,32
0,0021400003,1610612747,Lakers,LAL,Los Angeles,240:00,15.0,4.0,13.0,40.0,17.0,20.0,22.0,34.0,3,3,32,30
1,0021400004,1610612766,Hornets,CHA,Charlotte,265:00,9.0,16.0,17.0,40.0,17.0,2.0,16.0,38.0,9,10,20,25
0,0021400004,1610612749,Bucks,MIL,Milwaukee,265:00,17.0,2.0,16.0,38.0,9.0,16.0,17.0,40.0,10,9,25,20
1,0021400005,1610612754,Pacers,IND,Indiana,240:00,14.0,17.0,13.0,32.0,23.0,15.0,19.0,48.0,13,5,24,29
0,0021400005,1610612755,76ers,PHI,Philadelphia,240:00,23.0,15.0,19.0,48.0,14.0,17.0,13.0,32.0,5,13,29,24
1,0021400006,1610612751,Nets,BKN,Brooklyn,240:00,16.0,14.0,11.0,40.0,25.0,17.0,11.0,62.0,7,5,21,25
0,0021400006,1610612738,Celtics,BOS,Boston,240:00,25.0,17.0,11.0,62.0,16.0,14.0,11.0,40.0,5,7,25,21
0,0021400007,1610612764,Wizards,WAS,Washington,240:00,9.0,8.0,15.0,42.0,12.0,12.0,12.0,44.0,2,3,20,17
1,0021400007,1610612748,Heat,MIA,Miami,240:00,12.0,12.0,12.0,44.0,9.0,8.0,15.0,42.0,3,2,17,20
0,0021400008,1610612761,Raptors,TOR,Toronto,240:00,23.0,26.0,18.0,40.0,14.0,11.0,10.0,36.0,9,8,22,24
1,0021400008,1610612737,Hawks,ATL,Atlanta,240:00,14.0,11.0,10.0,36.0,23.0,26.0,18.0,40.0,8,9,24,22
0,0021400009,1610612750,Timberwolves,MIN,Minnesota,240:00,21.0,17.0,15.0,34.0,21.0,15.0,13.0,58.0,4,5,21,21
1,0021400009,1610612763,Grizzlies,MEM,Memphis,240:00,21.0,15.0,13.0,58.0,21.0,17.0,15.0,34.0,5,4,21,21
1,0021400010,1610612741,Bulls,CHI,Chicago,240:00,14.0,12.0,14.0,42.0,17.0,10.0,8.0,28.0,4,5,18,22
0,0021400010,1610612752,Knicks,NYK,New York,240:00,17.0,10.0,8.0,28.0,14.0,12.0,14.0,42.0,5,4,22,18
1,0021400011,1610612743,Nuggets,DEN,Denver,240:00,17.0,20.0,11.0,34.0,10.0,8.0,6.0,38.0,4,5,21,27
0,0021400011,1610612765,Pistons,DET,Detroit,240:00,10.0,8.0,6.0,38.0,17.0,20.0,11.0,34.0,5,4,27,21
1,0021400012,1610612745,Rockets,HOU,Houston,240:00,16.0,18.0,18.0,44.0,21.0,20.0,17.0,62.0,6,6,23,16
0,0021400012,1610612762,Jazz,UTA,Utah,240:00,21.0,20.0,17.0,62.0,16.0,18.0,18.0,44.0,6,6,16,23
1,0021400013,1610612747,Lakers,LAL,Los Angeles,240:00,12.0,18.0,12.0,34.0,18.0,12.0,19.0,36.0,3,3,18,25
0,0021400013,1610612756,Suns,PHX,Phoenix,240:00,18.0,12.0,19.0,36.0,12.0,18.0,12.0,34.0,3,3,25,18
1,0021400014,1610612744,Warriors,GSW,Golden State,240:00,26.0,9.0,21.0,40.0,16.0,15.0,13.0,36.0,8,3,32,26
0,0021400014,1610612758,Kings,SAC,Sacramento,240:00,16.0,15.0,13.0,36.0,26.0,9.0,21.0,40.0,3,8,26,32
0,0021400015,1610612757,Trail Blazers,POR,Portland,240:00,20.0,16.0,4.0,34.0,14.0,20.0,14.0,44.0,9,5,19,28
1,0021400015,1610612760,Thunder,OKC,Oklahoma City,240:00,14.0,20.0,14.0,44.0,20.0,16.0,4.0,34.0,5,9,28,19
0,0021400016,1610612764,Wizards,WAS,Washington,240:00,17.0,8.0,13.0,38.0,15.0,5.0,6.0,36.0,0,1,25,23
1,0021400016,1610612753,Magic,ORL,Orlando,240:00,15.0,5.0,6.0,36.0,17.0,8.0,13.0,38.0,1,0,23,25
0,0021400017,1610612750,Timberwolves,MIN,Minnesota,240:00,14.0,21.0,11.0,36.0,13.0,15.0,7.0,40.0,3,5,21,24
1,0021400017,1610612765,Pistons,DET,Detroit,240:00,13.0,15.0,7.0,40.0,14.0,21.0,11.0,36.0,5,3,24,21
0,0021400018,1610612752,Knicks,NYK,New York,240:00,26.0,9.0,10.0,22.0,25.0,12.0,10.0,34.0,1,2,26,15
1,0021400018,1610612739,Cavaliers,CLE,Cleveland,240:00,25.0,12.0,10.0,34.0,26.0,9.0,10.0,22.0,2,1,15,26
1,0021400019,1610612742,Mavericks,DAL,Dallas,240:00,23.0,17.0,13.0,52.0,11.0,19.0,13.0,28.0,5,0,15,21
0,0021400019,1610612762,Jazz,UTA,Utah,240:00,11.0,19.0,13.0,28.0,23.0,17.0,13.0,52.0,0,5,21,15
0,0021400020,1610612760,Thunder,OKC,Oklahoma City,240:00,10.0,2.0,6.0,32.0,19.0,10.0,16.0,34.0,2,4,27,27
1,0021400020,1610612746,Clippers,LAC,Los Angeles,240:00,19.0,10.0,16.0,34.0,10.0,2.0,6.0,32.0,4,2,27,27
0,0021400021,1610612763,Grizzlies,MEM,Memphis,240:00,14.0,14.0,16.0,32.0,8.0,10.0,6.0,32.0,2,3,21,15
1,0021400021,1610612754,Pacers,IND,Indiana,240:00,8.0,10.0,6.0,32.0,14.0,14.0,16.0,32.0,3,2,15,21
0,0021400022,1610612739,Cavaliers,CLE,Cleveland,265:00,25.0,22.0,21.0,58.0,12.0,14.0,16.0,44.0,4,14,18,28
1,0021400022,1610612741,Bulls,CHI,Chicago,265:00,12.0,14.0,16.0,44.0,25.0,22.0,21.0,58.0,14,4,28,18
1,0021400023,1610612749,Bucks,MIL,Milwaukee,240:00,23.0,15.0,16.0,46.0,20.0,12.0,10.0,46.0,11,5,19,18
0,0021400023,1610612755,76ers,PHI,Philadelphia,240:00,20.0,12.0,10.0,46.0,23.0,15.0,16.0,46.0,5,11,18,19
0,0021400024,1610612759,Spurs,SAS,San Antonio,240:00,7.0,10.0,13.0,36.0,15.0,19.0,15.0,54.0,3,5,25,21
1,0021400024,1610612756,Suns,PHX,Phoenix,240:00,15.0,19.0,15.0,54.0,7.0,10.0,13.0,36.0,5,3,21,25
0,0021400025,1610612758,Kings,SAC,Sacramento,240:00,21.0,18.0,10.0,34.0,12.0,15.0,11.0,36.0,2,8,24,26
1,0021400025,1610612757,Trail Blazers,POR,Portland,240:00,12.0,15.0,11.0,36.0,21.0,18.0,10.0,34.0,8,2,26,24
1,0021400026,1610612746,Clippers,LAC,Los Angeles,240:00,15.0,7.0,9.0,34.0,14.0,12.0,11.0,40.0,2,2,26,35
0,0021400026,1610612747,Lakers,LAL,Los Angeles,240:00,14.0,12.0,11.0,40.0,15.0,7.0,9.0,34.0,2,2,35,26
1,0021400027,1610612742,Mavericks,DAL,Dallas,240:00,18.0,16.0,13.0,62.0,12.0,19.0,13.0,46.0,6,4,25,19
0,0021400027,1610612740,Pelicans,NOP,New Orleans,240:00,12.0,19.0,13.0,46.0,18.0,16.0,13.0,62.0,4,6,19,25
0,0021400028,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,8.0,0.0,32.0,15.0,1.0,10.0,26.0,0,4,22,16
1,0021400028,1610612766,Hornets,CHA,Charlotte,240:00,15.0,1.0,10.0,26.0,11.0,8.0,0.0,32.0,4,0,16,22
1,0021400029,1610612753,Magic,ORL,Orlando,240:00,11.0,14.0,17.0,46.0,10.0,20.0,15.0,46.0,7,4,37,21
0,0021400029,1610612761,Raptors,TOR,Toronto,240:00,10.0,20.0,15.0,46.0,11.0,14.0,17.0,46.0,4,7,21,37
1,0021400030,1610612748,Heat,MIA,Miami,240:00,34.0,14.0,19.0,38.0,16.0,6.0,19.0,42.0,0,10,20,21
0,0021400030,1610612755,76ers,PHI,Philadelphia,240:00,16.0,6.0,19.0,42.0,34.0,14.0,19.0,38.0,10,0,21,20
0,0021400031,1610612764,Wizards,WAS,Washington,240:00,25.0,4.0,7.0,44.0,20.0,19.0,20.0,46.0,5,3,21,28
1,0021400031,1610612749,Bucks,MIL,Milwaukee,240:00,20.0,19.0,20.0,46.0,25.0,4.0,7.0,44.0,3,5,28,21
1,0021400032,1610612737,Hawks,ATL,Atlanta,240:00,20.0,5.0,15.0,28.0,13.0,24.0,5.0,26.0,6,5,20,26
0,0021400032,1610612754,Pacers,IND,Indiana,240:00,13.0,24.0,5.0,26.0,20.0,5.0,15.0,28.0,5,6,26,20
0,0021400033,1610612765,Pistons,DET,Detroit,240:00,11.0,14.0,12.0,48.0,6.0,14.0,8.0,46.0,3,3,15,23
1,0021400033,1610612751,Nets,BKN,Brooklyn,240:00,6.0,14.0,8.0,46.0,11.0,14.0,12.0,48.0,3,3,23,15
0,0021400034,1610612745,Rockets,HOU,Houston,240:00,18.0,14.0,16.0,38.0,18.0,13.0,22.0,60.0,8,8,24,26
1,0021400034,1610612738,Celtics,BOS,Boston,240:00,18.0,13.0,22.0,60.0,18.0,14.0,16.0,38.0,8,8,26,24
1,0021400035,1610612741,Bulls,CHI,Chicago,240:00,10.0,8.0,11.0,34.0,23.0,17.0,13.0,40.0,8,4,24,29
0,0021400035,1610612750,Timberwolves,MIN,Minnesota,240:00,23.0,17.0,13.0,40.0,10.0,8.0,11.0,34.0,4,8,29,24
1,0021400036,1610612743,Nuggets,DEN,Denver,240:00,18.0,12.0,10.0,42.0,16.0,16.0,6.0,46.0,10,6,26,20
0,0021400036,1610612760,Thunder,OKC,Oklahoma City,240:00,16.0,16.0,6.0,46.0,18.0,12.0,10.0,42.0,6,10,20,26
0,0021400037,1610612762,Jazz,UTA,Utah,240:00,17.0,19.0,35.0,66.0,21.0,11.0,21.0,42.0,6,7,15,22
1,0021400037,1610612756,Suns,PHX,Phoenix,240:00,21.0,11.0,21.0,42.0,17.0,19.0,35.0,66.0,7,6,22,15
0,0021400038,1610612747,Lakers,LAL,Los Angeles,240:00,15.0,26.0,16.0,42.0,26.0,15.0,35.0,62.0,3,4,27,26
1,0021400038,1610612744,Warriors,GSW,Golden State,240:00,26.0,15.0,35.0,62.0,15.0,26.0,16.0,42.0,4,3,26,27
0,0021400039,1610612758,Kings,SAC,Sacramento,240:00,11.0,15.0,4.0,44.0,14.0,8.0,4.0,34.0,11,7,22,25
1,0021400039,1610612746,Clippers,LAC,Los Angeles,240:00,14.0,8.0,4.0,34.0,11.0,15.0,4.0,44.0,7,11,25,22
1,0021400040,1610612748,Heat,MIA,Miami,240:00,7.0,15.0,10.0,36.0,22.0,16.0,9.0,46.0,6,5,29,28
0,0021400040,1610612761,Raptors,TOR,Toronto,240:00,22.0,16.0,9.0,46.0,7.0,15.0,10.0,36.0,5,6,28,29
