,TEAM_ABBREVIATION,SEASON_ID,GAME_ID,GAME_DATE,MATCHUP,PLUS_MINUS,PTS,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,rolling_10_avg_EFG_PCT,rolling_10_avg_FTA_RATE,rolling_10_avg_TM_TOV_PCT,rolling_10_avg_OREB_PCT,rolling_10_avg_OPP_EFG_PCT,rolling_10_avg_OPP_FTA_RATE,rolling_10_avg_OPP_TOV_PCT,rolling_10_avg_OPP_OREB_PCT,game_count
825,OKC,22012,0021201065,2013-03-27,OKC vs. WAS,23.0,,0.524,0.651,0.178,0.194,0.351,0.345,0.174,0.377,0.5111818181818183,0.40399999999999997,0.16554545454545452,0.2381818181818182,0.44863636363636367,0.25,0.1549090909090909,0.27918181818181825,72
826,SAC,22013,0021300783,2014-02-12,SAC @ NYK,5.0,,0.529,0.224,0.163,0.234,0.506,0.156,0.178,0.353,0.47618181818181815,0.3480000000000001,0.15345454545454548,0.26172727272727275,0.4946363636363636,0.3418181818181818,0.13481818181818178,0.30472727272727274,53
827,PHI,22014,0021400726,2015-02-03,PHI vs. DEN,7.0,,0.521,0.6,0.205,0.167,0.459,0.329,0.136,0.218,0.46,0.27,0.1922727272727273,0.2289090909090909,0.4814545454545454,0.2702727272727273,0.17709090909090913,0.34109090909090906,50
828,WAS,22012,0021200082,2012-11-10,WAS @ IND,-4.0,,0.506,0.089,0.135,0.111,0.469,0.3,0.145,0.327,0.46099999999999997,0.177,0.1648,0.1898,0.488,0.2794,0.1704,0.3008,5
829,SAS,22021,22100332,2021-12-02,SAS @ POR,31.0,114.0,0.56,0.176,0.132,0.12,0.427,0.207,0.181,0.164,0.520818181818182,0.17927272727272728,0.12181818181818184,0.19072727272727272,0.5250909090909092,0.19845454545454544,0.13381818181818184,0.2597272727272727,20
830,OKC,22022,0022200511,2022-12-27,OKC vs. SAS,16.0,130.0,0.61,0.36,0.139,0.302,0.515,0.141,0.144,0.418,0.525818181818182,0.2899090909090909,0.14563636363636365,0.20545454545454545,0.5389999999999999,0.24581818181818182,0.15218181818181817,0.3003636363636364,34
831,UTA,22014,0021401191,2015-04-11,UTA @ POR,6.0,,0.494,0.532,0.171,0.3,0.506,0.253,0.129,0.298,0.4907272727272727,0.3351818181818182,0.1669090909090909,0.2805454545454546,0.48681818181818176,0.30818181818181817,0.157,0.29545454545454547,80
832,PHX,22011,0021100910,2012-04-16,PHX vs. POR,18.0,,0.641,0.224,0.115,0.257,0.506,0.258,0.143,0.377,0.5167272727272727,0.2762727272727273,0.1342727272727273,0.2375454545454545,0.4924545454545456,0.2776363636363637,0.152,0.32145454545454544,61
833,DAL,22016,0021600754,2017-02-03,DAL @ POR,4.0,,0.586,0.303,0.077,0.05,0.506,0.227,0.096,0.32,0.5335454545454547,0.238,0.10572727272727271,0.16754545454545455,0.501,0.30409090909090913,0.14927272727272728,0.2639090909090909,50
834,TOR,22013,0021300647,2014-01-25,TOR vs. LAC,-8.0,,0.581,0.514,0.165,0.357,0.619,0.298,0.074,0.3,0.49672727272727274,0.3047272727272727,0.14009090909090907,0.2639090909090909,0.4819090909090909,0.3145454545454546,0.14072727272727276,0.26263636363636367,43
835,SAC,22017,0021700013,2017-10-18,SAC vs. HOU,-5.0,100.0,0.523,0.114,0.178,0.188,0.47,0.349,0.16,0.314,0.523,0.114,0.178,0.188,0.47,0.349,0.16,0.314,1
836,MEM,22013,0021301051,2014-03-24,MEM vs. MIN,17.0,,0.56,0.143,0.148,0.34,0.417,0.222,0.105,0.316,0.5039999999999999,0.27599999999999997,0.16454545454545452,0.2620909090909091,0.46836363636363637,0.22054545454545457,0.16090909090909092,0.2780909090909091,70
837,LAL,22023,0022301155,2024-04-09,LAL vs. GSW,-14.0,120.0,0.521,0.25,0.077,0.189,0.75,0.263,0.15,0.139,0.5651818181818182,0.31154545454545457,0.15136363636363634,0.19536363636363638,0.5504545454545454,0.18381818181818185,0.13263636363636364,0.24190909090909096,80
838,UTA,22011,0021100889,2012-04-14,UTA @ MEM,-5.0,,0.512,0.205,0.153,0.295,0.536,0.486,0.14,0.275,0.47900000000000004,0.3376363636363636,0.15736363636363637,0.28454545454545455,0.508909090909091,0.31154545454545457,0.14136363636363633,0.28245454545454546,61
839,BOS,22019,0021901267,2020-08-05,BOS vs. BKN,34.0,,0.682,0.398,0.126,0.146,0.516,0.221,0.156,0.245,0.5282727272727273,0.2847272727272728,0.12718181818181817,0.21545454545454545,0.5300909090909091,0.2696363636363637,0.14572727272727276,0.28263636363636363,68
840,BKN,22013,0021300150,2013-11-18,BKN vs. POR,-10.0,,0.382,0.412,0.075,0.255,0.592,0.276,0.164,0.263,0.46579999999999994,0.34490000000000004,0.1463,0.2186,0.5066999999999999,0.3327,0.15819999999999998,0.2914,10
841,NYK,22019,0021900029,2019-10-26,NYK vs. BOS,-23.0,95.0,0.421,0.415,0.229,0.286,0.532,0.312,0.123,0.293,0.5053333333333333,0.3173333333333333,0.19699999999999998,0.18800000000000003,0.5523333333333333,0.39399999999999996,0.18499999999999997,0.264,3
842,MEM,42011,0041100174,2012-05-07,MEM @ LAC,-4.0,,0.458,0.325,0.183,0.388,0.48,0.526,0.126,0.313,0.4735,0.41424999999999995,0.16175,0.3065,0.5455,0.38175000000000003,0.18350000000000002,0.29275,4
843,UTA,42020,0042000145,2021-06-02,UTA vs. MEM,16.0,,0.605,0.126,0.144,0.234,0.537,0.095,0.133,0.192,0.5838,0.30779999999999996,0.1338,0.21460000000000004,0.5254,0.2218,0.1012,0.275,5
844,ATL,22018,0021800762,2019-01-30,ATL @ SAC,-22.0,,0.535,0.291,0.193,0.176,0.601,0.212,0.131,0.362,0.5400909090909091,0.25036363636363634,0.1839090909090909,0.2694545454545455,0.5442727272727272,0.3164545454545455,0.14772727272727273,0.2947272727272727,50
845,GSW,22011,0021100742,2012-03-27,GSW vs. LAL,-3.0,,0.462,0.198,0.052,0.154,0.448,0.395,0.134,0.404,0.5074545454545455,0.22054545454545452,0.12836363636363635,0.1548181818181818,0.4846363636363637,0.28900000000000003,0.14454545454545453,0.3482727272727273,48
846,WAS,22013,0021300890,2014-03-03,WAS vs. MEM,-6.0,,0.537,0.259,0.136,0.182,0.582,0.266,0.138,0.216,0.5251818181818182,0.2561818181818182,0.1339090909090909,0.22718181818181818,0.5057272727272728,0.3488181818181818,0.17800000000000002,0.2916363636363637,60
847,WAS,22023,0022300628,2024-01-25,WAS vs. UTA,-15.0,108.0,0.528,0.227,0.107,0.106,0.582,0.124,0.152,0.347,0.523,0.2525454545454546,0.13618181818181818,0.19799999999999995,0.5544545454545454,0.27218181818181814,0.14881818181818182,0.32,44
848,MIA,22015,0021500977,2016-03-12,MIA @ TOR,-8.0,,0.423,0.265,0.13,0.254,0.476,0.452,0.13,0.28,0.5059090909090909,0.3038181818181818,0.14409090909090908,0.23809090909090908,0.4738181818181818,0.2889090909090909,0.12172727272727273,0.2509090909090909,66
849,HOU,22010,0021000413,2010-12-20,HOU @ GSW,9.0,,0.565,0.405,0.172,0.37,0.554,0.321,0.145,0.311,0.5435454545454544,0.3157272727272728,0.15709090909090911,0.2324545454545455,0.501909090909091,0.3085454545454546,0.15518181818181817,0.3130909090909091,28
850,LAC,22015,0021500038,2015-10-31,LAC vs. SAC,5.0,,0.539,0.605,0.159,0.136,0.455,0.248,0.131,0.365,0.5283333333333333,0.4573333333333333,0.128,0.14,0.44733333333333336,0.19799999999999998,0.1416666666666667,0.316,3
851,TOR,22021,22101028,2022-03-14,TOR @ LAL,11.0,114.0,0.458,0.375,0.123,0.306,0.466,0.333,0.125,0.175,0.4952727272727273,0.27436363636363637,0.11918181818181818,0.2680909090909091,0.5399090909090908,0.25118181818181823,0.14981818181818182,0.27072727272727276,68
852,IND,22020,0022000861,2021-04-18,IND @ ATL,-12.0,117.0,0.543,0.217,0.115,0.167,0.56,0.37,0.097,0.314,0.5392727272727273,0.214,0.1341818181818182,0.20590909090909087,0.529909090909091,0.28690909090909095,0.13181818181818183,0.3166363636363636,56
853,DAL,22013,0021300758,2014-02-09,DAL @ BOS,11.0,,0.512,0.244,0.11,0.222,0.418,0.163,0.112,0.3,0.5336363636363636,0.33081818181818184,0.12700000000000003,0.22872727272727278,0.5183636363636365,0.3366363636363636,0.15027272727272728,0.2920909090909091,52
854,WAS,22016,0021600158,2016-11-16,WAS @ PHI,-7.0,,0.462,0.275,0.108,0.196,0.61,0.286,0.172,0.205,0.47590000000000005,0.2572,0.14950000000000002,0.23220000000000002,0.5249,0.29510000000000003,0.1462,0.27230000000000004,10
855,WAS,22019,0021901263,2020-08-05,WAS vs. PHI,-9.0,98.0,0.465,0.282,0.148,0.184,0.53,0.354,0.136,0.204,0.5238181818181818,0.3172727272727273,0.1388181818181818,0.1706363636363636,0.5669090909090909,0.32345454545454544,0.15954545454545457,0.2594545454545455,68
856,MIN,22019,0021900349,2019-12-09,MIN @ PHX,-16.0,109.0,0.506,0.341,0.164,0.224,0.579,0.2,0.09,0.3,0.5246363636363636,0.2900909090909091,0.14227272727272727,0.1988181818181818,0.5164545454545455,0.2609090909090909,0.10263636363636364,0.27936363636363637,23
857,DAL,22020,0022000370,2021-02-08,DAL vs. MIN,5.0,127.0,0.586,0.345,0.134,0.217,0.56,0.308,0.085,0.216,0.5344545454545455,0.27572727272727277,0.11063636363636364,0.1761818181818182,0.5830000000000001,0.2852727272727273,0.1302727272727273,0.28345454545454546,25
858,SAC,22021,22100026,2021-10-22,SAC vs. UTA,-9.0,101.0,0.434,0.212,0.14,0.262,0.5,0.256,0.179,0.333,0.49150000000000005,0.2635,0.1165,0.196,0.524,0.2465,0.1505,0.28900000000000003,2
859,PHX,22016,0021600739,2017-02-01,PHX vs. LAC,-10.0,,0.443,0.365,0.113,0.293,0.547,0.447,0.096,0.25,0.5046363636363635,0.3347272727272727,0.1430909090909091,0.2490909090909091,0.5462727272727274,0.33918181818181814,0.13072727272727272,0.28363636363636363,49
860,IND,22010,0021000408,2010-12-20,IND vs. NOH,1.0,,0.494,0.238,0.157,0.167,0.422,0.386,0.185,0.407,0.4904545454545454,0.2571818181818182,0.159,0.17145454545454544,0.47900000000000004,0.32072727272727275,0.14554545454545456,0.31290909090909097,27
861,PHI,22015,0021500263,2015-12-01,PHI vs. LAL,12.0,,0.557,0.291,0.168,0.204,0.416,0.27,0.121,0.316,0.47181818181818186,0.2585454545454546,0.19790909090909092,0.17381818181818184,0.47181818181818186,0.3363636363636364,0.1680909090909091,0.2869999999999999,19
862,LAL,42019,0041900141,2020-08-18,LAL vs. POR,-7.0,93.0,0.376,0.32,0.096,0.246,0.475,0.418,0.153,0.22,0.376,0.32,0.096,0.246,0.475,0.418,0.153,0.22,1
863,MEM,22017,0021700658,2018-01-17,MEM vs. NYK,6.0,105.0,0.505,0.187,0.126,0.288,0.47,0.28,0.149,0.34,0.5142727272727272,0.32527272727272727,0.13045454545454546,0.21054545454545454,0.5103636363636364,0.37490909090909086,0.14563636363636365,0.2838181818181818,43
864,ORL,22018,0021800142,2018-11-05,ORL vs. CLE,2.0,,0.511,0.172,0.152,0.2,0.575,0.15,0.189,0.22,0.4824,0.20550000000000002,0.128,0.2011,0.5362,0.23559999999999998,0.1423,0.26539999999999997,10
865,NOP,22016,0021600177,2016-11-18,NOP vs. POR,12.0,,0.604,0.244,0.091,0.025,0.443,0.295,0.139,0.339,0.4819090909090909,0.28800000000000003,0.13399999999999998,0.1547272727272727,0.49699999999999994,0.22481818181818183,0.12990909090909092,0.28036363636363637,13
866,PHX,22020,0022000843,2021-04-15,PHX vs. SAC,8.0,,0.64,0.163,0.118,0.256,0.641,0.244,0.154,0.184,0.5770909090909091,0.24145454545454542,0.12436363636363636,0.20809090909090913,0.5415454545454546,0.24745454545454548,0.14772727272727273,0.25663636363636366,55
867,GSW,22019,0021900144,2019-11-11,GSW vs. UTA,-14.0,108.0,0.532,0.149,0.098,0.157,0.593,0.395,0.118,0.178,0.4959090909090909,0.27472727272727276,0.1359090909090909,0.19372727272727275,0.571,0.26218181818181824,0.14481818181818182,0.28063636363636363,11
868,WAS,22023,0022300358,2023-12-18,WAS @ SAC,-12.0,131.0,0.624,0.353,0.114,0.119,0.615,0.26,0.064,0.286,0.56,0.27490909090909094,0.13990909090909093,0.15109090909090905,0.5744545454545454,0.2637272727272727,0.12263636363636364,0.3245454545454545,26
869,SAC,22012,0021201007,2013-03-19,SAC vs. LAC,15.0,,0.603,0.466,0.175,0.205,0.506,0.325,0.183,0.304,0.5480909090909091,0.2733636363636364,0.1398181818181818,0.19781818181818184,0.5204545454545454,0.32081818181818184,0.14927272727272725,0.27499999999999997,68
870,DET,22021,22100567,2022-01-05,DET @ CHA,-29.0,111.0,0.543,0.217,0.124,0.173,0.741,0.358,0.165,0.263,0.49890909090909086,0.26436363636363636,0.15363636363636363,0.1878181818181818,0.5387272727272727,0.29663636363636364,0.1410909090909091,0.2756363636363636,36
871,GSW,22019,0021900429,2019-12-20,GSW vs. NOP,4.0,106.0,0.494,0.301,0.176,0.208,0.468,0.247,0.166,0.304,0.47618181818181815,0.27081818181818185,0.151,0.2080909090909091,0.5533636363636364,0.24354545454545456,0.16699999999999998,0.2817272727272727,30
872,CHA,22019,0021900167,2019-11-15,CHA vs. DET,3.0,109.0,0.516,0.167,0.11,0.25,0.586,0.136,0.21,0.293,0.5121818181818182,0.2658181818181818,0.16372727272727272,0.20327272727272724,0.5685454545454546,0.1988181818181818,0.18281818181818182,0.27336363636363636,12
873,SAS,22021,22100521,2022-02-03,SAS vs. MIA,-17.0,95.0,0.425,0.475,0.167,0.222,0.578,0.217,0.143,0.262,0.5309090909090908,0.22,0.11436363636363636,0.2288181818181818,0.5209999999999999,0.19909090909090904,0.11381818181818182,0.32463636363636367,53
874,GSW,22013,0021301175,2014-04-10,GSW vs. DEN,-1.0,,0.489,0.17,0.128,0.122,0.423,0.183,0.163,0.463,0.5290909090909091,0.20272727272727273,0.1398181818181818,0.21009090909090905,0.4767272727272728,0.27772727272727277,0.12963636363636363,0.2884545454545455,78
875,UTA,22021,22100844,2022-02-11,UTA vs. ORL,15.0,114.0,0.522,0.27,0.153,0.22,0.518,0.19,0.18,0.188,0.5371818181818182,0.2686363636363636,0.14472727272727273,0.2090909090909091,0.5281818181818182,0.21081818181818177,0.13545454545454547,0.27527272727272734,56
876,UTA,22022,0022200306,2022-11-28,UTA vs. CHI,-7.0,107.0,0.594,0.176,0.145,0.191,0.495,0.269,0.081,0.308,0.5537272727272727,0.2419090909090909,0.14818181818181816,0.23518181818181816,0.5433636363636364,0.2453636363636364,0.11945454545454548,0.3182727272727272,23
877,SAC,22013,0021300951,2014-03-11,SAC @ DET,-10.0,,0.423,0.357,0.16,0.232,0.477,0.218,0.123,0.255,0.48545454545454536,0.3875454545454545,0.17427272727272727,0.2560909090909091,0.5248181818181817,0.33827272727272734,0.13063636363636363,0.23836363636363636,64
878,OKC,22023,0022300201,2023-11-16,OKC @ GSW,19.0,128.0,0.615,0.264,0.126,0.163,0.48,0.194,0.156,0.393,0.5580909090909091,0.27018181818181825,0.1368181818181818,0.15572727272727274,0.5077272727272727,0.2660909090909091,0.15736363636363634,0.34600000000000003,12
879,ORL,22010,0021000915,2011-03-04,ORL vs. CHI,-8.0,,0.486,0.329,0.176,0.109,0.452,0.265,0.201,0.462,0.5310909090909091,0.34636363636363643,0.1598181818181818,0.19490909090909092,0.44309090909090904,0.3016363636363637,0.143,0.31072727272727274,63
880,PHX,22016,0021600829,2017-02-13,PHX vs. NOP,-2.0,108.0,0.473,0.258,0.173,0.236,0.526,0.449,0.153,0.238,0.4748181818181818,0.3229090909090909,0.1389090909090909,0.22627272727272726,0.5539090909090908,0.3854545454545455,0.1519090909090909,0.2907272727272728,56
881,TOR,42016,0041600125,2017-04-24,TOR vs. MIL,25.0,,0.662,0.366,0.189,0.167,0.582,0.388,0.162,0.1,0.48999999999999994,0.3534,0.15100000000000002,0.146,0.5136000000000001,0.25220000000000004,0.1406,0.21400000000000002,5
882,DAL,22022,0022200421,2022-12-14,DAL vs. CLE,-15.0,90.0,0.48,0.351,0.141,0.12,0.577,0.244,0.1,0.263,0.5680909090909091,0.30354545454545456,0.1300909090909091,0.16718181818181818,0.5709090909090909,0.2748181818181818,0.14190909090909096,0.27545454545454545,28
