,GAME_ID,GAME_DATE,MATCHUP,HOME_EFG_PCT,HOME_FTA_RATE,HOME_TM_TOV_PCT,HOME_OREB_PCT,HOME_OPP_EFG_PCT,HOME_OPP_FTA_RATE,HOME_OPP_TOV_PCT,HOME_OPP_OREB_PCT,HOME_GAME_COUNT,AWAY_EFG_PCT,AWAY_FTA_RATE,AWAY_TM_TOV_PCT,AWAY_OREB_PCT,AWAY_OPP_EFG_PCT,AWAY_OPP_FTA_RATE,AWAY_OPP_TOV_PCT,AWAY_OPP_OREB_PCT,AWAY_GAME_COUNT,PLUS_MINUS,TOTAL_POINTS,HOME_SPREAD,OVER_UNDER
288,22100436,2021-12-17,LAL @ MIN,0.48,0.245,0.138,0.246,0.462,0.372,0.167,0.075,29,0.462,0.372,0.167,0.019,0.48,0.245,0.138,0.295,30,18.0,202.0,0.5,222.0
289,21600514,2017-01-02,NOP @ CLE,0.411,0.244,0.128,0.186,0.426,0.114,0.133,0.193,33,0.426,0.114,0.133,0.14,0.411,0.244,0.128,0.288,36,8.0,,-9.0,218.0
290,22200098,2022-10-31,IND @ BKN,0.606,0.25,0.195,0.158,0.534,0.264,0.216,0.333,7,0.534,0.264,0.216,0.196,0.606,0.25,0.195,0.211,8,7.0,225.0,-8.0,236.5
291,41500144,2016-04-24,GSW @ HOU,0.455,0.487,0.174,0.173,0.635,0.18,0.152,0.234,4,0.635,0.18,0.152,0.149,0.455,0.487,0.174,0.231,4,-27.0,,8.5,217.5
292,21201097,2013-03-31,DET @ CHI,0.447,0.526,0.097,0.185,0.549,0.306,0.187,0.282,72,0.549,0.306,0.187,0.205,0.447,0.526,0.097,0.278,74,1.0,,-8.5,186.5
293,21500088,2015-11-07,NOP @ DAL,0.53,0.262,0.111,0.133,0.506,0.151,0.124,0.208,6,0.506,0.151,0.124,0.146,0.53,0.262,0.111,0.2,6,9.0,,-5.0,209.5
294,21200500,2013-01-06,WAS @ MIA,0.512,0.195,0.102,0.222,0.395,0.173,0.094,0.218,32,0.395,0.173,0.094,0.182,0.512,0.195,0.102,0.333,32,28.0,,-14.5,191.0
295,22300175,2023-11-11,MIA @ ATL,0.54,0.207,0.216,0.294,0.56,0.298,0.146,0.205,9,0.56,0.298,0.146,0.159,0.54,0.207,0.216,0.314,9,-8.0,226.0,-8.0,227.5
296,41200137,2013-05-04,CHI @ BKN,0.453,0.233,0.106,0.358,0.53,0.159,0.108,0.372,7,0.53,0.159,0.108,0.302,0.453,0.233,0.106,0.396,7,-6.0,,-6.5,181.5
297,22200956,2023-03-04,TOR @ WAS,0.6,0.293,0.241,0.231,0.589,0.156,0.14,0.239,63,0.589,0.156,0.14,0.217,0.6,0.293,0.241,0.333,65,-7.0,225.0,2.5,222.5
298,21400190,2014-11-22,WAS @ MIL,0.458,0.31,0.146,0.16,0.505,0.237,0.171,0.472,14,0.505,0.237,0.171,0.377,0.458,0.31,0.146,0.32,12,-11.0,,3.5,194.0
299,21200042,2012-11-05,NYK @ PHI,0.384,0.302,0.142,0.328,0.542,0.226,0.077,0.222,3,0.542,0.226,0.077,0.2,0.384,0.302,0.142,0.345,3,-22.0,,-3.0,184.5
300,22301114,2024-04-04,DEN @ LAC,0.417,0.356,0.067,0.119,0.5,0.301,0.137,0.176,76,0.5,0.301,0.137,0.118,0.417,0.356,0.067,0.203,77,2.0,202.0,3.5,219.5
301,21400876,2015-02-28,MIL @ UTA,0.421,0.303,0.239,0.265,0.426,0.189,0.242,0.244,58,0.426,0.189,0.242,0.178,0.421,0.303,0.239,0.367,59,7.0,,-3.5,183.0
302,21700045,2017-10-23,GSW @ DAL,0.443,0.313,0.112,0.215,0.645,0.302,0.155,0.275,4,0.645,0.302,0.155,0.25,0.443,0.313,0.112,0.323,4,-23.8,236.0,13.5,217.5
303,22300041,2023-11-21,POR @ PHX,0.612,0.368,0.162,0.333,0.517,0.23,0.134,0.38,14,0.517,0.23,0.134,0.24,0.612,0.368,0.162,0.424,14,13.0,227.0,-13.0,224.5
304,21301194,2014-04-12,NOP @ HOU,0.541,0.527,0.132,0.133,0.494,0.239,0.11,0.3,80,0.494,0.239,0.11,0.16,0.541,0.527,0.132,0.267,80,7.0,,-14.5,213.0
305,22000434,2021-05-06,CHI @ CHA,0.511,0.2,0.15,0.224,0.604,0.187,0.169,0.327,66,0.604,0.187,0.169,0.306,0.511,0.2,0.15,0.276,66,-21.0,,4.5,218.5
306,21800138,2018-11-04,MIN @ POR,0.483,0.372,0.17,0.347,0.349,0.226,0.11,0.242,10,0.349,0.226,0.11,0.197,0.483,0.372,0.17,0.408,10,30.0,,-5.5,227.0
