,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0020800025,1610612759,Spurs,SAS,San Antonio,240:00,0.625,0.221,0.167,0.161,0.5,0.293,0.07,0.354
1,0020800026,1610612737,Hawks,ATL,Atlanta,240:00,0.473,0.121,0.109,0.264,0.447,0.165,0.191,0.404
0,0020800026,1610612755,76ers,PHI,Philadelphia,240:00,0.447,0.165,0.191,0.288,0.473,0.121,0.109,0.321
0,0020800027,1610612748,Heat,MIA,Miami,240:00,0.479,0.375,0.131,0.244,0.572,0.464,0.228,0.553
1,0020800027,1610612766,Bobcats,CHA,Charlotte,240:00,0.572,0.464,0.228,0.316,0.479,0.375,0.131,0.311
1,0020800028,1610612738,Celtics,BOS,Boston,240:00,0.372,0.449,0.239,0.288,0.444,0.333,0.138,0.245
0,0020800028,1610612754,Pacers,IND,Indiana,240:00,0.444,0.333,0.138,0.245,0.372,0.449,0.239,0.39
1,0020800029,1610612753,Magic,ORL,Orlando,240:00,0.6,0.388,0.142,0.375,0.561,0.324,0.133,0.278
0,0020800029,1610612758,Kings,SAC,Sacramento,240:00,0.561,0.324,0.133,0.167,0.6,0.388,0.142,0.425
0,0020800030,1610612764,Wizards,WAS,Washington,240:00,0.544,0.316,0.086,0.125,0.57,0.405,0.189,0.462
1,0020800030,1610612765,Pistons,DET,Detroit,240:00,0.57,0.405,0.189,0.41,0.544,0.316,0.086,0.175
1,0020800031,1610612744,Warriors,GSW,Golden State,240:00,0.467,0.684,0.167,0.269,0.458,0.337,0.176,0.36
0,0020800031,1610612751,Nets,NJN,New Jersey,240:00,0.458,0.337,0.176,0.32,0.467,0.684,0.167,0.404
1,0020800032,1610612742,Mavericks,DAL,Dallas,240:00,0.476,0.241,0.124,0.146,0.399,0.304,0.167,0.286
0,0020800032,1610612750,Timberwolves,MIN,Minnesota,240:00,0.399,0.304,0.167,0.204,0.476,0.241,0.124,0.25
1,0020800033,1610612739,Cavaliers,CLE,Cleveland,240:00,0.54,0.253,0.191,0.163,0.52,0.382,0.149,0.256
0,0020800033,1610612740,Hornets,NOH,New Orleans,240:00,0.52,0.382,0.149,0.209,0.54,0.253,0.191,0.256
1,0020800034,1610612741,Bulls,CHI,Chicago,240:00,0.429,0.357,0.15,0.321,0.447,0.347,0.182,0.298
0,0020800034,1610612763,Grizzlies,MEM,Memphis,240:00,0.447,0.347,0.182,0.213,0.429,0.357,0.15,0.375
1,0020800035,1610612745,Rockets,HOU,Houston,240:00,0.403,0.403,0.174,0.196,0.4,0.141,0.158,0.192
0,0020800035,1610612760,Thunder,OKC,Oklahoma City,240:00,0.4,0.141,0.158,0.096,0.403,0.403,0.174,0.255
1,0020800036,1610612749,Bucks,MIL,Milwaukee,240:00,0.463,0.235,0.157,0.188,0.54,0.413,0.21,0.139
0,0020800036,1610612761,Raptors,TOR,Toronto,240:00,0.54,0.413,0.21,0.083,0.463,0.235,0.157,0.292
1,0020800037,1610612743,Nuggets,DEN,Denver,240:00,0.514,0.405,0.184,0.067,0.414,0.494,0.15,0.35
0,0020800037,1610612747,Lakers,LAL,Los Angeles,240:00,0.414,0.494,0.15,0.25,0.514,0.405,0.184,0.133
1,0020800038,1610612746,Clippers,LAC,Los Angeles,240:00,0.418,0.274,0.203,0.244,0.5,0.25,0.057,0.34
0,0020800038,1610612762,Jazz,UTA,Utah,240:00,0.5,0.25,0.057,0.3,0.418,0.274,0.203,0.311
1,0020800039,1610612756,Suns,PHX,Phoenix,240:00,0.594,0.435,0.133,0.121,0.512,0.173,0.123,0.267
0,0020800039,1610612757,Trail Blazers,POR,Portland,240:00,0.512,0.173,0.123,0.2,0.594,0.435,0.133,0.273
1,0020800040,1610612749,Bucks,MIL,Milwaukee,240:00,0.469,0.37,0.143,0.2,0.444,0.222,0.17,0.259
0,0020800040,1610612752,Knicks,NYK,New York,240:00,0.444,0.222,0.17,0.204,0.469,0.37,0.143,0.34
1,0020800041,1610612750,Timberwolves,MIN,Minnesota,240:00,0.448,0.208,0.157,0.205,0.426,0.227,0.143,0.382
0,0020800041,1610612760,Thunder,OKC,Oklahoma City,240:00,0.426,0.227,0.143,0.345,0.448,0.208,0.157,0.205
0,0020800042,1610612765,Pistons,DET,Detroit,240:00,0.548,0.131,0.099,0.381,0.466,0.593,0.174,0.282
1,0020800042,1610612766,Bobcats,CHA,Charlotte,240:00,0.466,0.593,0.174,0.205,0.548,0.131,0.099,0.452
1,0020800043,1610612741,Bulls,CHI,Chicago,240:00,0.471,0.209,0.178,0.22,0.469,0.388,0.197,0.302
0,0020800043,1610612753,Magic,ORL,Orlando,240:00,0.469,0.388,0.197,0.302,0.471,0.209,0.178,0.28
1,0020800044,1610612755,76ers,PHI,Philadelphia,240:00,0.658,0.461,0.148,0.314,0.5,0.237,0.214,0.341
0,0020800044,1610612758,Kings,SAC,Sacramento,240:00,0.5,0.237,0.214,0.171,0.658,0.461,0.148,0.371
1,0020800045,1610612744,Warriors,GSW,Golden State,240:00,0.359,0.146,0.124,0.266,0.487,0.269,0.191,0.289
