,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
1,0020900001,1610612738,Celtics,BOS,Boston,240:00,0.507,0.361,0.171,0.146,0.457,0.457,0.152,0.222
0,0020900001,1610612739,Cavaliers,CLE,Cleveland,240:00,0.457,0.457,0.152,0.133,0.507,0.361,0.171,0.268
1,0020900002,1610612742,Mavericks,DAL,Dallas,240:00,0.421,0.447,0.111,0.224,0.488,0.286,0.105,0.298
0,0020900002,1610612764,Wizards,WAS,Washington,240:00,0.488,0.286,0.105,0.191,0.421,0.447,0.111,0.224
1,0020900003,1610612745,Rockets,HOU,Houston,240:00,0.401,0.358,0.16,0.182,0.494,0.286,0.258,0.4
0,0020900003,1610612757,Trail Blazers,POR,Portland,240:00,0.494,0.286,0.258,0.267,0.401,0.358,0.16,0.236
1,0020900004,1610612746,Clippers,LAC,Los Angeles,240:00,0.466,0.184,0.202,0.294,0.435,0.435,0.16,0.345
0,0020900004,1610612747,Lakers,LAL,Los Angeles,240:00,0.435,0.435,0.16,0.293,0.466,0.184,0.202,0.353
1,0020900005,1610612737,Hawks,ATL,Atlanta,240:00,0.569,0.333,0.107,0.174,0.603,0.342,0.243,0.222
0,0020900005,1610612754,Pacers,IND,Indiana,240:00,0.603,0.342,0.243,0.167,0.569,0.333,0.107,0.217
1,0020900006,1610612753,Magic,ORL,Orlando,240:00,0.654,0.21,0.174,0.216,0.545,0.385,0.135,0.233
0,0020900006,1610612755,76ers,PHI,Philadelphia,240:00,0.545,0.385,0.135,0.186,0.654,0.21,0.174,0.297
1,0020900007,1610612739,Cavaliers,CLE,Cleveland,240:00,0.404,0.446,0.148,0.22,0.487,0.493,0.134,0.196
0,0020900007,1610612761,Raptors,TOR,Toronto,240:00,0.487,0.493,0.134,0.152,0.404,0.446,0.148,0.271
1,0020900008,1610612738,Celtics,BOS,Boston,240:00,0.507,0.25,0.158,0.217,0.311,0.338,0.228,0.351
0,0020900008,1610612766,Bobcats,CHA,Charlotte,240:00,0.311,0.338,0.228,0.246,0.507,0.25,0.158,0.261
1,0020900009,1610612748,Heat,MIA,Miami,240:00,0.608,0.205,0.161,0.189,0.437,0.241,0.134,0.273
0,0020900009,1610612752,Knicks,NYK,New York,240:00,0.437,0.241,0.134,0.218,0.608,0.205,0.161,0.27
0,0020900010,1610612763,Grizzlies,MEM,Memphis,240:00,0.375,0.431,0.189,0.333,0.556,0.403,0.107,0.256
1,0020900010,1610612765,Pistons,DET,Detroit,240:00,0.556,0.403,0.107,0.233,0.375,0.431,0.189,0.392
1,0020900011,1610612750,Timberwolves,MIN,Minnesota,240:00,0.371,0.376,0.1,0.305,0.42,0.358,0.216,0.306
0,0020900011,1610612751,Nets,NJN,New Jersey,240:00,0.42,0.358,0.216,0.286,0.371,0.376,0.1,0.322
0,0020900012,1610612758,Kings,SAC,Sacramento,240:00,0.424,0.354,0.129,0.196,0.566,0.263,0.145,0.237
1,0020900012,1610612760,Thunder,OKC,Oklahoma City,240:00,0.566,0.263,0.145,0.211,0.424,0.354,0.129,0.294
1,0020900013,1610612740,Hornets,NOH,New Orleans,240:00,0.532,0.282,0.117,0.111,0.576,0.233,0.107,0.302
0,0020900013,1610612759,Spurs,SAS,San Antonio,240:00,0.576,0.233,0.107,0.256,0.532,0.282,0.117,0.2
1,0020900014,1610612743,Nuggets,DEN,Denver,240:00,0.511,0.337,0.128,0.292,0.494,0.358,0.16,0.311
0,0020900014,1610612762,Jazz,UTA,Utah,240:00,0.494,0.358,0.16,0.222,0.511,0.337,0.128,0.354
1,0020900015,1610612744,Warriors,GSW,Golden State,240:00,0.517,0.258,0.157,0.271,0.535,0.233,0.18,0.375
0,0020900015,1610612745,Rockets,HOU,Houston,240:00,0.535,0.233,0.18,0.271,0.517,0.258,0.157,0.375
1,0020900016,1610612746,Clippers,LAC,Los Angeles,240:00,0.597,0.351,0.163,0.184,0.556,0.338,0.146,0.295
0,0020900016,1610612756,Suns,PHX,Phoenix,240:00,0.556,0.338,0.146,0.227,0.597,0.351,0.163,0.289
1,0020900017,1610612741,Bulls,CHI,Chicago,240:00,0.435,0.333,0.1,0.273,0.449,0.295,0.14,0.22
0,0020900017,1610612759,Spurs,SAS,San Antonio,240:00,0.449,0.295,0.14,0.16,0.435,0.333,0.1,0.273
1,0020900018,1610612743,Nuggets,DEN,Denver,240:00,0.484,0.803,0.094,0.128,0.377,0.506,0.076,0.386
0,0020900018,1610612757,Trail Blazers,POR,Portland,240:00,0.377,0.506,0.076,0.246,0.484,0.803,0.094,0.179
0,0020900019,1610612752,Knicks,NYK,New York,290:00,0.434,0.184,0.151,0.167,0.397,0.391,0.143,0.267
1,0020900019,1610612766,Bobcats,CHA,Charlotte,290:00,0.397,0.391,0.143,0.2,0.434,0.184,0.151,0.217
1,0020900020,1610612749,Bucks,MIL,Milwaukee,240:00,0.441,0.224,0.197,0.211,0.5,0.486,0.194,0.154
0,0020900020,1610612755,76ers,PHI,Philadelphia,240:00,0.5,0.486,0.194,0.154,0.441,0.224,0.197,0.246
1,0020900021,1610612737,Hawks,ATL,Atlanta,240:00,0.442,0.436,0.137,0.239,0.475,0.278,0.157,0.229
0,0020900021,1610612764,Wizards,WAS,Washington,240:00,0.475,0.278,0.157,0.167,0.442,0.436,0.137,0.304
