,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021300001,1610612753,Magic,ORL,Orlando,240:00,0.435,0.108,0.184,0.217,0.528,0.451,0.219,0.317
1,0021300001,1610612754,Pacers,IND,Indiana,240:00,0.528,0.451,0.219,0.244,0.435,0.108,0.184,0.383
0,0021300002,1610612748,Heat,MIA,Miami,240:00,0.59,0.403,0.2,0.128,0.464,0.277,0.188,0.294
1,0021300002,1610612741,Bulls,CHI,Chicago,240:00,0.464,0.277,0.188,0.216,0.59,0.403,0.2,0.231
1,0021300003,1610612746,Clippers,LAC,Los Angeles,240:00,0.542,0.277,0.161,0.213,0.527,0.301,0.179,0.439
0,0021300003,1610612747,Lakers,LAL,Los Angeles,240:00,0.527,0.301,0.179,0.316,0.542,0.277,0.161,0.255
1,0021300004,1610612751,Nets,BKN,Brooklyn,240:00,0.457,0.293,0.152,0.173,0.446,0.405,0.144,0.426
0,0021300004,1610612739,Cavaliers,CLE,Cleveland,240:00,0.446,0.405,0.144,0.296,0.457,0.293,0.152,0.308
0,0021300005,1610612755,76ers,PHI,Philadelphia,240:00,0.588,0.3,0.179,0.216,0.588,0.153,0.185,0.205
1,0021300005,1610612748,Heat,MIA,Miami,240:00,0.588,0.153,0.185,0.159,0.588,0.3,0.179,0.27
1,0021300006,1610612738,Celtics,BOS,Boston,240:00,0.508,0.439,0.235,0.171,0.471,0.267,0.189,0.453
0,0021300006,1610612761,Raptors,TOR,Toronto,240:00,0.471,0.267,0.189,0.358,0.508,0.439,0.235,0.244
0,0021300007,1610612764,Wizards,WAS,Washington,240:00,0.5,0.41,0.177,0.271,0.558,0.423,0.191,0.366
1,0021300007,1610612765,Pistons,DET,Detroit,240:00,0.558,0.423,0.191,0.293,0.5,0.41,0.177,0.292
0,0021300008,1610612752,Knicks,NYK,New York,240:00,0.528,0.239,0.233,0.171,0.493,0.162,0.244,0.268
1,0021300008,1610612749,Bucks,MIL,Milwaukee,240:00,0.493,0.162,0.244,0.122,0.528,0.239,0.233,0.229
1,0021300009,1610612766,Bobcats,CHA,Charlotte,240:00,0.389,0.222,0.084,0.203,0.533,0.316,0.208,0.37
0,0021300009,1610612745,Rockets,HOU,Houston,240:00,0.533,0.316,0.208,0.304,0.389,0.222,0.084,0.288
1,0021300010,1610612750,Timberwolves,MIN,Minnesota,265:00,0.46,0.34,0.129,0.233,0.52,0.18,0.161,0.321
0,0021300010,1610612753,Magic,ORL,Orlando,265:00,0.52,0.18,0.161,0.25,0.46,0.34,0.129,0.317
1,0021300011,1610612754,Pacers,IND,Indiana,240:00,0.5,0.429,0.189,0.14,0.429,0.247,0.159,0.385
0,0021300011,1610612740,Pelicans,NOP,New Orleans,240:00,0.429,0.247,0.159,0.288,0.5,0.429,0.189,0.279
0,0021300012,1610612742,Mavericks,DAL,Dallas,240:00,0.643,0.312,0.199,0.2,0.539,0.461,0.164,0.182
1,0021300012,1610612737,Hawks,ATL,Atlanta,240:00,0.539,0.461,0.164,0.114,0.643,0.312,0.199,0.2
1,0021300013,1610612763,Grizzlies,MEM,Memphis,240:00,0.462,0.161,0.136,0.186,0.599,0.211,0.16,0.128
0,0021300013,1610612759,Spurs,SAS,San Antonio,240:00,0.599,0.211,0.16,0.103,0.462,0.161,0.136,0.305
0,0021300014,1610612762,Jazz,UTA,Utah,240:00,0.494,0.38,0.211,0.208,0.444,0.407,0.141,0.235
1,0021300014,1610612760,Thunder,OKC,Oklahoma City,240:00,0.444,0.407,0.141,0.196,0.494,0.38,0.211,0.25
0,0021300015,1610612757,Trail Blazers,POR,Portland,240:00,0.457,0.296,0.148,0.212,0.542,0.217,0.158,0.333
1,0021300015,1610612756,Suns,PHX,Phoenix,240:00,0.542,0.217,0.158,0.262,0.457,0.296,0.148,0.231
1,0021300016,1610612743,Nuggets,DEN,Denver,240:00,0.462,0.215,0.195,0.174,0.457,0.284,0.149,0.28
0,0021300016,1610612758,Kings,SAC,Sacramento,240:00,0.457,0.284,0.149,0.22,0.462,0.215,0.195,0.348
0,0021300017,1610612747,Lakers,LAL,Los Angeles,240:00,0.438,0.236,0.16,0.161,0.622,0.267,0.144,0.238
1,0021300017,1610612744,Warriors,GSW,Golden State,240:00,0.622,0.267,0.144,0.167,0.438,0.236,0.16,0.214
1,0021300018,1610612741,Bulls,CHI,Chicago,240:00,0.428,0.25,0.21,0.283,0.413,0.163,0.159,0.339
0,0021300018,1610612752,Knicks,NYK,New York,240:00,0.413,0.163,0.159,0.232,0.428,0.25,0.21,0.326
0,0021300019,1610612746,Clippers,LAC,Los Angeles,240:00,0.547,0.588,0.173,0.32,0.605,0.434,0.237,0.293
1,0021300019,1610612744,Warriors,GSW,Golden State,240:00,0.605,0.434,0.237,0.244,0.547,0.588,0.173,0.44
1,0021300020,1610612766,Bobcats,CHA,Charlotte,240:00,0.473,0.466,0.162,0.111,0.405,0.262,0.171,0.357
0,0021300020,1610612739,Cavaliers,CLE,Cleveland,240:00,0.405,0.262,0.171,0.196,0.473,0.466,0.162,0.289
0,0021300021,1610612753,Magic,ORL,Orlando,240:00,0.636,0.386,0.198,0.147,0.38,0.283,0.122,0.328
1,0021300021,1610612740,Pelicans,NOP,New Orleans,240:00,0.38,0.283,0.122,0.279,0.636,0.386,0.198,0.206
1,0021300022,1610612755,76ers,PHI,Philadelphia,240:00,0.543,0.149,0.172,0.184,0.484,0.181,0.172,0.309
0,0021300022,1610612764,Wizards,WAS,Washington,240:00,0.484,0.181,0.172,0.273,0.543,0.149,0.172,0.347
0,0021300023,1610612761,Raptors,TOR,Toronto,240:00,0.494,0.159,0.125,0.2,0.532,0.403,0.135,0.234
1,0021300023,1610612737,Hawks,ATL,Atlanta,240:00,0.532,0.403,0.135,0.149,0.494,0.159,0.125,0.28
1,0021300024,1610612738,Celtics,BOS,Boston,240:00,0.474,0.5,0.185,0.383,0.452,0.405,0.079,0.321
0,0021300024,1610612749,Bucks,MIL,Milwaukee,240:00,0.452,0.405,0.079,0.321,0.474,0.5,0.185,0.447
1,0021300025,1610612742,Mavericks,DAL,Dallas,240:00,0.425,0.25,0.128,0.246,0.541,0.699,0.218,0.326
0,0021300025,1610612745,Rockets,HOU,Houston,240:00,0.541,0.699,0.218,0.283,0.425,0.25,0.128,0.323
1,0021300026,1610612765,Pistons,DET,Detroit,265:00,0.511,0.27,0.191,0.288,0.558,0.39,0.192,0.308
0,0021300026,1610612763,Grizzlies,MEM,Memphis,265:00,0.558,0.39,0.192,0.154,0.511,0.27,0.191,0.346
1,0021300027,1610612750,Timberwolves,MIN,Minnesota,240:00,0.481,0.429,0.162,0.196,0.392,0.229,0.214,0.291
0,0021300027,1610612760,Thunder,OKC,Oklahoma City,240:00,0.392,0.229,0.214,0.255,0.481,0.429,0.162,0.283
1,0021300028,1610612751,Nets,BKN,Brooklyn,240:00,0.544,0.574,0.196,0.184,0.53,0.537,0.169,0.128
0,0021300028,1610612748,Heat,MIA,Miami,240:00,0.53,0.537,0.169,0.103,0.544,0.574,0.196,0.289
1,0021300029,1610612743,Nuggets,DEN,Denver,240:00,0.394,0.343,0.051,0.282,0.495,0.146,0.07,0.367
0,0021300029,1610612757,Trail Blazers,POR,Portland,240:00,0.495,0.146,0.07,0.267,0.394,0.343,0.051,0.352
0,0021300030,1610612762,Jazz,UTA,Utah,240:00,0.394,0.318,0.219,0.386,0.41,0.289,0.18,0.34
1,0021300030,1610612756,Suns,PHX,Phoenix,240:00,0.41,0.289,0.18,0.302,0.394,0.318,0.219,0.474
0,0021300031,1610612758,Kings,SAC,Sacramento,240:00,0.494,0.405,0.107,0.208,0.586,0.486,0.167,0.342
1,0021300031,1610612746,Clippers,LAC,Los Angeles,240:00,0.586,0.486,0.167,0.263,0.494,0.405,0.107,0.313
1,0021300032,1610612747,Lakers,LAL,Los Angeles,240:00,0.415,0.293,0.124,0.151,0.431,0.149,0.12,0.31
0,0021300032,1610612759,Spurs,SAS,San Antonio,240:00,0.431,0.149,0.12,0.207,0.415,0.293,0.124,0.226
1,0021300033,1610612739,Cavaliers,CLE,Cleveland,240:00,0.367,0.181,0.161,0.111,0.481,0.26,0.217,0.304
0,0021300033,1610612754,Pacers,IND,Indiana,240:00,0.481,0.26,0.217,0.217,0.367,0.181,0.161,0.222
0,0021300034,1610612755,76ers,PHI,Philadelphia,240:00,0.552,0.209,0.152,0.217,0.468,0.204,0.176,0.415
1,0021300034,1610612741,Bulls,CHI,Chicago,240:00,0.468,0.204,0.176,0.321,0.552,0.209,0.152,0.217
0,0021300035,1610612740,Pelicans,NOP,New Orleans,240:00,0.54,0.373,0.176,0.205,0.394,0.45,0.155,0.321
1,0021300035,1610612766,Bobcats,CHA,Charlotte,240:00,0.394,0.45,0.155,0.25,0.54,0.373,0.176,0.308
1,0021300036,1610612742,Mavericks,DAL,Dallas,240:00,0.444,0.575,0.113,0.275,0.443,0.299,0.181,0.415
0,0021300036,1610612763,Grizzlies,MEM,Memphis,240:00,0.443,0.299,0.181,0.321,0.444,0.575,0.113,0.333
1,0021300037,1610612749,Bucks,MIL,Milwaukee,240:00,0.476,0.214,0.14,0.115,0.442,0.487,0.181,0.353
0,0021300037,1610612761,Raptors,TOR,Toronto,240:00,0.442,0.487,0.181,0.353,0.476,0.214,0.14,0.192
1,0021300038,1610612745,Rockets,HOU,Houston,240:00,0.575,0.522,0.197,0.243,0.444,0.333,0.161,0.353
