GAME_ID,GAME_DATE,TEAM_ABBREVIATION,LINE,O/U
21600001,2016-10-25,CLE,-10.0,206.0
21600001,2016-10-25,NYK,10.0,206.0
21600002,2016-10-25,POR,-6.5,192.0
21600002,2016-10-25,UTA,6.5,192.0
21600003,2016-10-25,GSW,-8.0,211.5
21600003,2016-10-25,SAS,8.0,211.5
21600004,2016-10-26,MIA,2.5,200.0
21600004,2016-10-26,ORL,-2.5,200.0
21600005,2016-10-26,DAL,5.5,205.0
21600005,2016-10-26,IND,-5.5,205.0
21600006,2016-10-26,BKN,11.0,212.5
21600006,2016-10-26,BOS,-11.0,212.5
21600007,2016-10-26,DET,7.0,197.0
21600007,2016-10-26,TOR,-7.0,197.0
21600008,2016-10-26,CHA,1.5,195.0
21600008,2016-10-26,MIL,-1.5,195.0
21600009,2016-10-26,MEM,1.0,199.5
21600009,2016-10-26,MIN,-1.0,199.5
21600010,2016-10-26,DEN,1.5,207.0
21600010,2016-10-26,NOP,-1.5,207.0
21600011,2016-10-26,OKC,-8.5,208.0
21600011,2016-10-26,PHI,8.5,208.0
21600012,2016-10-26,PHX,-2.5,212.0
21600012,2016-10-26,SAC,2.5,212.0
21600013,2016-10-26,HOU,-5.5,225.5
21600013,2016-10-26,LAL,5.5,225.5
21600014,2016-10-27,ATL,-4.5,203.5
21600014,2016-10-27,WAS,4.5,203.5
21600015,2016-10-27,BOS,1.0,209.0
21600015,2016-10-27,CHI,-1.0,209.0
21600016,2016-10-27,SAC,8.0,203.5
21600016,2016-10-27,SAS,-8.0,203.5
21600017,2016-10-27,LAC,-2.5,210.0
21600017,2016-10-27,POR,2.5,210.0
21600018,2016-10-28,CLE,-2.5,204.5
21600018,2016-10-28,TOR,2.5,204.5
21600019,2016-10-28,BKN,6.0,217.0
21600019,2016-10-28,IND,-6.0,217.0
21600020,2016-10-28,DET,-4.0,196.0
21600020,2016-10-28,ORL,4.0,196.0
21600021,2016-10-28,OKC,-8.0,209.0
21600021,2016-10-28,PHX,8.0,209.0
21600022,2016-10-28,CHA,-1.0,197.0
21600022,2016-10-28,MIA,1.0,197.0
21600023,2016-10-28,DAL,1.0,219.0
21600023,2016-10-28,HOU,-1.0,219.0
21600024,2016-10-28,LAL,8.5,201.0
21600024,2016-10-28,UTA,-8.5,201.0
