GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
21900001,1610612740,Pelicans,NOP,New Orleans,265:00,20.0,9.0,13.0,38.0,22.0,19.0,20.0,56.0,9,3,34,24
21900001,1610612761,Raptors,TOR,Toronto,265:00,22.0,19.0,20.0,56.0,20.0,9.0,13.0,38.0,3,9,24,34
21900002,1610612746,Clippers,LAC,LA,240:00,25.0,12.0,22.0,42.0,17.0,6.0,5.0,40.0,5,7,25,24
21900002,1610612747,Lakers,LAL,Los Angeles,240:00,17.0,6.0,5.0,40.0,25.0,12.0,22.0,42.0,7,5,24,25
21900003,1610612766,Hornets,CHA,Charlotte,240:00,13.0,12.0,25.0,42.0,29.0,17.0,21.0,78.0,4,4,18,20
21900003,1610612741,Bulls,CHI,Chicago,240:00,29.0,17.0,21.0,78.0,13.0,12.0,25.0,42.0,4,4,20,18
21900004,1610612754,Pacers,IND,Indiana,240:00,17.0,19.0,8.0,50.0,14.0,17.0,12.0,46.0,6,6,28,21
21900004,1610612765,Pistons,DET,Detroit,240:00,14.0,17.0,12.0,46.0,17.0,19.0,8.0,50.0,6,6,21,28
21900005,1610612753,Magic,ORL,Orlando,240:00,11.0,8.0,14.0,50.0,11.0,7.0,10.0,42.0,4,2,18,15
21900005,1610612739,Cavaliers,CLE,Cleveland,240:00,11.0,7.0,10.0,42.0,11.0,8.0,14.0,50.0,2,4,15,18
21900006,1610612750,Timberwolves,MIN,Minnesota,265:00,15.0,14.0,8.0,60.0,14.0,8.0,20.0,60.0,4,9,22,30
21900006,1610612751,Nets,BKN,Brooklyn,265:00,14.0,8.0,20.0,60.0,15.0,14.0,8.0,60.0,9,4,30,22
21900007,1610612748,Heat,MIA,Miami,240:00,24.0,16.0,12.0,60.0,24.0,15.0,20.0,56.0,8,7,33,31
21900007,1610612763,Grizzlies,MEM,Memphis,240:00,24.0,15.0,20.0,56.0,24.0,16.0,12.0,60.0,7,8,31,33
21900008,1610612738,Celtics,BOS,Boston,240:00,20.0,16.0,8.0,44.0,11.0,17.0,14.0,58.0,2,7,29,34
21900008,1610612755,76ers,PHI,Philadelphia,240:00,11.0,17.0,14.0,58.0,20.0,16.0,8.0,44.0,7,2,34,29
21900009,1610612742,Mavericks,DAL,Dallas,240:00,18.0,12.0,14.0,36.0,17.0,19.0,20.0,44.0,5,3,22,32
21900009,1610612764,Wizards,WAS,Washington,240:00,17.0,19.0,20.0,44.0,18.0,12.0,14.0,36.0,3,5,32,22
21900010,1610612759,Spurs,SAS,San Antonio,240:00,16.0,15.0,30.0,54.0,32.0,6.0,29.0,58.0,5,1,18,32
21900010,1610612752,Knicks,NYK,New York,240:00,32.0,6.0,29.0,58.0,16.0,15.0,30.0,54.0,1,5,32,18
21900011,1610612760,Thunder,OKC,Oklahoma City,240:00,8.0,11.0,7.0,34.0,10.0,8.0,18.0,58.0,4,5,23,31
21900011,1610612762,Jazz,UTA,Utah,240:00,10.0,8.0,18.0,58.0,8.0,11.0,7.0,34.0,5,4,31,23
21900012,1610612756,Suns,PHX,Phoenix,240:00,35.0,18.0,27.0,68.0,6.0,15.0,11.0,34.0,9,5,25,24
21900012,1610612758,Kings,SAC,Sacramento,240:00,6.0,15.0,11.0,34.0,35.0,18.0,27.0,68.0,5,9,24,25
21900013,1610612757,Trail Blazers,POR,Portland,240:00,18.0,23.0,12.0,54.0,12.0,7.0,10.0,22.0,4,4,25,23
21900013,1610612743,Nuggets,DEN,Denver,240:00,12.0,7.0,10.0,22.0,18.0,23.0,12.0,54.0,4,4,23,25
21900014,1610612765,Pistons,DET,Detroit,240:00,13.0,10.0,4.0,36.0,20.0,10.0,18.0,60.0,5,2,20,15
21900014,1610612737,Hawks,ATL,Atlanta,240:00,20.0,10.0,18.0,60.0,13.0,10.0,4.0,36.0,2,5,15,20
21900015,1610612749,Bucks,MIL,Milwaukee,240:00,21.0,11.0,17.0,46.0,10.0,13.0,27.0,34.0,10,6,27,25
21900015,1610612745,Rockets,HOU,Houston,240:00,10.0,13.0,27.0,34.0,21.0,11.0,17.0,46.0,6,10,25,27
21900016,1610612744,Warriors,GSW,Golden State,240:00,20.0,13.0,25.0,40.0,14.0,6.0,19.0,58.0,0,5,21,24
21900016,1610612746,Clippers,LAC,LA,240:00,14.0,6.0,19.0,58.0,20.0,13.0,25.0,40.0,5,0,24,21
21900017,1610612738,Celtics,BOS,Boston,240:00,26.0,21.0,11.0,54.0,8.0,2.0,11.0,36.0,8,6,20,28
21900017,1610612761,Raptors,TOR,Toronto,240:00,8.0,2.0,11.0,36.0,26.0,21.0,11.0,54.0,6,8,28,20
21900018,1610612766,Hornets,CHA,Charlotte,240:00,16.0,7.0,14.0,44.0,22.0,17.0,8.0,56.0,5,6,29,21
21900018,1610612750,Timberwolves,MIN,Minnesota,240:00,22.0,17.0,8.0,56.0,16.0,7.0,14.0,44.0,6,5,21,29
21900019,1610612751,Nets,BKN,Brooklyn,240:00,31.0,12.0,21.0,34.0,22.0,15.0,13.0,32.0,2,4,26,31
21900019,1610612752,Knicks,NYK,New York,240:00,22.0,15.0,13.0,32.0,31.0,12.0,21.0,34.0,4,2,31,26
21900020,1610612763,Grizzlies,MEM,Memphis,240:00,11.0,19.0,16.0,56.0,17.0,15.0,25.0,52.0,6,7,21,21
21900020,1610612741,Bulls,CHI,Chicago,240:00,17.0,15.0,25.0,52.0,11.0,19.0,16.0,56.0,7,6,21,21
21900021,1610612742,Mavericks,DAL,Dallas,240:00,20.0,12.0,28.0,56.0,17.0,9.0,15.0,54.0,7,3,19,22
21900021,1610612740,Pelicans,NOP,New Orleans,240:00,17.0,9.0,15.0,54.0,20.0,12.0,28.0,56.0,3,7,22,19
21900022,1610612764,Wizards,WAS,Washington,240:00,17.0,13.0,10.0,46.0,11.0,3.0,7.0,42.0,6,6,21,18
21900022,1610612760,Thunder,OKC,Oklahoma City,240:00,11.0,3.0,7.0,42.0,17.0,13.0,10.0,46.0,6,6,18,21
21900023,1610612756,Suns,PHX,Phoenix,265:00,14.0,7.0,10.0,48.0,23.0,10.0,14.0,48.0,1,12,35,26
21900023,1610612743,Nuggets,DEN,Denver,265:00,23.0,10.0,14.0,48.0,14.0,7.0,10.0,48.0,12,1,26,35
21900024,1610612758,Kings,SAC,Sacramento,240:00,21.0,19.0,10.0,38.0,24.0,12.0,4.0,46.0,2,5,26,23
21900024,1610612757,Trail Blazers,POR,Portland,240:00,24.0,12.0,4.0,46.0,21.0,19.0,10.0,38.0,5,2,23,26
21900025,1610612747,Lakers,LAL,Los Angeles,240:00,22.0,15.0,13.0,40.0,17.0,4.0,14.0,38.0,9,2,21,25
21900025,1610612762,Jazz,UTA,Utah,240:00,17.0,4.0,14.0,38.0,22.0,15.0,13.0,40.0,2,9,25,21
21900026,1610612749,Bucks,MIL,Milwaukee,265:00,16.0,5.0,25.0,42.0,27.0,13.0,11.0,48.0,4,3,32,30
21900026,1610612748,Heat,MIA,Miami,265:00,27.0,13.0,11.0,48.0,16.0,5.0,25.0,42.0,3,4,30,32
21900027,1610612755,76ers,PHI,Philadelphia,240:00,31.0,6.0,7.0,50.0,23.0,12.0,10.0,54.0,3,7,26,28
21900027,1610612765,Pistons,DET,Detroit,240:00,23.0,12.0,10.0,54.0,31.0,6.0,7.0,50.0,7,3,28,26
21900028,1610612753,Magic,ORL,Orlando,240:00,19.0,23.0,8.0,50.0,10.0,13.0,14.0,60.0,7,9,15,26
21900028,1610612737,Hawks,ATL,Atlanta,240:00,10.0,13.0,14.0,60.0,19.0,23.0,8.0,50.0,9,7,26,15
21900029,1610612738,Celtics,BOS,Boston,240:00,36.0,14.0,16.0,50.0,16.0,23.0,2.0,40.0,9,4,26,26
21900029,1610612752,Knicks,NYK,New York,240:00,16.0,23.0,2.0,40.0,36.0,14.0,16.0,50.0,4,9,26,26
21900030,1610612754,Pacers,IND,Indiana,240:00,27.0,9.0,13.0,48.0,13.0,14.0,4.0,50.0,3,7,27,20
21900030,1610612739,Cavaliers,CLE,Cleveland,240:00,13.0,14.0,4.0,50.0,27.0,9.0,13.0,48.0,7,3,20,27
21900031,1610612741,Bulls,CHI,Chicago,240:00,20.0,15.0,7.0,38.0,18.0,6.0,25.0,38.0,2,12,22,25
21900031,1610612761,Raptors,TOR,Toronto,240:00,18.0,6.0,25.0,38.0,20.0,15.0,7.0,38.0,12,2,25,22
21900032,1610612740,Pelicans,NOP,New Orleans,240:00,25.0,16.0,13.0,48.0,20.0,19.0,17.0,60.0,2,4,30,22
21900032,1610612745,Rockets,HOU,Houston,240:00,20.0,19.0,17.0,60.0,25.0,16.0,13.0,48.0,4,2,22,30
21900033,1610612764,Wizards,WAS,Washington,240:00,15.0,14.0,12.0,46.0,13.0,18.0,13.0,62.0,8,7,15,19
21900033,1610612759,Spurs,SAS,San Antonio,240:00,13.0,18.0,13.0,62.0,15.0,14.0,12.0,46.0,7,8,19,15
21900034,1610612762,Jazz,UTA,Utah,240:00,17.0,7.0,12.0,46.0,20.0,6.0,4.0,36.0,1,3,22,19
21900034,1610612758,Kings,SAC,Sacramento,240:00,20.0,6.0,4.0,36.0,17.0,7.0,12.0,46.0,3,1,19,22
21900035,1610612746,Clippers,LAC,LA,240:00,20.0,12.0,15.0,44.0,20.0,13.0,16.0,48.0,4,3,32,34
21900035,1610612756,Suns,PHX,Phoenix,240:00,20.0,13.0,16.0,48.0,20.0,12.0,15.0,44.0,3,4,34,32
