GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0022400061,1610612738,Celtics,BOS,Boston,240.000000:00,19.0,16.0,11.0,30.0,2.0,13.0,4.0,42.0,3,3,15,12
0022400061,1610612752,Knicks,NYK,New York,240.000000:00,2.0,13.0,4.0,42.0,19.0,16.0,11.0,30.0,3,3,12,15
0022400062,1610612747,Lakers,LAL,Los Angeles,240.000000:00,19.0,19.0,17.0,72.0,6.0,31.0,7.0,40.0,8,1,22,22
0022400062,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,6.0,31.0,7.0,40.0,19.0,19.0,17.0,72.0,1,8,22,22
0022400063,1610612754,Pacers,IND,Indiana,240.000000:00,12.0,12.0,15.0,52.0,14.0,17.0,10.0,50.0,8,2,23,21
0022400063,1610612765,Pistons,DET,Detroit,240.000000:00,14.0,17.0,10.0,50.0,12.0,12.0,15.0,52.0,2,8,21,23
0022400064,1610612737,Hawks,ATL,Atlanta,240.000000:00,17.0,19.0,15.0,54.0,20.0,17.0,14.0,40.0,9,6,20,32
0022400064,1610612751,Nets,BKN,Brooklyn,240.000000:00,20.0,17.0,14.0,40.0,17.0,19.0,15.0,54.0,6,9,32,20
0022400065,1610612748,Heat,MIA,Miami,240.000000:00,19.0,9.0,18.0,40.0,13.0,25.0,19.0,44.0,8,8,19,21
0022400065,1610612753,Magic,ORL,Orlando,240.000000:00,13.0,25.0,19.0,44.0,19.0,9.0,18.0,40.0,8,8,21,19
0022400066,1610612749,Bucks,MIL,Milwaukee,240.000000:00,15.0,14.0,8.0,50.0,18.0,17.0,6.0,56.0,9,2,23,28
0022400066,1610612755,76ers,PHI,Philadelphia,240.000000:00,18.0,17.0,6.0,56.0,15.0,14.0,8.0,50.0,2,9,28,23
0022400067,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,30.0,12.0,16.0,68.0,16.0,22.0,13.0,38.0,9,6,22,24
0022400067,1610612761,Raptors,TOR,Toronto,240.000000:00,16.0,22.0,13.0,38.0,30.0,12.0,16.0,68.0,6,9,24,22
0022400068,1610612745,Rockets,HOU,Houston,240.000000:00,26.0,21.0,13.0,46.0,8.0,26.0,8.0,42.0,4,10,18,21
0022400068,1610612766,Hornets,CHA,Charlotte,240.000000:00,8.0,26.0,8.0,42.0,26.0,21.0,13.0,46.0,10,4,21,18
0022400069,1610612740,Pelicans,NOP,New Orleans,240.000000:00,30.0,13.0,29.0,56.0,8.0,18.0,15.0,60.0,10,2,17,16
0022400069,1610612741,Bulls,CHI,Chicago,240.000000:00,8.0,18.0,15.0,60.0,30.0,13.0,29.0,56.0,2,10,16,17
0022400070,1610612762,Jazz,UTA,Utah,240.000000:00,13.0,17.0,11.0,56.0,24.0,16.0,16.0,46.0,9,5,24,35
0022400070,1610612763,Grizzlies,MEM,Memphis,240.000000:00,24.0,16.0,16.0,46.0,13.0,17.0,11.0,56.0,5,9,35,24
0022400071,1610612746,Clippers,LAC,LA,265.000000:00,16.0,13.0,16.0,62.0,23.0,8.0,15.0,42.0,1,9,29,23
0022400071,1610612756,Suns,PHX,Phoenix,265.000000:00,23.0,8.0,15.0,42.0,16.0,13.0,16.0,62.0,9,1,23,29
0022400072,1610612744,Warriors,GSW,Golden State,240.000000:00,22.0,22.0,32.0,56.0,13.0,12.0,5.0,48.0,5,4,27,22
0022400072,1610612757,Trail Blazers,POR,Portland,240.000000:00,13.0,12.0,5.0,48.0,22.0,22.0,32.0,56.0,4,5,22,27
0022400073,1610612738,Celtics,BOS,Boston,240.000000:00,26.0,19.0,22.0,46.0,14.0,10.0,27.0,66.0,3,6,19,19
0022400073,1610612764,Wizards,WAS,Washington,240.000000:00,14.0,10.0,27.0,66.0,26.0,19.0,22.0,46.0,6,3,19,19
0022400074,1610612742,Mavericks,DAL,Dallas,240.000000:00,19.0,24.0,23.0,38.0,9.0,10.0,13.0,44.0,5,5,21,18
0022400074,1610612759,Spurs,SAS,San Antonio,240.000000:00,9.0,10.0,13.0,44.0,19.0,24.0,23.0,38.0,5,5,18,21
0022400075,1610612743,Nuggets,DEN,Denver,240.000000:00,12.0,12.0,12.0,52.0,11.0,14.0,19.0,62.0,7,13,12,15
0022400075,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,11.0,14.0,19.0,62.0,12.0,12.0,12.0,52.0,13,7,15,12
0022400076,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,11.0,7.0,4.0,32.0,24.0,7.0,16.0,40.0,2,2,24,18
0022400076,1610612758,Kings,SAC,Sacramento,240.000000:00,24.0,7.0,16.0,40.0,11.0,7.0,4.0,32.0,2,2,18,24
0022400077,1610612751,Nets,BKN,Brooklyn,240.000000:00,15.0,9.0,5.0,34.0,25.0,9.0,10.0,44.0,3,7,31,19
0022400077,1610612753,Magic,ORL,Orlando,240.000000:00,25.0,9.0,10.0,44.0,15.0,9.0,5.0,34.0,7,3,19,31
0022400078,1610612755,76ers,PHI,Philadelphia,240.000000:00,28.0,14.0,7.0,30.0,19.0,22.0,18.0,56.0,5,13,32,34
0022400078,1610612761,Raptors,TOR,Toronto,240.000000:00,19.0,22.0,18.0,56.0,28.0,14.0,7.0,30.0,13,5,34,32
0022400079,1610612737,Hawks,ATL,Atlanta,240.000000:00,18.0,9.0,21.0,42.0,19.0,24.0,7.0,32.0,9,4,28,28
0022400079,1610612766,Hornets,CHA,Charlotte,240.000000:00,19.0,24.0,7.0,32.0,18.0,9.0,21.0,42.0,4,9,28,28
