,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0022000022,1610612760,Thunder,OKC,Oklahoma City,240:00,0.511,0.273,0.16,0.173,0.468,0.344,0.121,0.262
1,0022000022,1610612766,Hornets,CHA,Charlotte,240:00,0.468,0.344,0.121,0.2,0.511,0.273,0.16,0.25
1,0022000023,1610612739,Cavaliers,CLE,Cleveland,290:00,0.551,0.303,0.153,0.119,0.49,0.327,0.19,0.242
0,0022000023,1610612765,Pistons,DET,Detroit,290:00,0.49,0.327,0.19,0.161,0.551,0.303,0.153,0.169
1,0022000024,1610612753,Magic,ORL,Orlando,240:00,0.563,0.305,0.126,0.216,0.553,0.295,0.122,0.214
0,0022000024,1610612764,Wizards,WAS,Washington,240:00,0.553,0.295,0.122,0.125,0.563,0.305,0.126,0.255
1,0022000025,1610612752,Knicks,NYK,New York,240:00,0.434,0.277,0.166,0.245,0.528,0.25,0.123,0.367
0,0022000025,1610612755,76ers,PHI,Philadelphia,240:00,0.528,0.25,0.123,0.245,0.434,0.277,0.166,0.302
1,0022000026,1610612741,Bulls,CHI,Chicago,240:00,0.462,0.275,0.183,0.224,0.608,0.204,0.148,0.25
0,0022000026,1610612754,Pacers,IND,Indiana,240:00,0.608,0.204,0.148,0.205,0.462,0.275,0.183,0.293
1,0022000027,1610612759,Spurs,SAS,San Antonio,240:00,0.54,0.16,0.147,0.255,0.536,0.156,0.115,0.245
0,0022000027,1610612761,Raptors,TOR,Toronto,240:00,0.536,0.156,0.115,0.189,0.54,0.16,0.147,0.345
1,0022000028,1610612750,Timberwolves,MIN,Minnesota,240:00,0.51,0.178,0.094,0.203,0.436,0.394,0.172,0.45
0,0022000028,1610612762,Jazz,UTA,Utah,240:00,0.436,0.394,0.172,0.317,0.51,0.178,0.094,0.288
1,0022000029,1610612745,Rockets,HOU,Houston,265:00,0.58,0.368,0.149,0.217,0.554,0.225,0.122,0.373
0,0022000029,1610612757,Trail Blazers,POR,Portland,265:00,0.554,0.225,0.122,0.186,0.58,0.368,0.149,0.261
1,0022000030,1610612756,Suns,PHX,Phoenix,240:00,0.474,0.133,0.105,0.172,0.483,0.384,0.174,0.327
0,0022000030,1610612758,Kings,SAC,Sacramento,240:00,0.483,0.384,0.174,0.288,0.474,0.133,0.105,0.224
1,0022000031,1610612742,Mavericks,DAL,Dallas,240:00,0.575,0.31,0.083,0.239,0.368,0.263,0.149,0.14
0,0022000031,1610612746,Clippers,LAC,LA,240:00,0.368,0.263,0.149,0.1,0.575,0.31,0.083,0.304
1,0022000032,1610612751,Nets,BKN,Brooklyn,240:00,0.53,0.305,0.179,0.118,0.5,0.177,0.142,0.276
0,0022000032,1610612766,Hornets,CHA,Charlotte,240:00,0.5,0.177,0.142,0.224,0.53,0.305,0.179,0.216
1,0022000033,1610612753,Magic,ORL,Orlando,240:00,0.488,0.447,0.099,0.229,0.526,0.134,0.127,0.314
0,0022000033,1610612764,Wizards,WAS,Washington,240:00,0.526,0.134,0.127,0.255,0.488,0.447,0.099,0.25
1,0022000034,1610612740,Pelicans,NOP,New Orleans,240:00,0.41,0.309,0.079,0.203,0.489,0.09,0.145,0.157
0,0022000034,1610612759,Spurs,SAS,San Antonio,240:00,0.489,0.09,0.145,0.078,0.41,0.309,0.079,0.25
1,0022000035,1610612739,Cavaliers,CLE,Cleveland,240:00,0.577,0.176,0.155,0.239,0.494,0.278,0.214,0.271
0,0022000035,1610612755,76ers,PHI,Philadelphia,240:00,0.494,0.278,0.214,0.167,0.577,0.176,0.155,0.304
1,0022000036,1610612749,Bucks,MIL,Milwaukee,240:00,0.468,0.305,0.108,0.283,0.635,0.318,0.153,0.341
0,0022000036,1610612752,Knicks,NYK,New York,240:00,0.635,0.318,0.153,0.195,0.468,0.305,0.108,0.35
1,0022000037,1610612738,Celtics,BOS,Boston,240:00,0.563,0.304,0.177,0.146,0.551,0.17,0.156,0.196
0,0022000037,1610612754,Pacers,IND,Indiana,240:00,0.551,0.17,0.156,0.174,0.563,0.304,0.177,0.22
1,0022000038,1610612741,Bulls,CHI,Chicago,240:00,0.61,0.36,0.206,0.163,0.49,0.288,0.101,0.25
0,0022000038,1610612744,Warriors,GSW,Golden State,240:00,0.49,0.288,0.101,0.156,0.61,0.36,0.206,0.279
1,0022000039,1610612756,Suns,PHX,Phoenix,240:00,0.564,0.117,0.09,0.163,0.539,0.329,0.152,0.14
0,0022000039,1610612758,Kings,SAC,Sacramento,240:00,0.539,0.329,0.152,0.07,0.564,0.117,0.09,0.204
1,0022000040,1610612747,Lakers,LAL,Los Angeles,240:00,0.628,0.2,0.155,0.122,0.398,0.136,0.163,0.343
0,0022000040,1610612750,Timberwolves,MIN,Minnesota,240:00,0.398,0.136,0.163,0.254,0.628,0.2,0.155,0.22
1,0022000041,1610612737,Hawks,ATL,Atlanta,240:00,0.61,0.39,0.129,0.182,0.505,0.245,0.08,0.298
0,0022000041,1610612765,Pistons,DET,Detroit,240:00,0.505,0.245,0.08,0.298,0.61,0.39,0.129,0.25
1,0022000042,1610612751,Nets,BKN,Brooklyn,265:00,0.48,0.17,0.152,0.22,0.48,0.296,0.167,0.35
0,0022000042,1610612763,Grizzlies,MEM,Memphis,265:00,0.48,0.296,0.167,0.267,0.48,0.17,0.152,0.271
1,0022000043,1610612760,Thunder,OKC,Oklahoma City,240:00,0.552,0.221,0.163,0.14,0.576,0.163,0.168,0.244
0,0022000043,1610612762,Jazz,UTA,Utah,240:00,0.576,0.163,0.168,0.178,0.552,0.221,0.163,0.28
1,0022000044,1610612743,Nuggets,DEN,Denver,240:00,0.609,0.368,0.151,0.224,0.547,0.267,0.149,0.192
0,0022000044,1610612745,Rockets,HOU,Houston,240:00,0.547,0.267,0.149,0.096,0.609,0.368,0.151,0.286
1,0022000045,1610612747,Lakers,LAL,Los Angeles,240:00,0.529,0.207,0.144,0.125,0.554,0.163,0.098,0.235
0,0022000045,1610612757,Trail Blazers,POR,Portland,240:00,0.554,0.163,0.098,0.137,0.529,0.207,0.144,0.188
