,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
1,0021000001,1610612738,Celtics,BOS,Boston,240:00,0.522,0.362,0.217,0.195,0.419,0.338,0.187,0.25
0,0021000001,1610612748,Heat,MIA,Miami,240:00,0.419,0.338,0.187,0.229,0.522,0.362,0.217,0.268
1,0021000002,1610612756,Suns,PHX,Phoenix,240:00,0.547,0.216,0.204,0.171,0.516,0.161,0.155,0.49
0,0021000002,1610612757,Trail Blazers,POR,Portland,240:00,0.516,0.161,0.155,0.353,0.547,0.216,0.204,0.244
1,0021000003,1610612745,Rockets,HOU,Houston,240:00,0.462,0.308,0.194,0.302,0.464,0.292,0.113,0.305
0,0021000003,1610612747,Lakers,LAL,Los Angeles,240:00,0.464,0.292,0.113,0.237,0.462,0.308,0.194,0.396
1,0021000004,1610612738,Celtics,BOS,Boston,240:00,0.493,0.292,0.202,0.15,0.481,0.259,0.154,0.292
0,0021000004,1610612739,Cavaliers,CLE,Cleveland,240:00,0.481,0.259,0.154,0.167,0.493,0.292,0.202,0.225
0,0021000005,1610612751,Nets,NJN,New Jersey,240:00,0.525,0.3,0.128,0.205,0.494,0.361,0.065,0.288
1,0021000005,1610612765,Pistons,DET,Detroit,240:00,0.494,0.361,0.065,0.192,0.525,0.3,0.128,0.318
1,0021000006,1610612748,Heat,MIA,Miami,240:00,0.536,0.449,0.171,0.122,0.476,0.133,0.196,0.292
0,0021000006,1610612755,76ers,PHI,Philadelphia,240:00,0.476,0.133,0.196,0.208,0.536,0.449,0.171,0.22
1,0021000007,1610612752,Knicks,NYK,New York,240:00,0.472,0.193,0.162,0.255,0.399,0.255,0.115,0.356
0,0021000007,1610612761,Raptors,TOR,Toronto,240:00,0.399,0.255,0.115,0.203,0.472,0.193,0.162,0.275
1,0021000008,1610612737,Hawks,ATL,Atlanta,240:00,0.575,0.388,0.151,0.225,0.488,0.291,0.137,0.271
0,0021000008,1610612763,Grizzlies,MEM,Memphis,240:00,0.488,0.291,0.137,0.188,0.575,0.388,0.151,0.225
1,0021000009,1610612750,Timberwolves,MIN,Minnesota,240:00,0.516,0.308,0.123,0.22,0.482,0.553,0.124,0.309
0,0021000009,1610612758,Kings,SAC,Sacramento,240:00,0.482,0.553,0.124,0.255,0.516,0.308,0.123,0.32
0,0021000010,1610612740,Hornets,NOH,New Orleans,240:00,0.456,0.367,0.095,0.122,0.481,0.364,0.129,0.184
1,0021000010,1610612749,Bucks,MIL,Milwaukee,240:00,0.481,0.364,0.129,0.163,0.456,0.367,0.095,0.143
1,0021000011,1610612741,Bulls,CHI,Chicago,240:00,0.441,0.237,0.146,0.259,0.436,0.603,0.118,0.245
0,0021000011,1610612760,Thunder,OKC,Oklahoma City,240:00,0.436,0.603,0.118,0.184,0.441,0.237,0.146,0.379
0,0021000012,1610612742,Mavericks,DAL,Dallas,240:00,0.573,0.24,0.183,0.194,0.432,0.329,0.217,0.244
1,0021000012,1610612766,Bobcats,CHA,Charlotte,240:00,0.432,0.329,0.217,0.178,0.573,0.24,0.183,0.222
1,0021000013,1610612754,Pacers,IND,Indiana,240:00,0.584,0.364,0.223,0.231,0.56,0.434,0.135,0.286
0,0021000013,1610612759,Spurs,SAS,San Antonio,240:00,0.56,0.434,0.135,0.214,0.584,0.364,0.223,0.333
1,0021000014,1610612743,Nuggets,DEN,Denver,240:00,0.475,0.513,0.157,0.24,0.407,0.614,0.22,0.26
0,0021000014,1610612762,Jazz,UTA,Utah,240:00,0.407,0.614,0.22,0.22,0.475,0.513,0.157,0.26
1,0021000015,1610612744,Warriors,GSW,Golden State,240:00,0.598,0.283,0.127,0.333,0.494,0.598,0.087,0.373
0,0021000015,1610612745,Rockets,HOU,Houston,240:00,0.494,0.598,0.087,0.294,0.598,0.283,0.127,0.405
1,0021000016,1610612746,Clippers,LAC,Los Angeles,240:00,0.437,0.38,0.161,0.275,0.455,0.261,0.154,0.446
