GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21900957,1610612737,Hawks,ATL,Atlanta,290:00,0.661,0.281,0.143,0.255,0.563,0.221,0.045,0.228
21900957,1610612766,Hornets,CHA,Charlotte,290:00,0.563,0.221,0.045,0.14,0.661,0.281,0.143,0.362
21900958,1610612743,Nuggets,DEN,Denver,240:00,0.521,0.128,0.13,0.113,0.461,0.2,0.164,0.224
21900958,1610612749,Bucks,MIL,Milwaukee,240:00,0.461,0.2,0.164,0.19,0.521,0.128,0.13,0.17
21900959,1610612761,Raptors,TOR,Toronto,240:00,0.512,0.217,0.206,0.292,0.494,0.169,0.117,0.157
21900959,1610612762,Jazz,UTA,Utah,240:00,0.494,0.169,0.117,0.118,0.512,0.217,0.206,0.354
21900960,1610612738,Celtics,BOS,Boston,240:00,0.511,0.237,0.098,0.208,0.543,0.118,0.12,0.25
21900960,1610612754,Pacers,IND,Indiana,240:00,0.543,0.118,0.12,0.208,0.511,0.237,0.098,0.321
21900961,1610612752,Knicks,NYK,New York,240:00,0.568,0.383,0.18,0.186,0.568,0.608,0.183,0.293
21900961,1610612764,Wizards,WAS,Washington,240:00,0.568,0.608,0.183,0.22,0.568,0.383,0.18,0.279
21900962,1610612739,Cavaliers,CLE,Cleveland,240:00,0.538,0.288,0.182,0.214,0.571,0.179,0.215,0.349
21900962,1610612741,Bulls,CHI,Chicago,240:00,0.571,0.179,0.215,0.326,0.538,0.288,0.182,0.238
21900963,1610612745,Rockets,HOU,Houston,240:00,0.606,0.325,0.172,0.114,0.566,0.277,0.182,0.239
21900963,1610612750,Timberwolves,MIN,Minnesota,240:00,0.566,0.277,0.182,0.174,0.606,0.325,0.172,0.205
21900964,1610612753,Magic,ORL,Orlando,240:00,0.543,0.239,0.151,0.235,0.572,0.5,0.197,0.286
