GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
22300001,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.571,0.298,0.126,0.111,0.61,0.279,0.175,0.318
22300001,1610612754,Pacers,IND,Indiana,240.000000:00,0.61,0.279,0.175,0.159,0.571,0.298,0.126,0.178
22300002,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.549,0.341,0.138,0.14,0.448,0.26,0.108,0.317
22300002,1610612752,Knicks,NYK,New York,240.000000:00,0.448,0.26,0.108,0.267,0.549,0.341,0.138,0.18
22300003,1610612748,Heat,MIA,Miami,240.000000:00,0.681,0.175,0.21,0.212,0.648,0.21,0.191,0.179
22300003,1610612764,Wizards,WAS,Washington,240.000000:00,0.648,0.21,0.191,0.103,0.681,0.175,0.21,0.212
22300004,1610612741,Bulls,CHI,Chicago,240.000000:00,0.545,0.157,0.104,0.184,0.552,0.052,0.109,0.296
22300004,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.552,0.052,0.109,0.148,0.545,0.157,0.104,0.265
22300005,1610612744,Warriors,GSW,Golden State,240.000000:00,0.63,0.326,0.14,0.283,0.693,0.361,0.176,0.286
22300005,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.693,0.361,0.176,0.2,0.63,0.326,0.14,0.391
22300006,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.576,0.198,0.152,0.222,0.597,0.204,0.195,0.479
22300006,1610612743,Nuggets,DEN,Denver,240.000000:00,0.597,0.204,0.195,0.396,0.576,0.198,0.152,0.244
22300007,1610612757,Trail Blazers,POR,Portland,265.000000:00,0.453,0.375,0.126,0.242,0.542,0.135,0.152,0.275
22300007,1610612763,Grizzlies,MEM,Memphis,265.000000:00,0.542,0.135,0.152,0.137,0.453,0.375,0.126,0.29
22300008,1610612755,76ers,PHI,Philadelphia,240.000000:00,0.476,0.494,0.091,0.208,0.512,0.256,0.167,0.3
22300008,1610612765,Pistons,DET,Detroit,240.000000:00,0.512,0.256,0.167,0.22,0.476,0.494,0.091,0.264
22300009,1610612764,Wizards,WAS,Washington,240.000000:00,0.568,0.227,0.143,0.146,0.482,0.255,0.096,0.531
22300009,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.482,0.255,0.096,0.438,0.568,0.227,0.143,0.188
22300010,1610612738,Celtics,BOS,Boston,240.000000:00,0.537,0.298,0.082,0.298,0.535,0.212,0.125,0.234
22300010,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.535,0.212,0.125,0.191,0.537,0.298,0.082,0.333
22300011,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.507,0.453,0.18,0.178,0.466,0.318,0.09,0.25
22300011,1610612745,Rockets,HOU,Houston,240.000000:00,0.466,0.318,0.09,0.161,0.507,0.453,0.18,0.222
22300012,1610612762,Jazz,UTA,Utah,240.000000:00,0.658,0.382,0.206,0.222,0.55,0.129,0.106,0.345
22300012,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.55,0.129,0.106,0.255,0.658,0.382,0.206,0.306
22300013,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.552,0.31,0.173,0.271,0.533,0.207,0.13,0.245
22300013,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.533,0.207,0.13,0.132,0.552,0.31,0.173,0.313
22300014,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.617,0.265,0.087,0.313,0.534,0.409,0.142,0.426
22300014,1610612746,Clippers,LAC,LA,240.000000:00,0.534,0.409,0.142,0.404,0.617,0.265,0.087,0.396
22300015,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.571,0.405,0.109,0.196,0.527,0.287,0.128,0.37
