GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
21100001,1610612738,Celtics,BOS,Boston,240:00,0.526,0.408,0.199,0.317,0.534,0.459,0.165,0.302
21100001,1610612752,Knicks,NYK,New York,240:00,0.534,0.459,0.165,0.186,0.526,0.408,0.199,0.415
21100002,1610612742,Mavericks,DAL,Dallas,240:00,0.433,0.366,0.163,0.151,0.513,0.462,0.226,0.372
21100002,1610612748,Heat,MIA,Miami,240:00,0.513,0.462,0.226,0.349,0.433,0.366,0.163,0.226
21100003,1610612741,Bulls,CHI,Chicago,240:00,0.444,0.157,0.15,0.291,0.5,0.263,0.189,0.386
21100003,1610612747,Lakers,LAL,Los Angeles,240:00,0.5,0.263,0.189,0.273,0.444,0.157,0.15,0.4
21100004,1610612753,Magic,ORL,Orlando,240:00,0.42,0.321,0.187,0.255,0.542,0.361,0.182,0.19
21100004,1610612760,Thunder,OKC,Oklahoma City,240:00,0.542,0.361,0.182,0.167,0.42,0.321,0.187,0.309
21100005,1610612744,Warriors,GSW,Golden State,240:00,0.421,0.293,0.175,0.333,0.506,0.469,0.106,0.353
21100005,1610612746,Clippers,LAC,Los Angeles,240:00,0.506,0.469,0.106,0.255,0.421,0.293,0.175,0.353
21100006,1610612751,Nets,NJN,New Jersey,240:00,0.43,0.233,0.172,0.333,0.426,0.459,0.129,0.17
21100006,1610612764,Wizards,WAS,Washington,240:00,0.426,0.459,0.129,0.151,0.43,0.233,0.172,0.37
21100007,1610612749,Bucks,MIL,Milwaukee,240:00,0.452,0.274,0.122,0.154,0.465,0.244,0.166,0.367
21100007,1610612766,Bobcats,CHA,Charlotte,240:00,0.465,0.244,0.166,0.306,0.452,0.274,0.122,0.25
21100008,1610612745,Rockets,HOU,Houston,240:00,0.476,0.244,0.111,0.234,0.584,0.12,0.119,0.262
21100008,1610612753,Magic,ORL,Orlando,240:00,0.584,0.12,0.119,0.143,0.476,0.244,0.111,0.298
21100009,1610612739,Cavaliers,CLE,Cleveland,240:00,0.447,0.329,0.078,0.278,0.589,0.165,0.14,0.368
21100009,1610612761,Raptors,TOR,Toronto,240:00,0.589,0.165,0.14,0.289,0.447,0.329,0.078,0.37
21100010,1610612754,Pacers,IND,Indiana,240:00,0.408,0.287,0.121,0.316,0.407,0.28,0.175,0.26
21100010,1610612765,Pistons,DET,Detroit,240:00,0.407,0.28,0.175,0.18,0.408,0.287,0.121,0.404
21100011,1610612750,Timberwolves,MIN,Minnesota,240:00,0.466,0.299,0.119,0.192,0.481,0.397,0.169,0.222
21100011,1610612760,Thunder,OKC,Oklahoma City,240:00,0.481,0.397,0.169,0.178,0.466,0.299,0.119,0.288
21100012,1610612742,Mavericks,DAL,Dallas,240:00,0.474,0.355,0.194,0.106,0.557,0.43,0.152,0.222
21100012,1610612743,Nuggets,DEN,Denver,240:00,0.557,0.43,0.152,0.222,0.474,0.355,0.194,0.191
21100013,1610612759,Spurs,SAS,San Antonio,240:00,0.455,0.25,0.132,0.214,0.486,0.26,0.257,0.341
21100013,1610612763,Grizzlies,MEM,Memphis,240:00,0.486,0.26,0.257,0.22,0.455,0.25,0.132,0.321
21100014,1610612740,Hornets,NOH,New Orleans,240:00,0.456,0.266,0.146,0.245,0.426,0.235,0.162,0.308
21100014,1610612756,Suns,PHX,Phoenix,240:00,0.426,0.235,0.162,0.231,0.456,0.266,0.146,0.306
21100015,1610612747,Lakers,LAL,Los Angeles,240:00,0.426,0.216,0.12,0.314,0.527,0.467,0.13,0.304
21100015,1610612758,Kings,SAC,Sacramento,240:00,0.527,0.467,0.13,0.217,0.426,0.216,0.12,0.353
21100016,1610612755,76ers,PHI,Philadelphia,240:00,0.53,0.229,0.195,0.2,0.459,0.237,0.118,0.333
21100016,1610612757,Trail Blazers,POR,Portland,240:00,0.459,0.237,0.118,0.283,0.53,0.229,0.195,0.244
21100017,1610612741,Bulls,CHI,Chicago,240:00,0.463,0.268,0.205,0.28,0.494,0.403,0.107,0.205
21100017,1610612744,Warriors,GSW,Golden State,240:00,0.494,0.403,0.107,0.159,0.463,0.268,0.205,0.36
21100018,1610612737,Hawks,ATL,Atlanta,240:00,0.512,0.244,0.142,0.347,0.345,0.366,0.197,0.235
21100018,1610612751,Nets,NJN,New Jersey,240:00,0.345,0.366,0.197,0.176,0.512,0.244,0.142,0.388
21100019,1610612738,Celtics,BOS,Boston,240:00,0.597,0.375,0.231,0.105,0.6,0.467,0.192,0.257
21100019,1610612748,Heat,MIA,Miami,240:00,0.6,0.467,0.192,0.171,0.597,0.375,0.231,0.132
21100020,1610612749,Bucks,MIL,Milwaukee,240:00,0.436,0.213,0.121,0.286,0.443,0.643,0.261,0.38
21100020,1610612750,Timberwolves,MIN,Minnesota,240:00,0.443,0.643,0.261,0.32,0.436,0.213,0.121,0.321
21100021,1610612757,Trail Blazers,POR,Portland,240:00,0.465,0.329,0.108,0.306,0.396,0.268,0.205,0.37
21100021,1610612758,Kings,SAC,Sacramento,240:00,0.396,0.268,0.205,0.259,0.465,0.329,0.108,0.347
21100022,1610612747,Lakers,LAL,Los Angeles,240:00,0.465,0.521,0.136,0.244,0.328,0.189,0.112,0.344
21100022,1610612762,Jazz,UTA,Utah,240:00,0.328,0.189,0.112,0.295,0.465,0.521,0.136,0.333
21100023,1610612754,Pacers,IND,Indiana,240:00,0.438,0.272,0.169,0.245,0.494,0.165,0.203,0.283
21100023,1610612761,Raptors,TOR,Toronto,240:00,0.494,0.165,0.203,0.217,0.438,0.272,0.169,0.327
21100024,1610612748,Heat,MIA,Miami,240:00,0.468,0.359,0.105,0.106,0.518,0.195,0.229,0.413
21100024,1610612766,Bobcats,CHA,Charlotte,240:00,0.518,0.195,0.229,0.326,0.468,0.359,0.105,0.128
21100025,1610612737,Hawks,ATL,Atlanta,240:00,0.487,0.467,0.159,0.234,0.429,0.286,0.182,0.28
21100025,1610612764,Wizards,WAS,Washington,240:00,0.429,0.286,0.182,0.12,0.487,0.467,0.159,0.34
21100026,1610612739,Cavaliers,CLE,Cleveland,240:00,0.621,0.314,0.245,0.375,0.5,0.136,0.183,0.348
21100026,1610612765,Pistons,DET,Detroit,240:00,0.5,0.136,0.183,0.217,0.621,0.314,0.245,0.469
21100027,1610612760,Thunder,OKC,Oklahoma City,240:00,0.442,0.494,0.119,0.235,0.402,0.379,0.127,0.448
21100027,1610612763,Grizzlies,MEM,Memphis,240:00,0.402,0.379,0.127,0.328,0.442,0.494,0.119,0.333
21100028,1610612738,Celtics,BOS,Boston,240:00,0.417,0.231,0.151,0.255,0.481,0.316,0.133,0.409
21100028,1610612740,Hornets,NOH,New Orleans,240:00,0.481,0.316,0.133,0.273,0.417,0.231,0.151,0.275
21100029,1610612746,Clippers,LAC,Los Angeles,240:00,0.439,0.446,0.133,0.204,0.625,0.188,0.176,0.343
21100029,1610612759,Spurs,SAS,San Antonio,240:00,0.625,0.188,0.176,0.2,0.439,0.446,0.133,0.224
21100030,1610612743,Nuggets,DEN,Denver,240:00,0.57,0.302,0.174,0.267,0.525,0.316,0.212,0.182
21100030,1610612762,Jazz,UTA,Utah,240:00,0.525,0.316,0.212,0.182,0.57,0.302,0.174,0.289
21100031,1610612755,76ers,PHI,Philadelphia,240:00,0.517,0.209,0.128,0.255,0.425,0.225,0.131,0.188
21100031,1610612756,Suns,PHX,Phoenix,240:00,0.425,0.225,0.131,0.167,0.517,0.209,0.128,0.298
21100032,1610612744,Warriors,GSW,Golden State,240:00,0.494,0.312,0.173,0.256,0.429,0.357,0.163,0.149
21100032,1610612752,Knicks,NYK,New York,240:00,0.429,0.357,0.163,0.085,0.494,0.312,0.173,0.326
21100033,1610612751,Nets,NJN,New Jersey,240:00,0.416,0.273,0.163,0.17,0.5,0.309,0.138,0.346
21100033,1610612753,Magic,ORL,Orlando,240:00,0.5,0.309,0.138,0.212,0.416,0.273,0.163,0.321
21100034,1610612745,Rockets,HOU,Houston,240:00,0.559,0.153,0.124,0.295,0.387,0.215,0.131,0.426
21100034,1610612759,Spurs,SAS,San Antonio,240:00,0.387,0.215,0.131,0.361,0.559,0.153,0.124,0.341
21100035,1610612742,Mavericks,DAL,Dallas,240:00,0.472,0.233,0.123,0.259,0.635,0.508,0.268,0.194
21100035,1610612760,Thunder,OKC,Oklahoma City,240:00,0.635,0.508,0.268,0.194,0.472,0.233,0.123,0.333
21100036,1610612741,Bulls,CHI,Chicago,240:00,0.575,0.263,0.181,0.2,0.47,0.41,0.167,0.339
21100036,1610612758,Kings,SAC,Sacramento,240:00,0.47,0.41,0.167,0.321,0.575,0.263,0.181,0.325
21100037,1610612743,Nuggets,DEN,Denver,240:00,0.425,0.379,0.066,0.056,0.57,0.291,0.233,0.256
21100037,1610612757,Trail Blazers,POR,Portland,240:00,0.57,0.291,0.233,0.179,0.425,0.379,0.066,0.13
21100038,1610612747,Lakers,LAL,Los Angeles,240:00,0.582,0.301,0.181,0.162,0.358,0.612,0.146,0.245
21100038,1610612752,Knicks,NYK,New York,240:00,0.358,0.612,0.146,0.184,0.582,0.301,0.181,0.297
21100039,1610612753,Magic,ORL,Orlando,240:00,0.512,0.286,0.13,0.28,0.392,0.217,0.132,0.333
21100039,1610612766,Bobcats,CHA,Charlotte,240:00,0.392,0.217,0.132,0.222,0.512,0.286,0.13,0.42
21100040,1610612739,Cavaliers,CLE,Cleveland,265:00,0.415,0.352,0.163,0.153,0.394,0.34,0.165,0.333
21100040,1610612754,Pacers,IND,Indiana,265:00,0.394,0.34,0.165,0.27,0.415,0.352,0.163,0.254
21100041,1610612738,Celtics,BOS,Boston,240:00,0.575,0.284,0.135,0.156,0.449,0.19,0.14,0.413
21100041,1610612765,Pistons,DET,Detroit,240:00,0.449,0.19,0.14,0.261,0.575,0.284,0.135,0.219
21100042,1610612737,Hawks,ATL,Atlanta,240:00,0.506,0.494,0.132,0.319,0.518,0.171,0.17,0.333
21100042,1610612751,Nets,NJN,New Jersey,240:00,0.518,0.171,0.17,0.333,0.506,0.494,0.132,0.383
21100043,1610612745,Rockets,HOU,Houston,240:00,0.5,0.228,0.198,0.13,0.563,0.413,0.155,0.3
21100043,1610612763,Grizzlies,MEM,Memphis,240:00,0.563,0.413,0.155,0.175,0.5,0.228,0.198,0.217
21100044,1610612740,Hornets,NOH,New Orleans,240:00,0.306,0.311,0.142,0.358,0.468,0.282,0.134,0.255
21100044,1610612756,Suns,PHX,Phoenix,240:00,0.468,0.282,0.134,0.213,0.306,0.311,0.142,0.418
21100045,1610612748,Heat,MIA,Miami,240:00,0.511,0.151,0.143,0.18,0.536,0.241,0.239,0.314
21100045,1610612750,Timberwolves,MIN,Minnesota,240:00,0.536,0.241,0.239,0.235,0.511,0.151,0.143,0.24
21100046,1610612749,Bucks,MIL,Milwaukee,240:00,0.589,0.342,0.213,0.256,0.394,0.224,0.142,0.281
21100046,1610612764,Wizards,WAS,Washington,240:00,0.394,0.224,0.142,0.158,0.589,0.342,0.213,0.256
21100047,1610612742,Mavericks,DAL,Dallas,240:00,0.493,0.528,0.109,0.163,0.5,0.25,0.185,0.15
21100047,1610612761,Raptors,TOR,Toronto,240:00,0.5,0.25,0.185,0.125,0.493,0.528,0.109,0.209
21100048,1610612755,76ers,PHI,Philadelphia,240:00,0.506,0.377,0.136,0.163,0.481,0.418,0.124,0.292
21100048,1610612762,Jazz,UTA,Utah,240:00,0.481,0.418,0.124,0.188,0.506,0.377,0.136,0.233
21100049,1610612741,Bulls,CHI,Chicago,240:00,0.545,0.436,0.133,0.366,0.556,0.25,0.121,0.295
21100049,1610612746,Clippers,LAC,Los Angeles,240:00,0.556,0.25,0.121,0.205,0.545,0.436,0.133,0.415
21100050,1610612743,Nuggets,DEN,Denver,240:00,0.469,0.275,0.155,0.163,0.465,0.174,0.203,0.417
21100050,1610612747,Lakers,LAL,Los Angeles,240:00,0.465,0.174,0.203,0.292,0.469,0.275,0.155,0.224
21100051,1610612754,Pacers,IND,Indiana,240:00,0.428,0.368,0.118,0.122,0.524,0.159,0.188,0.289
